CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	grade	NCIES	NCRTinterceptNumRatio	CAAnsCprop	SSPreOrdmax	NCtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)	['3', '4', '5', '6', '7']						('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'grade')	895231.43	-inf	0.05	0.05	3.33	0.47	[ 26.63 943.35]	[2293.72 -762.16]	[1.   3.33 9.  ]	[2320.35   26.63  916.72]	3820860557.9930644	6069761315.342191	1.5755612927057592e-07	3	1	5818469287.010233	3820860557.9930644	602
(0.06, 0.16)	(0.35, 0.57)		['3', '4', '5', '6', '7']	(0.04, 0.38)					('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCIES', 'grade', 'CAPreOrdmax')	823110.9	643885.139516129	0.08	0.08	2.65	0.49	[ -4.67 782.86]	[1986.01 -102.87]	[1.   2.65 9.  ]	[1981.34   -4.67  787.53]	5182988335.655292	8408518387.910562	2.0277877007167154e-07	3	1	7323487667.674439	5182988335.655292	1051
(0.02, 0.15)					(0.38, 0.58)	(0.62, 1.0)			('NCRTinterceptNumRatio', 'CAPreOrdmax', 'CAAnsCprop')	726439.32	415501.2777272727	0.09	0.09	3.15	0.45	[220.6  785.38]	[1521.24 -260.05]	[1.   3.15 9.  ]	[1741.85  220.6   564.77]	5103787292.162583	8520657322.332444	2.2042454663570306e-07	3	1	7032293543.678192	5103787292.162583	1125
(0.0, 0.19)	(0.35, 0.57)								('CAPreOrdmax', 'NCRTinterceptNumDis')	618617.32	276914.8476351351	0.19	0.19	3.12	0.27	[147.54 698.48]	[1584.23 -136.57]	[1.   3.12 9.  ]	[1731.77  147.54  550.94]	8641660218.620384	14588733233.689585	2.9114775822575353e-07	3	1	10841863168.237284	8641660218.620384	2516
(0.06, 0.24)	(0.38, 0.57)								('NCRTinterceptNumDis', 'CAPreOrdmax')	616597.56	108198.38611037235	0.18	0.18	3.11	0.26	[118.38 694.07]	[1687.14 -101.01]	[1.   3.11 9.  ]	[1805.52  118.38  575.69]	8519391828.482801	14062641397.531145	2.826492839488092e-07	3	1	10671260733.256838	8519391828.482801	2408
(0.06, 0.15)							(0.06, 0.36)		('SSPreOrdmax', 'CAPreOrdmax')	618516.05	92936.64902565697	0.11	0.11	2.64	0.48	[ 70.04 699.15]	[1719.03   61.15]	[1.   2.64 9.  ]	[1789.06   70.04  629.11]	6313219991.141409	10098997540.038849	2.3648787815012772e-07	3	1	8112716200.08048	6313219991.141409	1493
	(0.41, 0.57)	(0.36, 0.56)	['3', '4', '5', '6', '7']						('NCRTinterceptNumDis', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'grade')	811793.03	478831.0450390625	0.08	0.08	3.29	0.34	[  7.6 833.8]	[2178.85 -535.69]	[1.   3.29 9.  ]	[2186.46    7.6   826.2 ]	5739334794.934853	8968260452.410002	1.9165984200308115e-07	3	1	7879673362.162612	5739334794.934853	1100
	(0.38, 0.57)			(0.04, 0.38)					('NCIES', 'NCRTinterceptNumDis')	634729.58	343613.00571428565	0.17	0.17	3.28	0.26	[ 89.52 714.87]	[1825.93 -224.31]	[1.   3.28 9.  ]	[1915.45   89.52  625.35]	8169565846.0500965	13350643259.6095	2.783501648498808e-07	3	1	10332049909.982485	8169565846.0500965	2274
	(0.39, 0.57)							(0.16, 0.44)	('NCtimeCmean', 'NCRTinterceptNumDis')	628902.02	151506.74943903688	0.16	0.16	3.36	0.3	[111.07 717.18]	[1813.81 -221.18]	[1.   3.36 9.  ]	[1924.88  111.07  606.11]	7959021462.485303	12713624467.95309	2.624694517845519e-07	3	1	10029231333.163984	7959021462.485303	2089
				(0.03, 0.38)			(0.06, 0.3)		('NCIES', 'SSPreOrdmax')	613560.01	173737.65589285715	0.13	0.13	2.69	0.43	[ 14.78 682.28]	[1906.55  109.04]	[1.   2.69 9.  ]	[1921.33   14.78  667.5 ]	6811577842.68457	10686906118.23091	2.4414313957903487e-07	3	1	8665195728.320574	6811577842.68457	1663
