NCIES	NCRTinterceptNumDis	CAPreOrdmax	grade	language	NCRTslopeNumDis	SSPreOrdmax	NCtimeCmean	CAAnsCsum	SAtimeCmean	SAIES	SAPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.38)	(0.4, 0.57)	(0.06, 0.16)	['3', '4', '5', '6', '7']	f								('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'grade', 'language')	911923.96	-inf	0.05	0.05	3.48	0.64	[202.88 907.98]	[1958.89 -491.39]	[1.   3.48 9.  ]	[2161.77  202.88  705.1 ]	3893313964.3872886	6082515252.441473	1.5359665453903624e-07	3	1	5924749075.671874	3893313964.3872886	598
(0.04, 0.38)	(0.41, 0.57)					(0.06, 0.41)	(0.2, 0.44)					('NCIES', 'SSPreOrdmax', 'NCRTinterceptNumDis', 'NCtimeCmean')	869336.73	763277.6489399999	0.05	0.05	3.35	0.46	[ 42.   911.47]	[2227.78 -682.52]	[1.   3.35 9.  ]	[2269.78   42.    869.47]	4343323812.779228	6760145969.557496	1.5817379260985815e-07	3	1	6350227069.249678	4343323812.779228	687
(0.04, 0.38)			['3', '4', '5', '6', '7']					(0.0, 0.25)				('CAAnsCsum', 'NCIES', 'grade')	765767.4	656966.852027629	0.13	0.13	3.16	0.32	[ 99.05 751.34]	[1856.46 -204.54]	[1.   3.16 9.  ]	[1955.51   99.05  652.29]	7000594957.72425	11282103558.73594	2.336944230996947e-07	3	1	9300597337.424559	7000594957.72425	1636
(0.04, 0.38)	(0.41, 0.57)								(0.71, 0.76)			('NCIES', 'SAtimeCmean', 'NCRTinterceptNumDis')	822307.36	602419.2322169892	0.07	0.07	3.51	0.43	[ 90.44 869.83]	[2059.94 -676.77]	[1.   3.51 9.  ]	[2150.38   90.44  779.39]	5074482724.782231	7997132102.085988	1.8563468457574174e-07	3	1	7145073050.210232	5074482724.782231	942
(0.04, 0.38)		(0.06, 0.18)	['3', '4', '5', '6', '7']									('NCIES', 'CAPreOrdmax', 'grade')	779052.28	570860.7693195273	0.11	0.11	3.16	0.35	[135.07 763.1 ]	[1782.84 -198.64]	[1.   3.16 9.  ]	[1917.91  135.07  628.03]	6168784825.376371	10093915618.930527	2.3100173540468035e-07	3	1	8399857040.0472	6168784825.376371	1425
(0.04, 0.38)	(0.41, 0.57)		['3', '4', '5', '6', '7']									('NCIES', 'NCRTinterceptNumDis', 'NCRTinterceptNumDis', 'grade')	781308.4	521403.75821667	0.09	0.09	3.31	0.36	[ 27.41 804.38]	[2163.48 -409.67]	[1.   3.31 9.  ]	[2190.89   27.41  776.97]	6081422148.809477	9286079970.469584	1.9189590385999703e-07	3	1	8179218278.327304	6081422148.809477	1167
	(0.41, 0.57)	(0.0, 0.19)	['3', '4', '5', '6', '7']		(0.37, 0.56)							('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'grade')	895231.43	828728.5237714286	0.05	0.05	3.33	0.47	[ 26.63 943.35]	[2293.72 -762.16]	[1.   3.33 9.  ]	[2320.35   26.63  916.72]	3820860557.9919305	6069761315.342191	1.5755612927062266e-07	3	1	5818469286.184651	3820860557.9919305	602
	(0.38, 0.57)	(0.06, 0.16)	['3', '4', '5', '6', '7']	f								('NCRTinterceptNumDis', 'CAPreOrdmax', 'CAPreOrdmax', 'language', 'grade')	807865.76	707818.6384203174	0.08	0.08	2.57	0.47	[ -8.62 764.64]	[1970.8   -14.01]	[1.   2.57 9.  ]	[1962.18   -8.62  773.26]	5148319507.078846	8366190561.513012	2.0900023755722999e-07	3	1	7264094218.863424	5148319507.078846	1076
	(0.38, 0.57)	(0.06, 0.18)	['3', '4', '5', '6', '7']									('NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	747797.12	502761.5220329054	0.12	0.12	2.84	0.51	[ 84.18 724.9 ]	[1814.86   -7.39]	[1.   2.84 9.  ]	[1899.04   84.18  640.72]	6446821291.501948	10515655216.681265	2.4089391186430573e-07	3	1	8652172182.681005	6446821291.501948	1553
		(0.06, 0.16)								(0.46, 0.6)	(0.14, 0.31)	('SAIES', 'SAPreOrdmax', 'CAPreOrdmax')	748074.89	473703.73515349615	0.06	0.06	3.25	0.5	[182.53 829.78]	[1734.93 -370.01]	[1.   3.25 9.  ]	[1917.45  182.53  647.25]	4284523604.8119464	6967536853.763571	1.9348708898906533e-07	3	1	6101255360.431649	4284523604.8119464	829
