NCtimeCmean	NCAnsCsum	CAAnsCsum	NCRTinterceptNumDis	NCtimeCmedian	NCRTinterceptNumRatio	SAAnsCsum	NCRTslopeNumRatio	NCPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)							('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.681012	6223640788.466258	1.4739592883366375e-06	3	1	4221076063.0228395	2764662519.681012	4075
(0.04, 0.12)									('NCtimeCmean',)	944.78	338.6235442260442	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.08 -313.03]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.864537	13901651663.332743	9.02284929506173e-07	3	1	9018370491.056398	7524230736.864537	6789
(0.04, 0.12)								(52.0, 52.0)	('NCtimeCmean', 'NCPreOrdmax')	944.78	65.27824804207617	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.08 -313.04]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.864302	13901651663.332743	9.022849295062013e-07	3	1	9018370491.056398	7524230736.864302	6789
	(0.29, 0.98)				(0.3, 0.38)				('NCRTinterceptNumRatio', 'NCAnsCsum')	917.81	199.80611429663608	0.42	0.42	3.47	0.14	[ 60.32 482.35]	[1138.48 -327.12]	[1.   3.47 9.  ]	[1198.79   60.32  422.03]	5232797750.092454	10535679543.912453	1.039023531896286e-06	3	1	6271439251.0041	5232797750.092454	5437
	(0.46, 0.98)			(0.07, 0.19)					('NCtimeCmedian', 'NCAnsCsum')	996.97	105.49867838541668	0.4	0.4	3.41	0.13	[ 49.21 475.71]	[1121.62 -331.58]	[1.   3.41 9.  ]	[1170.83   49.21  426.5 ]	4731972683.747236	9678088074.668146	1.0934129053134607e-06	3	1	5932006319.749107	4731972683.747236	5174
	(0.29, 0.98)		(0.27, 0.35)						('NCRTinterceptNumDis', 'NCAnsCsum')	919.68	48.17760227272727	0.43	0.43	3.46	0.13	[ 58.95 482.83]	[1136.39 -330.49]	[1.   3.46 9.  ]	[1195.34   58.95  423.88]	5299696405.990285	10668338444.547976	1.0343988749626592e-06	3	1	6351133995.648787	5299696405.990285	5482
		(0.34, 0.95)			(0.3, 0.38)				('NCRTinterceptNumRatio', 'CAAnsCsum')	1073.85	132.5916174674267	0.4	0.4	3.68	0.17	[ 86.62 441.7 ]	[1064.44 -243.03]	[1.   3.68 9.  ]	[1151.06   86.62  355.08]	4944025369.411743	9089904642.234156	1.046920194225431e-06	3	1	6742140029.378123	4944025369.411743	5176
			(0.27, 0.35)	(0.08, 0.18)					('NCRTinterceptNumDis', 'NCtimeCmedian')	1165.71	799.8167981072555	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.89464	9332565711.661802	1.1299838297212639e-06	3	1	6315022526.6267	4668208394.89464	5275
					(0.3, 0.38)	(0.56, 1.0)			('NCRTinterceptNumRatio', 'SAAnsCsum')	1182.59	441.96284438775507	0.25	0.25	3.55	0.16	[ 45.34 426.5 ]	[1071.86 -280.1 ]	[1.   3.55 9.  ]	[1117.2    45.34  381.15]	2190471341.375822	4635888309.667573	1.507894642403952e-06	3	1	3852452467.6824446	2190471341.375822	3303
						(0.59, 1.0)	(0.42, 0.5)		('SAAnsCsum', 'NCRTslopeNumRatio')	1007.89	91.9102276400862	0.22	0.22	3.63	0.18	[ 54.02 436.96]	[1064.5  -327.05]	[1.   3.63 9.  ]	[1118.52   54.02  382.94]	1990201068.4683256	4225652048.2623506	1.4747253664469182e-06	3	1	3379163588.458776	1990201068.4683256	2935
