NCtimeCmean	NCAnsCsum	CAAnsCsum	NCRTinterceptNumRatio	NCtimeCmedian	NCAnsCprop	NCPreOrdmax	NCRTinterceptNumDis	SAAnsCsum	SAAnsCprop	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)								('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.680975	6223640788.466258	1.4739592883366576e-06	3	1	4221076107.90224	2764662519.680975	4075
(0.04, 0.12)		(0.32, 0.79)			(0.29, 0.98)					('NCtimeCmean', 'NCAnsCprop', 'CAAnsCsum')	1288.24	1076.2611639344268	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.6809793	6223640788.466258	1.4739592883366553e-06	3	1	4221076107.90224	2764662519.6809793	4075
(0.04, 0.12)	(0.83, 0.98)	(0.32, 0.79)								('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum', 'NCAnsCsum')	1288.24	901.2796303278691	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.6810174	6223640788.466258	1.4739592883366347e-06	3	1	4221076107.90224	2764662519.6810174	4075
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)				(52.0, 52.0)				('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum', 'NCPreOrdmax')	1288.24	689.9407829188525	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.6809754	6223640788.466258	1.4739592883366572e-06	3	1	4221076107.90224	2764662519.6809754	4075
		(0.38, 0.95)	(0.3, 0.38)	(0.09, 0.18)						('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum')	1263.83	1166.8255043859651	0.29	0.29	3.62	0.16	[ 61.4 437.5]	[1041.5  -321.08]	[1.   3.62 9.  ]	[1102.9   61.4  376.1]	2703011132.2339344	5671443548.326913	1.4213777938919309e-06	3	1	4488658209.181343	2703011132.2339344	3842
		(0.38, 0.95)	(0.3, 0.38)	(0.09, 0.18)		(52.0, 52.0)				('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum', 'NCPreOrdmax')	1263.83	971.5693125	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.11837	5671443548.326913	1.4213777939527004e-06	3	1	4488658209.181343	2703011132.11837	3842
			(0.3, 0.38)					(0.56, 1.0)		('NCRTinterceptNumRatio', 'SAAnsCsum')	1182.59	645.6604087923541	0.25	0.25	3.55	0.16	[ 45.34 426.5 ]	[1071.86 -280.1 ]	[1.   3.55 9.  ]	[1117.2    45.34  381.15]	2190471341.3758097	4635888309.667573	1.5078946424039604e-06	3	1	3852452492.3622465	2190471341.3758097	3303
				(0.08, 0.18)			(0.27, 0.35)			('NCRTinterceptNumDis', 'NCtimeCmedian')	1165.71	841.2298409858045	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.895501	9332565711.661802	1.1299838297210555e-06	3	1	6315022556.406429	4668208394.895501	5275
				(0.08, 0.18)		(52.0, 52.0)	(0.27, 0.35)			('NCRTinterceptNumDis', 'NCtimeCmedian', 'NCPreOrdmax')	1165.71	757.1068568872241	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.894503	9332565711.661802	1.1299838297212973e-06	3	1	6315022556.406429	4668208394.894503	5275
				(0.08, 0.18)			(0.27, 0.35)		(0.58, 1.0)	('NCRTinterceptNumDis', 'NCtimeCmedian', 'SAAnsCprop')	1165.71	613.1321469112646	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.894434	9332565711.661802	1.1299838297213139e-06	3	1	6315022556.406429	4668208394.894434	5275
