SSIES	NCPreOrdmax	SAAnsCprop	SSAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.16, 0.23)					('SSIES',)	-100690.48	-inf	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02125	44860049941.73617	4.670719426396231e-07	3	1	27786122637.499195	27785869403.02125	12978
(0.16, 0.23)	(52.0, 52.0)				('SSIES', 'NCPreOrdmax')	-100690.48	-10069.048	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021217	44860049941.73617	4.670719426396237e-07	3	1	27786122637.499195	27785869403.021217	12978
(0.16, 0.23)		(0.21, 1.0)			('SSIES', 'SAAnsCprop')	-100690.48	-1006.9048000000004	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.31 -231.13]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02167	44860049941.73617	4.670719426396161e-07	3	1	27786122637.499195	27785869403.02167	12978
(0.16, 0.23)			(0.09, 1.0)		('SSIES', 'SSAnsCprop')	-100690.48	-100.69048000000004	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.13]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021355	44860049941.73617	4.6707194263962133e-07	3	1	27786122637.499195	27785869403.021355	12978
(0.16, 0.23)				(0.01, 0.02)	('SSIES', 'SStimeCmean')	-100690.48	-10.069048000000002	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02259	44860049941.73617	4.670719426396005e-07	3	1	27786122637.499195	27785869403.02259	12978
(0.16, 0.23)	(52.0, 52.0)	(0.21, 1.0)			('SSIES', 'NCPreOrdmax', 'SAAnsCprop')	-100690.48	-1.0069048	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021706	44860049941.73617	4.6707194263961545e-07	3	1	27786122637.499195	27785869403.021706	12978
(0.16, 0.23)	(52.0, 52.0)		(0.09, 1.0)		('SSIES', 'NCPreOrdmax', 'SSAnsCprop')	-100690.48	-0.10069048000000004	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.022068	44860049941.73617	4.6707194263960936e-07	3	1	27786122637.499195	27785869403.022068	12978
(0.16, 0.23)	(52.0, 52.0)			(0.01, 0.02)	('SSIES', 'NCPreOrdmax', 'SStimeCmean')	-100690.48	-0.010069048000000002	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.13]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.021313	44860049941.73617	4.6707194263962207e-07	3	1	27786122637.499195	27785869403.021313	12978
(0.16, 0.23)		(0.21, 1.0)	(0.09, 1.0)		('SSIES', 'SAAnsCprop', 'SSAnsCprop')	-100690.48	-0.0010069048000000008	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02122	44860049941.73617	4.670719426396236e-07	3	1	27786122637.499195	27785869403.02122	12978
(0.16, 0.23)		(0.21, 1.0)		(0.01, 0.02)	('SSIES', 'SAAnsCprop', 'SStimeCmean')	-100690.48	-0.00010069048000000006	0.99	0.99	3.38	0.12	[ 93.54 546.02]	[1299.3  -231.14]	[1.   3.38 9.  ]	[1392.84   93.54  452.49]	27785869403.02121	44860049941.73617	4.6707194263962376e-07	3	1	27786122637.499195	27785869403.02121	12978
