NCIES	NCRTinterceptNumDis	NCtimeCmean	CAAnsCsum	SSAnsCprop	NCtimeCmedian	CAPreOrdmax	SAtimeCmedian	SAAnsCsum	SAPreOrdmax	SStimeCmedian	CAIES	NCRTinterceptNumRatio	SAIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 0.38)	(0.4, 0.57)	(0.2, 0.44)	(0.05, 0.3)	(0.62, 1.0)										('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop')	5904867695632.18	-inf	0.05	0.05	3.29	0.48	[-25.18 896.07]	[2485.38 -549.26]	[1.   3.29 9.  ]	[2460.2   -25.18  921.25]	4334866857.43912	6386597219.223493	1.4141149432260482e-07	3	1	6206676537.617691	4334866857.43912	613
(0.04, 0.08)				(0.92, 1.0)	(0.19, 0.52)	(0.02, 0.15)	(0.7, 0.73)							('NCtimeCmedian', 'CAPreOrdmax', 'NCIES', 'SSAnsCprop', 'SAtimeCmedian')	5077414820143.81	2919513521582.691	0.05	0.05	2.55	0.64	[-64.5  811.73]	[2221.71  -15.69]	[1.   2.55 9.  ]	[2157.21  -64.5   876.23]	4065716936.432175	6115935029.954396	1.5101887553903565e-07	3	1	5785289331.395005	4065716936.432175	614
(0.03, 0.38)								(0.1, 0.3)	(0.14, 0.24)	(0.29, 0.35)				('NCIES', 'SAAnsCsum', 'SAPreOrdmax', 'SStimeCmedian')	4272090980401.18	1836999121572.5076	0.05	0.05	2.26	0.45	[-233.69  769.61]	[2459.76  192.73]	[1.   2.26 9.  ]	[2226.07 -233.69 1003.3 ]	3671808364.9970474	5534762073.336649	1.6422425683985414e-07	3	1	5237964482.262124	3671808364.9970474	603
(0.04, 0.38)		(0.21, 0.44)												('NCIES', 'NCtimeCmean')	4310513061150.22	1543163675891.779	0.05	0.05	2.67	0.54	[-237.34  773.69]	[2655.84  -45.25]	[1.   2.67 9.  ]	[2418.5  -237.34 1011.03]	4701085919.614439	6680566289.425797	1.533688199553547e-07	3	1	6246856959.000516	4701085919.614439	721
(0.03, 0.38)	(0.4, 0.57)													('NCIES', 'NCRTinterceptNumDis')	2769990155289.69	793575199786.3837	0.13	0.13	3.35	0.33	[ 86.13 735.35]	[1912.53 -261.4 ]	[1.   3.35 9.  ]	[1998.66   86.13  649.22]	7394238273.40313	11433558150.453007	2.3166686501862045e-07	3	1	9353680978.126183	7394238273.40313	1713
(0.04, 0.38)											(0.08, 0.16)			('NCIES', 'CAIES')	2859136477668.11	400369897452.77625	0.07	0.07	2.39	0.38	[-228.92  713.21]	[2373.17  124.37]	[1.   2.39 9.  ]	[2144.26 -228.92  942.12]	4605136758.673556	6944202398.511954	1.997769117860015e-07	3	1	6033653538.718896	4605136758.673556	920
					(0.24, 0.52)	(0.0, 0.19)								('CAPreOrdmax', 'NCtimeCmedian')	2840118585723.61	1303572131208.626	0.12	0.12	3.18	0.33	[136.75 748.92]	[1708.98 -238.52]	[1.   3.18 9.  ]	[1845.73  136.75  612.16]	6547763697.453125	10804590310.894407	2.458854769951823e-07	3	1	8633406698.695267	6547763697.453125	1610
						(0.0, 0.15)			(0.14, 0.5)					('SAPreOrdmax', 'CAPreOrdmax')	2616983217995.37	975433061686.9479	0.12	0.12	2.55	0.4	[ 21.66 694.73]	[1778.33   63.26]	[1.   2.55 9.  ]	[1799.98   21.66  673.07]	6799167925.016233	10872553009.753849	2.3899983320328424e-07	3	1	8673262984.448215	6799167925.016233	1625
						(0.0, 0.19)		(0.1, 0.24)						('CAPreOrdmax', 'SAAnsCsum')	3620418907638.07	218384233552.67935	0.05	0.05	2.49	0.57	[-83.28 750.07]	[2171.28   96.99]	[1.   2.49 9.  ]	[2088.    -83.28  833.35]	4174525293.8100986	6161854777.027222	1.672046402581343e-07	3	1	5577852602.30026	4174525293.8100986	698
												(0.41, 0.58)	(0.46, 0.6)	('NCRTinterceptNumRatio', 'SAIES')	2761643325432.09	334735706988.0233	0.07	0.07	2.67	0.51	[-73.23 730.57]	[2160.67   17.33]	[1.   2.67 9.  ]	[2087.44  -73.23  803.8 ]	4438203268.496258	6867253792.0212555	2.1202273602011644e-07	3	1	5912132821.393729	4438203268.496258	941
