NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	SSAnsCprop	NCPreOrdmax	NCIES	CAPreOrdmax	SAtimeCmedian	NCRTinterceptNumDis	grade	SAtimeCmean	SSPreOrdmax	SAPreOrdmax	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)	(0.62, 1.0)	(52.0, 52.0)										('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop', 'NCPreOrdmax')	5576887823710.77	-inf	0.05	0.05	3.22	0.5	[-18.27 866.99]	[2459.57 -386.83]	[1.   3.22 9.  ]	[2441.3   -18.27  885.26]	4220549569.147299	6142836749.741177	1.4097690129018226e-07	3	1	5969726700.724921	4220549569.147299	595
(0.41, 0.58)	(0.2, 0.36)		(0.62, 1.0)											('NCRTinterceptNumRatio', 'NCtimeCmean', 'SSAnsCprop')	4336193820249.96	537112132969.2431	0.06	0.06	3.38	0.45	[ 26.97 823.03]	[2252.06 -438.56]	[1.   3.38 9.  ]	[2279.03   26.97  796.06]	5197522842.419814	7613263723.820721	1.6527103892439554e-07	3	1	6955279948.475564	5197522842.419814	859
	(0.21, 0.44)				(0.04, 0.38)				['3', '4', '5', '6', '7']					('NCIES', 'NCtimeCmean', 'grade')	4310513258114.79	2071868723766.484	0.05	0.05	2.67	0.54	[-237.34  773.69]	[2655.84  -45.25]	[1.   2.67 9.  ]	[2418.5  -237.34 1011.03]	4701085919.614349	6680566289.425797	1.5336881995535762e-07	3	1	6246857029.632912	4701085919.614349	721
	(0.16, 0.44)							(0.4, 0.57)						('NCtimeCmean', 'NCRTinterceptNumDis')	2917799788178.41	1393838277718.6904	0.12	0.12	3.4	0.33	[ 82.83 750.22]	[1943.5  -325.58]	[1.  3.4 9. ]	[2026.32   82.83  667.4 ]	7217441555.084995	11172245955.825214	2.275044401077472e-07	3	1	9213813447.553848	7217441555.084995	1642
		(0.0, 0.25)											(0.24, 0.52)	('CAAnsCsum', 'NCtimeCmedian')	3012648290446.3	1039639439245.7125	0.13	0.13	3.14	0.32	[103.7  739.14]	[1807.35 -190.77]	[1.   3.14 9.  ]	[1911.06  103.7   635.43]	7195598390.502504	11484549074.787378	2.3333709149417202e-07	3	1	9326604011.497229	7195598390.502504	1679
			(0.92, 1.0)		(0.04, 0.38)	(0.02, 0.15)	(0.7, 0.73)							('NCIES', 'CAPreOrdmax', 'NCIES', 'SSAnsCprop', 'SAtimeCmedian')	5138204089783.34	3988868964437.0664	0.05	0.05	2.56	0.61	[-66.32 811.06]	[2235.08   -8.74]	[1.   2.56 9.  ]	[2168.76  -66.32  877.38]	4149410082.8451986	6308654046.110938	1.5640777533248506e-07	3	1	5977425858.862117	4149410082.8451986	649
			(0.67, 1.0)							(0.71, 0.76)	(0.06, 0.28)	(0.14, 0.24)		('SAtimeCmean', 'SSPreOrdmax', 'SAPreOrdmax', 'SSAnsCprop')	4456491945962.8	2303524553149.6904	0.05	0.05	2.32	0.49	[-194.42  768.41]	[2413.27  179.75]	[1.   2.32 9.  ]	[2218.85 -194.42  962.83]	3940754022.0369263	5830785892.919613	1.578378139111804e-07	3	1	5523391555.019598	3940754022.0369263	622
					(0.04, 0.38)	(0.06, 0.18)	(0.7, 0.73)	(0.41, 0.57)	['3', '4', '5', '6', '7']					('NCIES', 'CAPreOrdmax', 'NCRTinterceptNumDis', 'SAtimeCmedian', 'grade')	5437007299375.27	2681767113881.0454	0.05	0.05	3.51	0.47	[ 21.41 965.44]	[ 2288.24 -1021.54]	[1.   3.51 9.  ]	[2309.65   21.41  944.02]	4031303336.8760347	6367670330.685623	1.5702117828983037e-07	3	1	5960787195.35029	4031303336.8760347	633
					(0.03, 0.38)	(0.02, 0.15)								('NCIES', 'CAPreOrdmax')	2913455880402.81	1653993182103.6787	0.12	0.12	2.55	0.42	[ 27.47 709.58]	[1790.05   50.17]	[1.   2.55 9.  ]	[1817.52   27.47  682.1 ]	6523309089.75119	10504926290.397377	2.3377705686151476e-07	3	1	8519356231.110066	6523309089.75119	1525
										(0.71, 0.76)	(0.06, 0.28)			('SAtimeCmean', 'SSPreOrdmax')	3030494489198.15	843961147590.7556	0.1	0.1	2.66	0.53	[ 44.31 697.13]	[1893.05  159.2 ]	[1.   2.66 9.  ]	[1937.36   44.31  652.82]	5992567759.563999	9133598551.996841	2.1142856465459192e-07	3	1	7758166522.317143	5992567759.563999	1267
