NCIES	NCRTinterceptNumDis	CAPreOrdmax	language	grade	CAAnsCsum	NCRTslopeNumDis	NCPreOrdmax	NCRTinterceptNumRatio	NCtimeCmean	SSAnsCprop	SAAnsCprop	SSPreOrdmax	SAIES	SAPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.38)	(0.4, 0.57)	(0.06, 0.16)	f	['3', '4', '5', '6', '7']											('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'language', 'grade')	5937134212573.14	-inf	0.05	0.05	3.48	0.64	[202.88 907.98]	[1958.89 -491.39]	[1.   3.48 9.  ]	[2161.77  202.88  705.1 ]	3893313964.387341	6082515252.441473	1.5359665453903418e-07	3	1	5924749069.848939	3893313964.387341	598
(0.04, 0.38)	(0.4, 0.57)	(0.06, 0.16)	f								(0.21, 1.0)				('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'language', 'SAAnsCprop')	5625342694085.06	3869096641634.968	0.05	0.05	3.46	0.64	[197.38 893.46]	[1942.54 -463.98]	[1.   3.46 9.  ]	[2139.92  197.38  696.08]	3968502097.0363398	6159681455.868507	1.5522229419004872e-07	3	1	5928287848.355085	3968502097.0363398	616
(0.04, 0.38)	(0.4, 0.57)								(0.21, 0.44)	(0.62, 1.0)					('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean', 'SSAnsCprop')	5046169245932.67	3608890903405.6367	0.05	0.05	3.22	0.49	[-20.32 836.21]	[2438.65 -319.94]	[1.   3.22 9.  ]	[2418.33  -20.32  856.53]	4491535371.889318	6431742443.516081	1.4538458365191996e-07	3	1	6162932006.153585	4491535371.889318	653
(0.04, 0.38)		(0.06, 0.18)		['3', '4', '5', '6', '7', '8']								(0.06, 0.28)	(0.46, 0.6)		('NCIES', 'CAPreOrdmax', 'SSPreOrdmax', 'SAIES', 'grade')	5024157668032.25	3469888131615.992	0.05	0.05	2.45	0.52	[-159.21  807.32]	[2435.97   70.45]	[1.   2.45 9.  ]	[2276.76 -159.21  966.53]	3790789960.5240116	5786605177.871922	1.6065253056537487e-07	3	1	5597117042.0017185	3790789960.5240116	609
	(0.41, 0.57)		f	['3', '4', '5', '6', '7']	(0.0, 0.25)	(0.37, 0.56)									('CAAnsCsum', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'language', 'grade')	5709121061927.82	5307939581900.46	0.05	0.05	3.22	0.45	[-22.96 897.93]	[2430.36 -538.81]	[1.   3.22 9.  ]	[2407.4   -22.96  920.89]	4168076898.4621677	6345180671.1406	1.518685992174349e-07	3	1	6127644458.248711	4168076898.4621677	633
	(0.41, 0.57)	(0.0, 0.19)		['3', '4', '5', '6', '7']		(0.37, 0.56)	(52.0, 52.0)								('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'grade', 'NCPreOrdmax')	5681984133664.5	4815075697271.115	0.05	0.05	3.33	0.47	[ 26.63 943.35]	[2293.72 -762.16]	[1.   3.33 9.  ]	[2320.35   26.63  916.72]	3820860557.991778	6069761315.342191	1.5755612927062894e-07	3	1	5818469287.315913	3820860557.991778	602
	(0.41, 0.57)						(52.0, 52.0)		(0.21, 0.44)	(0.62, 1.0)					('NCRTinterceptNumDis', 'NCRTinterceptNumDis', 'NCtimeCmean', 'SSAnsCprop', 'NCPreOrdmax')	5042789298592.95	3160118179684.3237	0.05	0.05	3.23	0.5	[-11.35 824.1 ]	[2446.6  -254.18]	[1.   3.23 9.  ]	[2435.25  -11.35  835.45]	4524225925.956642	6415006010.660551	1.445551152182376e-07	3	1	6185630662.438201	4524225925.956642	654
				['3', '4', '5', '6', '7', '8']	(0.0, 0.25)	(0.37, 0.51)			(0.19, 0.44)	(0.92, 1.0)					('CAAnsCsum', 'NCtimeCmean', 'NCRTslopeNumDis', 'SSAnsCprop', 'grade')	5463968676336.83	4123251265215.448	0.05	0.05	3.16	0.49	[-18.4  866.38]	[2418.5  -379.07]	[1.   3.16 9.  ]	[2400.1   -18.4   884.78]	4154267990.7810473	6106593686.666666	1.437076282331409e-07	3	1	5902701438.696366	4154267990.7810473	597
					(0.05, 0.3)		(52.0, 52.0)	(0.41, 0.58)	(0.2, 0.36)	(0.62, 1.0)					('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop', 'NCPreOrdmax')	5576887775643.74	4482065035459.508	0.05	0.05	3.22	0.5	[-18.27 866.99]	[2459.57 -386.83]	[1.   3.22 9.  ]	[2441.3   -18.27  885.26]	4220549569.1473017	6142836749.741177	1.4097690129018218e-07	3	1	5969726685.648817	4220549569.1473017	595
													(0.46, 0.6)	(0.16, 0.24)	('SAIES', 'SAPreOrdmax', 'SAPreOrdmax')	4290146996501.14	3030911053464.601	0.05	0.05	2.5	0.5	[-177.8   803.13]	[2379.35  -71.07]	[1.  2.5 9. ]	[2201.55 -177.8   980.93]	3972168336.4596586	6087939729.7732725	1.6766661017030236e-07	3	1	5619333171.726711	3972168336.4596586	666
