NCIES	NCtimeCmean	SAtimeCmean	CAAnsCsum	SSAnsCsum	NCRTinterceptNumRatio	CAPreOrdmax	SSPreOrdmax	grade	SAPreOrdmax	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 1.0)	(0.23, 0.74)	(0.71, 1.0)									('NCIES', 'NCtimeCmean', 'SAtimeCmean')	4774208659648.7	-inf	0.05	0.05	2.89	0.22	[124.27 763.87]	[2179.07  333.29]	[1.   2.89 9.  ]	[2303.34  124.27  639.61]	74966394885.5978	111137551511.61913	1.6562087611318904e-07	3	1	110569242495.98703	74966394885.5978	12416
(0.04, 0.73)	(0.21, 0.74)		(0.0, 0.25)								('CAAnsCsum', 'NCIES', 'NCtimeCmean')	4504395345538.1	3018639391806.094	0.06	0.06	2.8	0.17	[ 64.8  759.25]	[2199.9   257.82]	[1.  2.8 9. ]	[2264.69   64.8   694.45]	84004169312.68845	127944527644.13365	1.8277664222650492e-07	3	1	123200791753.08762	84004169312.68845	15354
(0.03, 1.0)	(0.19, 1.0)										('NCIES', 'NCtimeCmean')	3231845658506.76	1613090716132.5051	0.13	0.13	3.14	0.08	[126.73 710.51]	[1893.39   57.85]	[1.   3.14 9.  ]	[2020.11  126.73  583.78]	147478500860.57086	228664634399.1626	2.307997423446839e-07	3	1	192966091658.11746	147478500860.57086	34038
(0.04, 0.73)			(0.0, 0.25)								('CAAnsCsum', 'NCIES')	3102823490835.83	1118148759241.9033	0.13	0.13	2.91	0.12	[ 82.04 711.21]	[1914.96   87.14]	[1.   2.91 9.  ]	[1997.     82.04  629.17]	137005053194.87822	219454118244.5032	2.429545423602256e-07	3	1	182609365804.71307	137005053194.87822	33286
(0.03, 1.0)											('NCIES',)	675368824328.47	87440817391.68887	0.5	0.5	3.24	0.04	[106.22 623.9 ]	[1541.25 -136.89]	[1.   3.24 9.  ]	[1647.47  106.22  517.68]	369206586513.96265	604714234908.1765	3.5737173934466134e-07	3	1	401054539390.26556	369206586513.96265	131944
(0.0, 0.03)											('NCIES',)	282715896149.14	45674855846.14419	0.5	0.5	3.46	0.03	[ 69.96 475.35]	[1090.56 -313.58]	[1.   3.46 9.  ]	[1160.51   69.96  405.39]	145508160510.84244	269824059702.55188	8.890154307899514e-07	3	1	178023391056.05176	145508160510.84244	129359
	(0.16, 1.0)			(0.0, 0.32)							('NCtimeCmean', 'SSAnsCsum')	3223618132733.04	2286519838333.9004	0.12	0.12	2.84	0.11	[ 70.38 712.33]	[1938.05  112.2 ]	[1.   2.84 9.  ]	[2008.43   70.38  641.95]	133933441817.20502	213938644436.01157	2.385289257600196e-07	3	1	179778546384.0635	133933441817.20502	31947
	(0.16, 1.0)										('NCtimeCmean',)	2173905025077.94	414178071917.8093	0.23	0.23	3.17	0.06	[121.54 673.25]	[1736.14  -11.85]	[1.   3.17 9.  ]	[1857.68  121.54  551.71]	218408182883.21115	348675688345.6934	2.8011313125897896e-07	3	1	265857278058.72305	218408182883.21115	61179
	(0.12, 1.0)										('NCtimeCmean',)	735160492415.2	245071830172.52777	0.49	0.49	3.25	0.04	[107.04 626.58]	[1552.58 -137.71]	[1.   3.25 9.  ]	[1659.62  107.04  519.54]	366092530978.5816	595643077223.6378	3.4940346818352237e-07	3	1	398959905737.64417	366092530978.5816	127914
		(0.71, 1.0)									('SAtimeCmean',)	941506817439.57	159411152011.3659	0.38	0.38	3.16	0.04	[107.88 640.94]	[1544.15 -141.45]	[1.   3.16 9.  ]	[1652.02  107.88  533.06]	294759891190.3474	487256195101.3379	3.392150797593804e-07	3	1	328027411057.4285	294759891190.3474	99987
			(0.0, 0.25)								('CAAnsCsum',)	1328721136542.93	107288980669.14792	0.27	0.27	2.92	0.08	[ 77.82 641.69]	[1638.18   -8.32]	[1.   2.92 9.  ]	[1716.01   77.82  563.87]	232273727685.41818	371834904747.3441	2.979415738904703e-07	3	1	265124690904.87134	232273727685.41818	69204
					(0.41, 1.0)						('NCRTinterceptNumRatio',)	1918637457442.53	928983223430.9354	0.24	0.24	3.2	0.05	[126.47 670.58]	[1682.93  -58.7 ]	[1.  3.2 9. ]	[1809.4   126.47  544.11]	225929651716.78656	361200877529.7986	2.8479218867940793e-07	3	1	269589759123.95563	225929651716.78656	64343
					(0.0, 0.36)						('NCRTinterceptNumRatio',)	373764987011.07	353639896067.3502	0.3	0.3	3.47	0.04	[ 61.73 447.75]	[1041.2  -299.38]	[1.   3.47 9.  ]	[1102.93   61.73  386.02]	79840821663.85733	145938483962.82422	9.784718941008168e-07	3	1	112306402617.43266	79840821663.85733	78122
						(0.0, 0.2)					('CAPreOrdmax',)	1529720229573.08	793918596800.2511	0.26	0.26	3.11	0.05	[114.56 669.36]	[1605.38 -117.31]	[1.   3.11 9.  ]	[1719.94  114.56  554.8 ]	219001816426.76398	362088726383.9683	3.0580568276882763e-07	3	1	257156560831.4856	219001816426.76398	66972
						(0.33, 1.0)					('CAPreOrdmax',)	354834000434.31	196714973192.10178	0.24	0.24	3.55	0.05	[ 64.65 434.79]	[1090.84 -224.69]	[1.   3.55 9.  ]	[1155.49   64.65  370.15]	67090007743.328606	116607102022.41702	9.424950469809381e-07	3	1	93578611719.76091	67090007743.328606	63232
							(0.0, 0.36)				('SSPreOrdmax',)	1581157646645.18	522863293942.6647	0.25	0.25	3.1	0.05	[116.6  670.94]	[1613.6  -106.97]	[1.  3.1 9. ]	[1730.21  116.6   554.34]	212448434151.9253	351667203182.1659	3.0516111007736737e-07	3	1	251150504131.60464	212448434151.9253	64831
								['3']			('grade',)	807868104175.08	306012662952.901	0.3	0.3	3.2	0.05	[105.9  633.93]	[1561.07 -128.34]	[1.  3.2 9. ]	[1666.97  105.9   528.03]	235502767770.3683	382114309523.2769	3.340342907422e-07	3	1	259555667327.9231	235502767770.3683	78666
									(0.6, 1.0)		('SAPreOrdmax',)	342348869343.16	126198600216.45169	0.27	0.27	3.56	0.04	[ 61.8  440.87]	[1063.95 -286.19]	[1.   3.56 9.  ]	[1125.74   61.8   379.08]	64327197771.049835	120531563269.72557	1.0919797913474944e-06	3	1	95597550396.14748	64327197771.049835	70244
										(0.0, 0.19)	('NCtimeCmedian',)	286076306322.2	91567608521.94934	0.49	0.49	3.45	0.03	[ 69.52 475.84]	[1090.95 -311.42]	[1.   3.45 9.  ]	[1160.47   69.52  406.32]	147909534008.10782	271311205516.74155	8.637103811915004e-07	3	1	179486382058.2632	147909534008.10782	127751
										(0.19, 1.0)	('NCtimeCmedian',)	624330294110.34	48604275866.10513	0.51	0.51	3.25	0.04	[106.12 621.51]	[1536.06 -140.84]	[1.   3.25 9.  ]	[1642.19  106.12  515.39]	369438782474.71155	605241867414.1409	3.6149967554947153e-07	3	1	399591548388.05396	369438782474.71155	133552
