NCRTinterceptNumRatio	NCtimeCmedian	SAPreOrdmax	NCtimeCmean	CAAnsCsum	NCIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.3, 0.38)	(0.09, 0.18)	(0.61, 1.0)				('NCRTinterceptNumRatio', 'NCtimeCmedian', 'SAPreOrdmax')	1951.95	-inf	0.2	0.2	3.53	0.17	[ 37.5  413.67]	[1032.07 -295.94]	[1.   3.53 9.  ]	[1069.57   37.5   376.17]	1552383259.8525221	3396714458.8063293	1.7096293606336187e-06	3	1	-35266.73839712383	3239005166.1109443	1552383259.8525221	2654
(0.3, 0.38)	(0.09, 0.18)					('NCRTinterceptNumRatio', 'NCtimeCmedian')	1598.1	368.2246337579617	0.41	0.41	3.5	0.14	[ 61.61 457.81]	[1072.91 -313.48]	[1.  3.5 9. ]	[1134.51   61.61  396.21]	4661238016.27984	9237916290.768024	1.1218049757890916e-06	3	1	-71665.97474052546	6327486387.850633	4661238016.27984	5229
	(0.19, 0.52)					('NCtimeCmedian',)	509.37	2.724137220779221	0.5	0.5	3.55	90.96	[105.85 712.47 454.22]	[1501.11 -651.7  1156.08]	[1.   3.55 7.   9.  ]	[1606.96  105.85  606.62 -258.25]	17501209551.625942	29005804401.67911	3.7465981883468307e-07	5	2	-97069.49246351855	18965736010.776398	17501209551.625942	6557
	(0.07, 0.19)					('NCtimeCmedian',)	1214.6	1.783767209302326	0.5	0.5	3.55	0.15	[ 80.6  469.56]	[1085.46 -295.86]	[1.   3.55 9.  ]	[1166.06   80.6   388.96]	7233795102.289127	13210257771.21351	8.922011072663143e-07	3	1	-89927.78972535922	8731679596.722982	7233795102.289127	6454
			(0.04, 0.12)	(0.34, 0.95)		('NCtimeCmean', 'CAAnsCsum')	1621.18	920.6369867549669	0.39	0.39	3.74	0.18	[ 94.87 447.06]	[1030.43 -285.04]	[1.   3.74 9.  ]	[1125.3    94.87  352.19]	4811475585.262306	8962166332.082563	1.057264015966668e-06	3	1	-70021.83872004676	6617343652.762209	4811475585.262306	5087
			(0.16, 0.44)			('NCtimeCmean',)	581.54	581.54	0.23	0.23	3.28	0.23	[ 96.83 687.67]	[1746.06 -191.69]	[1.   3.28 9.  ]	[1842.89   96.83  590.84]	9994118410.789139	16332276906.796787	2.9937608071263094e-07	3	1	-44968.53434662123	12138244317.195908	9994118410.789139	2992
			(0.12, 0.44)			('NCtimeCmean',)	549.9	307.0551205479452	0.47	0.47	3.49	94.59	[ 94.95 715.95 454.98]	[1541.69 -626.59 1200.22]	[1.   3.49 7.   9.  ]	[1636.64   94.95  621.   -260.97]	17024698531.480719	28138557956.23493	3.6552776476440526e-07	5	2	-92280.51058014514	18649870342.253498	17024698531.480719	6223
			(0.04, 0.12)			('NCtimeCmean',)	1229.73	148.1265681818182	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.08 -313.04]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.864317	13901651663.332743	9.022849295061996e-07	3	1	-94518.0487532037	9018370533.213129	7524230736.864317	6789
					(0.03, 0.38)	('NCIES',)	545.89	30.610383554376664	0.49	0.49	3.55	92.34	[107.2  720.03 457.22]	[1506.24 -669.42 1170.25]	[1.   3.55 7.   9.  ]	[1613.44  107.2   612.83 -262.81]	17228948509.283447	28689539453.66276	3.717580325084148e-07	5	2	-94869.99420944002	18813150763.198032	17228948509.283447	6405
					(0.01, 0.03)	('NCIES',)	1181.6	18.28503677581864	0.51	0.51	3.54	0.15	[ 80.04 469.48]	[1095.53 -284.26]	[1.   3.54 9.  ]	[1175.58   80.04  389.43]	7596990110.64931	13755019383.455202	8.741619909035788e-07	3	1	-92668.35394460152	9076401289.054163	7596990110.64931	6641
