NCRTinterceptNumRatio	NCtimeCmedian	SAPreOrdmax	CAAnsCsum	NCtimeCmean	NCRTinterceptNumDis	NCIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.3, 0.38)	(0.09, 0.18)	(0.61, 1.0)					('NCRTinterceptNumRatio', 'NCtimeCmedian', 'SAPreOrdmax')	1951.95	-inf	0.2	0.2	3.53	0.17	[ 37.51 413.67]	[1032.07 -295.94]	[1.   3.53 9.  ]	[1069.57   37.51  376.17]	1552383259.8525085	3396714458.8063293	1.7096293606336335e-06	3	1	-35266.738397123816	3239005093.1909556	1552383259.8525085	2654
(0.3, 0.38)	(0.09, 0.18)		(0.38, 0.95)				('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum')	1948.61	1333.2594736842104	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.1184697	5671443548.326913	1.421377793952648e-06	3	1	-51753.00310943331	4488658015.028724	2703011132.1184697	3842
(0.38, 0.58)							('NCRTinterceptNumRatio',)	524.09	95.95362464689266	0.46	0.46	3.2	0.17	[102.95 623.7 ]	[1510.71 -155.45]	[1.  3.2 9. ]	[1613.67  102.95  520.75]	16794588527.678177	27653237844.162632	3.584487937932383e-07	3	1	-89371.8182583452	18322219690.37841	16794588527.678177	6020
	(0.08, 0.18)				(0.27, 0.35)		('NCRTinterceptNumDis', 'NCtimeCmedian')	1593.87	567.5333635646688	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.894766	9332565711.661802	1.1299838297212334e-06	3	1	-72257.90786820714	6315022424.231494	4668208394.894766	5275
			(0.34, 0.95)	(0.04, 0.12)			('NCtimeCmean', 'CAAnsCsum')	1621.18	817.3001821192054	0.39	0.39	3.74	0.18	[ 94.87 447.06]	[1030.43 -285.04]	[1.   3.74 9.  ]	[1125.3    94.87  352.19]	4811475585.262159	8962166332.082563	1.0572640159667003e-06	3	1	-70021.8387200466	6617343344.058162	4811475585.262159	5087
				(0.16, 0.44)			('NCtimeCmean',)	581.54	581.54	0.23	0.23	3.28	0.23	[ 96.83 687.67]	[1746.06 -191.69]	[1.   3.28 9.  ]	[1842.89   96.83  590.84]	9994118410.794725	16332276906.796787	2.993760807124636e-07	3	1	-44968.5343466229	12138244413.056103	9994118410.794725	2992
				(0.12, 0.44)			('NCtimeCmean',)	549.91	414.1274280821918	0.47	0.47	3.49	94.59	[ 94.16 715.54 455.19]	[1542.92 -624.01 1198.42]	[1.   3.49 7.   9.  ]	[1637.08   94.16  621.38 -260.35]	17024693048.875647	28138557956.23493	3.6552788247838527e-07	5	2	-92280.50857610046	18649870654.515728	17024693048.875647	6223
				(0.04, 0.12)			('NCtimeCmean',)	1229.73	362.76279637592137	0.53	0.53	3.63	0.15	[ 93.67 474.25]	[1067.08 -313.04]	[1.   3.63 9.  ]	[1160.75   93.67  380.58]	7524230736.864298	13901651663.332743	9.022849295062019e-07	3	1	-94518.04875320368	9018370232.76499	7524230736.864298	6789
						(0.03, 0.38)	('NCIES',)	545.89	203.07976790450928	0.49	0.49	3.55	92.34	[107.26 720.06 457.21]	[1506.16 -669.58 1170.37]	[1.   3.55 7.   9.  ]	[1613.41  107.26  612.8  -262.85]	17228948535.09868	28689539453.66276	3.717580319513861e-07	5	2	-94869.99421903703	18813150963.806446	17228948535.09868	6405
						(0.01, 0.03)	('NCIES',)	1181.6	176.25409319899242	0.51	0.51	3.54	0.15	[ 80.04 469.48]	[1095.53 -284.26]	[1.   3.54 9.  ]	[1175.58   80.04  389.43]	7596990110.649378	13755019383.455202	8.741619909035709e-07	3	1	-92668.35394460158	9076401088.454876	7596990110.649378	6641
