NCRTinterceptNumRatio	NCtimeCmedian	SAPreOrdmax	CAAnsCsum	CAPreOrdmax	NCRTinterceptNumDis	SAAnsCsum	NCPreOrdmax	NCtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.3, 0.38)	(0.09, 0.18)	(0.61, 1.0)							('NCRTinterceptNumRatio', 'NCtimeCmedian', 'SAPreOrdmax')	1951.95	-inf	0.2	0.2	3.53	0.17	[ 37.5  413.67]	[1032.07 -295.94]	[1.   3.53 9.  ]	[1069.57   37.5   376.17]	1552383259.8525229	3396714458.8063293	1.7096293606336178e-06	3	1	-35266.73839712384	3239005145.692703	1552383259.8525229	2654
(0.3, 0.38)	(0.09, 0.18)		(0.38, 0.95)						('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum')	1948.61	1825.5398947368424	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.118369	5671443548.326913	1.421377793952701e-06	3	1	-51753.003109433164	4488658140.997734	2703011132.118369	3842
(0.3, 0.38)	(0.09, 0.18)			(0.27, 1.0)					('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAPreOrdmax')	1931.57	1639.9624938325996	0.29	0.29	3.59	0.17	[ 54.04 428.1 ]	[1058.18 -285.89]	[1.   3.59 9.  ]	[1112.22   54.04  374.06]	2840971348.1956263	5653267052.531684	1.3386266645791352e-06	3	1	-51455.994353126305	4721153118.3773985	2840971348.1956263	3803
(0.3, 0.38)						(0.56, 1.0)			('NCRTinterceptNumRatio', 'SAAnsCsum')	1864.85	1351.1342520663263	0.25	0.25	3.55	0.16	[ 45.34 426.5 ]	[1071.86 -280.1 ]	[1.   3.55 9.  ]	[1117.2    45.34  381.15]	2190471341.37581	4635888309.667573	1.5078946424039602e-06	3	1	-44300.34946452301	3852452453.892994	2190471341.37581	3303
(0.3, 0.38)						(0.56, 1.0)	(52.0, 52.0)		('NCRTinterceptNumRatio', 'SAAnsCsum', 'NCPreOrdmax')	1864.85	1047.1704830795663	0.25	0.25	3.55	0.16	[ 45.34 426.5 ]	[1071.86 -280.1 ]	[1.   3.55 9.  ]	[1117.2    45.34  381.15]	2190471341.37582	4635888309.667573	1.5078946424039532e-06	3	1	-44300.349464523024	3852452453.892994	2190471341.37582	3303
	(0.09, 0.17)		(0.34, 0.95)		(0.27, 0.35)				('NCRTinterceptNumDis', 'CAAnsCsum', 'NCtimeCmedian')	1906.59	1477.0896237556562	0.29	0.29	3.62	0.16	[ 62.69 443.16]	[1014.75 -363.35]	[1.   3.62 9.  ]	[1077.44   62.69  380.47]	2634464976.918766	5587019463.654208	1.4116718318835618e-06	3	1	-50122.33029208087	4398842650.00006	2634464976.918766	3719
	(0.08, 0.18)			(0.27, 1.0)	(0.27, 0.35)				('NCRTinterceptNumDis', 'NCtimeCmedian', 'CAPreOrdmax')	1918.77	1255.333654916594	0.3	0.3	3.59	0.17	[ 54.16 429.67]	[1058.49 -289.28]	[1.   3.59 9.  ]	[1112.65   54.16  375.51]	2870380622.0001335	5726900137.701618	1.3357113584916828e-06	3	1	-51883.61748450326	4734638944.170823	2870380622.0001335	3834
	(0.07, 0.17)		(0.34, 0.95)						('NCtimeCmedian', 'CAAnsCsum', 'NCtimeCmedian')	1882.59	1137.2966345175664	0.29	0.29	3.59	0.16	[ 63.05 443.57]	[1015.35 -350.42]	[1.   3.59 9.  ]	[1078.4    63.05  380.52]	2722213899.703657	5779558876.4425745	1.3977593753430675e-06	3	1	-51318.56760257197	4464749357.733251	2722213899.703657	3805
	(0.08, 0.18)				(0.27, 0.35)				('NCRTinterceptNumDis', 'NCtimeCmedian')	1593.87	912.6068360409683	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.894464	9332565711.661802	1.1299838297213069e-06	3	1	-72257.9078682068	6315022509.9878235	4668208394.894464	5275
			(0.34, 0.95)					(0.04, 0.12)	('NCtimeCmean', 'CAAnsCsum')	1621.18	984.5249325090717	0.39	0.39	3.74	0.18	[ 94.87 447.06]	[1030.43 -285.04]	[1.   3.74 9.  ]	[1125.3    94.87  352.19]	4811475585.26594	8962166332.082563	1.0572640159658696e-06	3	1	-70021.8387200506	6617343566.323256	4811475585.26594	5087
