NCRTinterceptNumDis	NCtimeCmedian	CAPreOrdmax	SAPreOrdmax	NCRTinterceptNumRatio	CAAnsCsum	NCtimeCmean	NCRTslopeNumRatio	NCIES	NCPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.27, 0.35)	(0.08, 0.18)	(0.27, 1.0)	(0.56, 1.0)							('NCRTinterceptNumDis', 'NCtimeCmedian', 'CAPreOrdmax', 'SAPreOrdmax')	2013.84	-inf	0.24	0.24	3.5	0.16	[ 27.73 420.36]	[1081.04 -294.07]	[1.  3.5 9. ]	[1108.77   27.73  392.64]	1918509371.2474613	4121257563.0890255	1.6101042018843292e-06	3	1	-41228.93162394984	3682119722.1489277	1918509371.2474613	3089
(0.27, 0.35)	(0.08, 0.18)									('NCRTinterceptNumDis', 'NCtimeCmedian')	1593.87	778.080070977918	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.894581	9332565711.661802	1.1299838297212783e-06	3	1	-72257.90786820694	6315022507.040768	4668208394.894581	5275
	(0.09, 0.18)			(0.3, 0.38)	(0.38, 0.95)					('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum')	1948.61	1200.7881798245612	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.118396	5671443548.326913	1.4213777939526868e-06	3	1	-51753.0031094332	4488658136.668829	2703011132.118396	3842
	(0.09, 0.18)					(0.04, 0.12)				('NCtimeCmean', 'NCtimeCmedian')	1555.89	215.28037735849057	0.41	0.41	3.52	0.14	[ 64.71 462.93]	[1068.51 -332.17]	[1.   3.52 9.  ]	[1133.23   64.71  398.22]	4710921082.169893	9428840516.906826	1.123134925784602e-06	3	1	-72509.17653848499	6321443128.481951	4710921082.169893	5291
	(0.07, 0.17)							(0.01, 0.03)		('NCIES', 'NCtimeCmedian')	1587.47	101.21792456227837	0.36	0.36	3.52	0.15	[ 60.97 456.76]	[1049.6  -343.87]	[1.   3.52 9.  ]	[1110.56   60.97  395.79]	4181995395.240384	8249812072.461178	1.1241045375971254e-06	3	1	-64422.12700283667	5861913838.294812	4181995395.240384	4701
		(0.25, 1.0)		(0.3, 0.38)						('NCRTinterceptNumRatio', 'CAPreOrdmax')	1548.64	136.68108626198082	0.4	0.4	3.69	0.17	[ 79.36 445.25]	[1087.59 -263.41]	[1.   3.69 9.  ]	[1166.95   79.36  365.89]	5265240564.291129	9493769107.531155	9.997643860188377e-07	3	1	-72751.79393467546	7066187386.494354	5265240564.291129	5264
			(0.61, 1.0)				(0.42, 0.51)			('SAPreOrdmax', 'NCRTslopeNumRatio')	1563.12	248.16775862068965	0.22	0.22	3.58	0.18	[ 51.68 425.97]	[1070.34 -269.03]	[1.   3.58 9.  ]	[1122.02   51.68  374.28]	2042135117.8530953	4197978777.4854803	1.4333037879869412e-06	3	1	-39408.27693547916	3483472119.9560447	2042135117.8530953	2927
			(0.59, 1.0)					(0.01, 0.03)	(52.0, 52.0)	('NCIES', 'SAPreOrdmax', 'NCPreOrdmax')	1804.24	62.99456065188171	0.24	0.24	3.58	0.17	[ 47.67 429.17]	[1043.31 -322.87]	[1.   3.58 9.  ]	[1090.98   47.67  381.5 ]	2146836202.6025376	4476317500.592971	1.4579593898247132e-06	3	1	-42086.56616033345	3820686289.696755	2146836202.6025376	3130
				(0.3, 0.38)	(0.34, 0.95)					('NCRTinterceptNumRatio', 'CAAnsCsum')	1605.58	551.1009527687296	0.4	0.4	3.68	0.17	[ 86.62 441.7 ]	[1064.44 -243.03]	[1.   3.68 9.  ]	[1151.06   86.62  355.08]	4944025369.412874	9089904642.234156	1.0469201942251914e-06	3	1	-71297.40440681478	6742139986.619822	4944025369.412874	5176
					(0.34, 0.95)	(0.04, 0.12)				('NCtimeCmean', 'CAAnsCsum')	1621.18	319.74017798013244	0.39	0.39	3.74	0.18	[ 94.87 447.06]	[1030.43 -285.04]	[1.   3.74 9.  ]	[1125.3    94.87  352.19]	4811475585.262159	8962166332.082563	1.0572640159667003e-06	3	1	-70021.8387200466	6617343558.685193	4811475585.262159	5087
