NCRTinterceptNumRatio	NCtimeCmedian	CAPreOrdmax	SAPreOrdmax	NCPreOrdmax	CAAnsCsum	SAAnsCsum	NCtimeCmean	NCRTinterceptNumDis	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.3, 0.38)	(0.09, 0.18)	(0.27, 1.0)	(0.56, 1.0)						('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAPreOrdmax', 'SAPreOrdmax')	2033.89	-inf	0.24	0.24	3.51	0.16	[ 27.26 418.41]	[1080.96 -290.48]	[1.   3.51 9.  ]	[1108.23   27.26  391.15]	1886484261.8673496	4045838425.6102023	1.6210047768821655e-06	3	1	-40794.75258754759	3668633915.727948	1886484261.8673496	3058
(0.3, 0.38)	(0.09, 0.18)	(0.27, 1.0)	(0.56, 1.0)	(52.0, 52.0)					('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAPreOrdmax', 'SAPreOrdmax', 'NCPreOrdmax')	2033.89	1830.5010000000009	0.24	0.24	3.51	0.16	[ 27.26 418.41]	[1080.96 -290.48]	[1.   3.51 9.  ]	[1108.23   27.26  391.15]	1886484261.8673584	4045838425.6102023	1.621004776882158e-06	3	1	-40794.7525875476	3668633915.727948	1886484261.8673584	3058
(0.3, 0.38)	(0.09, 0.18)				(0.38, 0.95)				('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum')	1948.61	1664.4377083333338	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.1184206	5671443548.326913	1.4213777939526737e-06	3	1	-51753.003109433244	4488658183.161492	2703011132.1184206	3842
(0.3, 0.38)	(0.09, 0.18)			(52.0, 52.0)	(0.38, 0.95)				('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum', 'NCPreOrdmax')	1948.61	1497.9939375	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.1183653	5671443548.326913	1.421377793952703e-06	3	1	-51753.00310943316	4488658183.161492	2703011132.1183653	3842
(0.3, 0.38)	(0.09, 0.18)	(0.27, 1.0)							('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAPreOrdmax')	1931.57	1351.5671800660796	0.29	0.29	3.59	0.17	[ 54.04 428.1 ]	[1058.18 -285.89]	[1.   3.59 9.  ]	[1112.22   54.04  374.06]	2840971348.1955814	5653267052.531684	1.3386266645791562e-06	3	1	-51455.99435312624	4721153155.525721	2840971348.1955814	3803
(0.3, 0.38)						(0.56, 1.0)			('NCRTinterceptNumRatio', 'SAAnsCsum')	1864.85	1243.8686509387755	0.25	0.25	3.55	0.16	[ 45.34 426.5 ]	[1071.86 -280.1 ]	[1.   3.55 9.  ]	[1117.2    45.34  381.15]	2190471341.37582	4635888309.667573	1.5078946424039532e-06	3	1	-44300.349464523024	3852452477.681796	2190471341.37582	3303
(0.3, 0.38)				(52.0, 52.0)		(0.56, 1.0)			('NCRTinterceptNumRatio', 'SAAnsCsum', 'NCPreOrdmax')	1864.85	1042.4473755816582	0.25	0.25	3.55	0.16	[ 45.34 426.5 ]	[1071.86 -280.1 ]	[1.   3.55 9.  ]	[1117.2    45.34  381.15]	2190471341.3758316	4635888309.667573	1.5078946424039454e-06	3	1	-44300.34946452304	3852452477.681796	2190471341.3758316	3303
	(0.07, 0.17)				(0.34, 0.95)				('NCtimeCmedian', 'CAAnsCsum', 'NCtimeCmedian')	1882.59	1152.6636835647348	0.29	0.29	3.59	0.16	[ 63.05 443.57]	[1015.35 -350.42]	[1.   3.59 9.  ]	[1078.4    63.05  380.52]	2722213899.7037516	5779558876.4425745	1.3977593753430192e-06	3	1	-51318.567602572104	4464749393.75901	2722213899.7037516	3805
	(0.08, 0.18)							(0.27, 0.35)	('NCRTinterceptNumDis', 'NCtimeCmedian')	1593.87	922.4070191877469	0.41	0.41	3.5	0.14	[ 62.23 460.05]	[1070.01 -320.89]	[1.  3.5 9. ]	[1132.24   62.23  397.81]	4668208394.89443	9332565711.661802	1.1299838297213147e-06	3	1	-72257.90786820678	6315022538.692333	4668208394.89443	5275
					(0.34, 0.95)		(0.04, 0.12)		('NCtimeCmean', 'CAAnsCsum')	1621.18	990.630535486281	0.39	0.39	3.74	0.18	[ 94.87 447.06]	[1030.43 -285.04]	[1.   3.74 9.  ]	[1125.3    94.87  352.19]	4811475585.262164	8962166332.082563	1.0572640159666993e-06	3	1	-70021.83872004661	6617343640.718389	4811475585.262164	5087
