SAAnsCsum	NCRTinterceptNumRatio	NCPreOrdmax	SSIES	SAtimeCmean	CAtimeCmedian	grade	NCRTslopeNumRatio	language	SSAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.59, 1.0)	(0.32, 0.37)									('SAAnsCsum', 'NCRTinterceptNumRatio')	-780028.19	-inf	0.21	0.21	3.59	0.17	[ 32.5  424.96]	[1055.56 -352.1 ]	[1.   3.59 9.  ]	[1088.07   32.5   392.46]	1532471401.222077	3441309217.913465	1.749461685132932e-06	3	1		3155483572.481645	1532471401.222077	2681
(0.59, 1.0)	(0.32, 0.37)	(52.0, 52.0)								('SAAnsCsum', 'NCRTinterceptNumRatio', 'NCPreOrdmax')	-780028.19	-78002.81899999997	0.21	0.21	3.59	0.17	[ 32.5  424.96]	[1055.57 -352.1 ]	[1.   3.59 9.  ]	[1088.07   32.5   392.46]	1532471401.222033	3441309217.913465	1.7494616851329818e-06	3	1		3155483572.481645	1532471401.222033	2681
(0.59, 1.0)	(0.32, 0.37)		(0.16, 0.17)							('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSIES')	-783877.41	-7838.774100000003	0.2	0.2	3.58	0.17	[ 33.38 426.5 ]	[1058.03 -349.07]	[1.   3.58 9.  ]	[1091.41   33.38  393.12]	1483418193.1565337	3367067528.3140993	1.7641687368221783e-06	3	1		3022070681.7969475	1483418193.1565337	2617
(0.59, 1.0)	(0.32, 0.37)			(0.7, 0.71)						('SAAnsCsum', 'NCRTinterceptNumRatio', 'SAtimeCmean')	-830660.09	-883.6809468085108	0.18	0.18	3.57	0.17	[ 34.28 428.46]	[1063.44 -343.82]	[1.   3.57 9.  ]	[1097.72   34.28  394.18]	1350467043.4483376	3085460895.8593683	1.758650839738805e-06	3	1		2691753294.5067477	1350467043.4483376	2375
(0.59, 1.0)	(0.32, 0.37)				(0.13, 0.14)					('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian')	-829523.28	-122.84543230534354	0.17	0.17	3.59	0.17	[ 27.48 430.27]	[1076.32 -370.54]	[1.   3.59 9.  ]	[1103.8    27.48  402.79]	1205818901.935564	2810132396.846815	1.8352672996315805e-06	3	1		2493811369.800478	1205818901.935564	2213
(0.59, 1.0)	(0.32, 0.37)					['3', '4', '5', '6', '7', '8']				('SAAnsCsum', 'NCRTinterceptNumRatio', 'grade')	-814379.99	-167.7515624138158	0.2	0.2	3.58	0.17	[ 33.95 426.85]	[1059.02 -347.24]	[1.   3.58 9.  ]	[1092.97   33.95  392.9 ]	1491946891.1899195	3337022510.3784623	1.7178895677418182e-06	3	1		2985064158.8592596	1491946891.1899195	2563
(0.59, 1.0)	(0.32, 0.37)					['4', '5', '6', '7', '8', '9']				('SAAnsCsum', 'NCRTinterceptNumRatio', 'grade')	-804693.44	-75.99058972210528	0.2	0.2	3.59	0.17	[ 27.96 426.08]	[1058.98 -371.42]	[1.   3.59 9.  ]	[1086.94   27.96  398.12]	1471512387.7941756	3288766653.7871094	1.7397067270615962e-06	3	1		3059349272.3700266	1471512387.7941756	2560
(0.59, 1.0)	(0.32, 0.37)						(0.41, 0.44)			('SAAnsCsum', 'NCRTinterceptNumRatio', 'NCRTslopeNumRatio')	-818502.78	-7.838949443355706	0.19	0.19	3.58	0.17	[ 29.05 426.73]	[1062.37 -362.79]	[1.   3.58 9.  ]	[1091.42   29.05  397.68]	1452279482.3025131	3247238777.544405	1.729006042293554e-06	3	1		2969575904.237195	1452279482.3025131	2511
(0.59, 1.0)	(0.32, 0.37)							f		('SAAnsCsum', 'NCRTinterceptNumRatio', 'language')	-846589.98	-0.9217321389144829	0.19	0.19	3.61	0.18	[ 33.82 429.68]	[1055.28 -373.13]	[1.   3.61 9.  ]	[1089.11   33.82  395.85]	1446273823.8625562	3225437239.1170955	1.69469982762609e-06	3	1		2899823677.707213	1446273823.8625562	2451
(0.59, 1.0)	(0.32, 0.37)								(0.54, 0.97)	('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum')	-785384.31	-0.09629867619504204	0.15	0.15	3.56	0.19	[ 32.4  398.45]	[1048.65 -253.58]	[1.   3.56 9.  ]	[1081.06   32.4   366.05]	973938473.845857	2235688046.7080836	2.0576248436789533e-06	3	1		2393337098.9167128	973938473.845857	2004
