SAAnsCsum	NCRTinterceptNumRatio	NCPreOrdmax	SSIES	SSAnsCsum	SSPreOrdmax	CAAnsCsum	CAPreOrdmax	SAPreOrdmax	SAAnsCprop	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.59, 1.0)	(0.32, 0.37)										('SAAnsCsum', 'NCRTinterceptNumRatio')	-780028.19	-inf	0.21	0.21	3.59	0.17	[ 32.5  424.96]	[1055.57 -352.1 ]	[1.   3.59 9.  ]	[1088.07   32.5   392.46]	1532471401.2220345	3441309217.913465	1.7494616851329803e-06	3	1		3155483587.919947	1532471401.2220345	2681
(0.59, 1.0)	(0.32, 0.37)	(52.0, 52.0)									('SAAnsCsum', 'NCRTinterceptNumRatio', 'NCPreOrdmax')	-780028.19	-390014.095	0.21	0.21	3.59	0.17	[ 32.5  424.96]	[1055.57 -352.1 ]	[1.   3.59 9.  ]	[1088.07   32.5   392.46]	1532471401.222032	3441309217.913465	1.7494616851329829e-06	3	1		3155483587.919947	1532471401.222032	2681
(0.59, 1.0)	(0.32, 0.37)		(0.16, 0.17)								('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSIES')	-783877.41	-195969.3525	0.2	0.2	3.58	0.17	[ 33.38 426.5 ]	[1058.03 -349.07]	[1.   3.58 9.  ]	[1091.41   33.38  393.12]	1483418193.1565745	3367067528.3140993	1.7641687368221298e-06	3	1		3022070696.7707963	1483418193.1565745	2617
(0.59, 1.0)	(0.32, 0.37)			(0.54, 0.97)							('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum')	-785384.31	-99823.00578781513	0.15	0.15	3.56	0.19	[ 32.4  398.45]	[1048.65 -253.58]	[1.   3.56 9.  ]	[1081.06   32.4   366.05]	973938473.8458486	2235688046.7080836	2.0576248436789715e-06	3	1		2393337109.5323987	973938473.8458486	2004
(0.59, 1.0)	(0.32, 0.37)				(0.57, 1.0)						('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSPreOrdmax')	-820354.07	-59390.216526041666	0.16	0.16	3.48	0.19	[ 26.38 392.2 ]	[1057.69 -216.11]	[1.   3.48 9.  ]	[1084.07   26.38  365.82]	1029594808.6134329	2291000693.3323426	1.9609655984173135e-06	3	1		2483020378.1399827	1029594808.6134329	2019
(0.59, 1.0)	(0.32, 0.37)					(0.48, 0.95)					('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAAnsCsum')	-809489.36	-36813.66754065041	0.16	0.16	3.62	0.19	[ 32.23 412.48]	[1052.66 -322.15]	[1.   3.62 9.  ]	[1084.88   32.23  380.26]	1059166518.4683713	2433385160.5014477	1.9562551911065474e-06	3	1		2456067701.232596	1059166518.4683713	2072
(0.59, 1.0)	(0.32, 0.37)						(0.34, 1.0)				('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAPreOrdmax')	-855555.32	-22130.304364495794	0.15	0.15	3.59	0.19	[ 35.83 408.53]	[1040.52 -296.13]	[1.   3.59 9.  ]	[1076.34   35.83  372.71]	1066077784.3305389	2395562520.8562193	1.8854158951095793e-06	3	1		2426128838.892918	1066077784.3305389	2010
(0.59, 1.0)	(0.32, 0.37)									(0.09, 0.16)	('SAAnsCsum', 'NCRTinterceptNumRatio', 'NCtimeCmedian')	-812507.63	-12024.534920604674	0.16	0.16	3.59	0.19	[ 35.98 408.28]	[ 999.77 -337.89]	[1.   3.59 9.  ]	[1035.76   35.98  372.3 ]	1065586926.8691156	2435647000.8886743	1.94728364967532e-06	3	1		2609157404.786963	1065586926.8691156	2075
(0.59, 1.0)	(0.32, 0.35)										('SAAnsCsum', 'NCRTinterceptNumRatio')	-947899.96	-7540.463955891927	0.12	0.12	3.5	0.21	[ 31.13 395.13]	[ 997.91 -276.49]	[1.  3.5 9. ]	[1029.05   31.13  364.  ]	824388367.7350475	1845818400.468362	1.955389065506666e-06	3	1		2093525699.981791	824388367.7350475	1612
	(0.32, 0.37)							(0.61, 1.0)	(0.94, 1.0)		('SAPreOrdmax', 'NCRTinterceptNumRatio', 'SAAnsCprop')	-826302.9	-18784.421714907785	0.16	0.16	3.57	0.18	[ 22.9  417.12]	[1075.24 -330.37]	[1.   3.57 9.  ]	[1098.15   22.9   394.22]	1072801625.8342937	2477814521.7890406	1.922070166883303e-06	3	1		2396705266.3991485	1072801625.8342937	2062
