SAAnsCsum	NCRTinterceptNumRatio	NCPreOrdmax	SSIES	SSAnsCsum	SAPreOrdmax	SSPreOrdmax	CAAnsCsum	NCtimeCmean	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.59, 1.0)	(0.32, 0.37)									('SAAnsCsum', 'NCRTinterceptNumRatio')	-780028.19	-inf	0.21	0.21	3.59	0.17	[ 32.5  424.96]	[1055.57 -352.1 ]	[1.   3.59 9.  ]	[1088.07   32.5   392.46]	1532471401.2220316	3441309217.913465	1.7494616851329837e-06	3	1		3155483927.046899	1532471401.2220316	2681
(0.59, 1.0)	(0.32, 0.37)	(52.0, 52.0)								('SAAnsCsum', 'NCRTinterceptNumRatio', 'NCPreOrdmax')	-780028.19	-702025.3710000003	0.21	0.21	3.59	0.17	[ 32.5  424.96]	[1055.57 -352.1 ]	[1.   3.59 9.  ]	[1088.07   32.5   392.46]	1532471401.2220387	3441309217.913465	1.7494616851329755e-06	3	1		3155483927.046899	1532471401.2220387	2681
(0.59, 1.0)	(0.32, 0.37)		(0.16, 0.17)							('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSIES')	-783877.41	-634940.7021000003	0.2	0.2	3.58	0.17	[ 33.38 426.5 ]	[1058.03 -349.06]	[1.   3.58 9.  ]	[1091.41   33.38  393.12]	1483418193.156526	3367067528.3140993	1.7641687368221874e-06	3	1		3022071025.6953325	1483418193.156526	2617
(0.59, 1.0)	(0.32, 0.37)			(0.54, 0.97)						('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum')	-785384.31	-573614.3406305042	0.15	0.15	3.56	0.19	[ 32.4  398.45]	[1048.65 -253.58]	[1.   3.56 9.  ]	[1081.06   32.4   366.05]	973938473.8458483	2235688046.7080836	2.057624843678972e-06	3	1		2393337342.7223334	973938473.8458483	2004
(0.59, 1.0)	(0.32, 0.37)					(0.57, 1.0)				('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSPreOrdmax')	-820354.07	-500070.61363653006	0.16	0.16	3.48	0.19	[ 26.38 392.2 ]	[1057.7  -216.11]	[1.   3.48 9.  ]	[1084.07   26.38  365.82]	1029594808.6178596	2291000693.3323426	1.9609655984088826e-06	3	1		2483020493.0508537	1029594808.6178596	2019
(0.59, 1.0)	(0.32, 0.37)						(0.48, 0.95)			('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAAnsCsum')	-809489.36	-458756.57420920976	0.16	0.16	3.62	0.19	[ 32.23 412.48]	[1052.66 -322.15]	[1.   3.62 9.  ]	[1084.88   32.23  380.26]	1059166518.4683789	2433385160.5014477	1.9562551911065334e-06	3	1		2456068021.283261	1059166518.4683789	2072
(0.59, 1.0)							(0.48, 0.95)	(0.05, 0.1)		('SAAnsCsum', 'NCtimeCmean', 'CAAnsCsum')	-821880.12	-431602.5606391492	0.14	0.14	3.61	0.2	[ 37.2  407.12]	[1029.5  -306.63]	[1.   3.61 9.  ]	[1066.7    37.2   369.93]	923949934.8699956	2154417268.106575	2.041236141507353e-06	3	1		2254938589.869304	923949934.8699956	1886
(0.59, 1.0)	(0.32, 0.37)								(0.09, 0.16)	('SAAnsCsum', 'NCRTinterceptNumRatio', 'NCtimeCmedian')	-812507.63	-403528.14103516267	0.16	0.16	3.59	0.19	[ 35.98 408.28]	[ 999.77 -337.89]	[1.   3.59 9.  ]	[1035.76   35.98  372.3 ]	1065586926.8691119	2435647000.8886743	1.947283649675327e-06	3	1		2609157658.0613284	1065586926.8691119	2075
(0.59, 1.0)							(0.48, 0.95)		(0.07, 0.17)	('SAAnsCsum', 'NCtimeCmedian', 'CAAnsCsum')	-858037.03	-374757.67166896374	0.15	0.15	3.62	0.2	[ 39.27 414.13]	[1022.86 -334.9 ]	[1.   3.62 9.  ]	[1062.13   39.27  374.86]	1024062915.8440742	2340070578.747062	1.911015397317616e-06	3	1		2355491610.858819	1024062915.8440742	1957
	(0.32, 0.37)			(0.54, 0.97)	(0.61, 1.0)					('SAPreOrdmax', 'NCRTinterceptNumRatio', 'SSAnsCsum')	-805431.81	-541068.7849543866	0.15	0.15	3.6	0.19	[ 33.91 402.15]	[1045.69 -278.89]	[1.  3.6 9. ]	[1079.6    33.91  368.24]	1000405385.8003465	2277472110.724327	2.0051871256122393e-06	3	1		2424218270.774357	1000405385.8003465	2006
