SAAnsCsum	NCRTinterceptNumRatio	CAtimeCmedian	SSAnsCsum	NCPreOrdmax	SAAnsCprop	SAtimeCmean	grade	NCRTslopeNumDis	NCRTinterceptNumDis	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)							('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum')	-766371.51	-inf	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.4038918	2015789892.197121	2.2492730493244384e-06	3	1		1979135322.5663128	802926083.4038918	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)	(52.0, 52.0)						('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'NCPreOrdmax')	-766371.51	-76637.151	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.4038926	2015789892.197121	2.249273049324436e-06	3	1		1979135322.5663128	802926083.4038926	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)		(0.81, 1.0)					('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'SAAnsCprop')	-766371.51	-7663.715100000004	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.4039043	2015789892.197121	2.249273049324403e-06	3	1		1979135322.5663128	802926083.4039043	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)			(0.7, 0.71)				('SAAnsCsum', 'NCRTinterceptNumRatio', 'SAtimeCmean', 'SSAnsCsum', 'CAtimeCmedian')	-786680.37	-786.6803700000004	0.13	0.13	3.61	0.18	[ 30.57 423.41]	[1065.44 -354.24]	[1.   3.61 9.  ]	[1096.01   30.57  392.84]	745183627.3653442	1928799025.7485278	2.278632994129801e-06	3	1		1792092435.2759304	745183627.3653442	1698
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)				['3', '4', '5', '6', '7']			('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'grade')	-839129.33	-116.04980095744679	0.12	0.12	3.59	0.19	[ 31.55 423.1 ]	[1077.96 -328.58]	[1.   3.59 9.  ]	[1109.5    31.55  391.55]	710487822.7793087	1823790283.7383356	2.232269082101696e-06	3	1		1639292351.4966655	710487822.7793087	1586
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)					(0.39, 0.41)		('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'NCRTslopeNumDis')	-852947.74	-25.863576632258066	0.12	0.12	3.6	0.19	[ 26.59 420.08]	[1079.86 -335.66]	[1.  3.6 9. ]	[1106.45   26.59  393.49]	712444696.6483924	1794752106.3547363	2.2078906719356366e-06	3	1		1690282344.9064984	712444696.6483924	1573
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)				['3', '4', '5', '6', '7', '8']			('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'grade')	-788163.43	-13.201737452499998	0.13	0.13	3.58	0.19	[ 29.59 412.62]	[1066.22 -306.42]	[1.   3.58 9.  ]	[1095.81   29.59  383.03]	788780319.5588872	1961719772.6788154	2.2262218725005902e-06	3	1		1929441085.4008405	788780319.5588872	1756
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.97)				['3', '4', '5', '6', '7', '8']			('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum', 'CAtimeCmedian', 'grade')	-847910.45	-1.4649006072340431	0.12	0.12	3.56	0.2	[ 28.02 401.29]	[1066.29 -260.99]	[1.   3.56 9.  ]	[1094.31   28.02  373.27]	716429760.3601291	1723128280.9065657	2.2109634295534677e-06	3	1		1811052754.3519788	716429760.3601291	1584
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)						(0.29, 0.33)	('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'NCRTinterceptNumDis')	-836526.66	-0.33962982396000013	0.12	0.12	3.63	0.2	[ 27.63 416.82]	[1047.25 -367.39]	[1.   3.63 9.  ]	[1074.88   27.63  389.2 ]	658077287.1545013	1673718411.6268954	2.305200361129989e-06	3	1		1714893954.6213531	658077287.1545013	1517
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.97)							('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum', 'CAtimeCmedian')	-828265.23	-0.8877450268293752	0.12	0.12	3.57	0.2	[ 26.83 402.85]	[1068.73 -272.35]	[1.   3.57 9.  ]	[1095.56   26.83  376.02]	724025878.3161738	1755267944.5318491	2.233345586708262e-06	3	1		1842245853.9528816	724025878.3161738	1617
