SAAnsCsum	NCRTinterceptNumRatio	CAtimeCmedian	SSAnsCsum	NCPreOrdmax	SAAnsCprop	SAtimeCmean	grade	NCRTslopeNumRatio	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)						('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum')	-766371.51	-inf	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.403892	2015789892.197121	2.2492730493244375e-06	3	1		1979135019.758143	802926083.403892	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)	(52.0, 52.0)					('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'NCPreOrdmax')	-766371.51	-383185.755	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.4038941	2015789892.197121	2.249273049324432e-06	3	1		1979135019.758143	802926083.4038941	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)		(0.81, 1.0)				('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'SAAnsCprop')	-766371.51	-191592.8775	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.4038937	2015789892.197121	2.249273049324433e-06	3	1		1979135019.758143	802926083.4038937	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)			(0.7, 0.71)			('SAAnsCsum', 'NCRTinterceptNumRatio', 'SAtimeCmean', 'SSAnsCsum', 'CAtimeCmedian')	-786680.37	-98335.04625	0.13	0.13	3.61	0.18	[ 30.57 423.41]	[1065.44 -354.24]	[1.   3.61 9.  ]	[1096.01   30.57  392.84]	745183627.3653531	1928799025.7485278	2.2786329941297736e-06	3	1		1792092127.5741942	745183627.3653531	1698
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)				['3', '4', '5', '6', '7', '8']		('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'grade')	-788163.43	-52102.14981971154	0.13	0.13	3.58	0.19	[ 29.59 412.62]	[1066.22 -306.42]	[1.   3.58 9.  ]	[1095.81   29.59  383.03]	788780319.558888	1961719772.6788154	2.226221872500588e-06	3	1		1929440805.650835	788780319.558888	1756
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.97)					(0.41, 0.44)	('SAAnsCsum', 'NCRTinterceptNumRatio', 'NCRTslopeNumRatio', 'SSAnsCsum', 'CAtimeCmedian')	-788387.02	-26810.955643382353	0.13	0.13	3.61	0.18	[ 24.84 417.94]	[1071.42 -348.94]	[1.   3.61 9.  ]	[1096.26   24.84  393.1 ]	762718451.6484768	1923782230.5529072	2.2550916347736623e-06	3	1		1894559009.8909273	762718451.6484768	1720
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)				['4', '5', '6', '7', '8', '9']		('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'grade')	-789605.47	-13925.591519183166	0.13	0.13	3.63	0.19	[ 25.45 417.27]	[1068.92 -354.97]	[1.   3.63 9.  ]	[1094.37   25.45  391.83]	751568011.6984539	1890537791.4726954	2.2659293284069174e-06	3	1		1893403814.8731775	751568011.6984539	1703
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.97)				['4', '5', '6', '7', '8', '9']		('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum', 'CAtimeCmedian', 'grade')	-844864.64	-7461.4404347826085	0.12	0.12	3.6	0.2	[ 24.9  406.46]	[1070.84 -303.44]	[1.  3.6 9. ]	[1095.74   24.9   381.57]	687994181.369975	1678746649.359587	2.251472529775672e-06	3	1		1770330486.5246735	687994181.369975	1549
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.97)					(0.41, 0.44)	('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum', 'NCRTslopeNumRatio', 'CAtimeCmedian')	-855859.55	-3967.75546875	0.12	0.12	3.58	0.2	[ 24.01 405.23]	[1069.38 -295.51]	[1.   3.58 9.  ]	[1093.39   24.01  381.23]	683603393.4926957	1662885772.471587	2.239602691522272e-06	3	1		1757669602.5336034	683603393.4926957	1531
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.97)						('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum', 'CAtimeCmedian')	-828265.23	-2359.1538940429687	0.12	0.12	3.57	0.2	[ 26.83 402.85]	[1068.73 -272.35]	[1.   3.57 9.  ]	[1095.56   26.83  376.02]	724025878.3161739	1755267944.5318491	2.2333455867082617e-06	3	1		1842245612.400819	724025878.3161739	1617
