SAAnsCsum	NCRTinterceptNumRatio	CAtimeCmedian	SSAnsCsum	NCPreOrdmax	SAAnsCprop	grade	language	SSIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)						('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum')	-766371.51	-inf	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.4038912	2015789892.197121	2.24927304932444e-06	3	1		1979135015.861056	802926083.4038912	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)	(52.0, 52.0)					('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'NCPreOrdmax')	-766371.51	-689734.3590000003	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.4039028	2015789892.197121	2.249273049324408e-06	3	1		1979135015.861056	802926083.4039028	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)		(0.81, 1.0)				('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'SAAnsCprop')	-766371.51	-620760.9231000002	0.14	0.14	3.6	0.18	[ 27.32 415.2 ]	[1070.74 -325.63]	[1.  3.6 9. ]	[1098.06   27.32  387.88]	802926083.4038961	2015789892.197121	2.249273049324426e-06	3	1		1979135015.861056	802926083.4038961	1806
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)			['3', '4', '5', '6', '7', '8']			('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'grade')	-788163.43	-574571.14047	0.13	0.13	3.58	0.19	[ 29.59 412.62]	[1066.22 -306.42]	[1.   3.58 9.  ]	[1095.81   29.59  383.03]	788780319.5589285	1961719772.6788154	2.226221872500474e-06	3	1		1929440802.0505085	788780319.5589285	1756
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)			['4', '5', '6', '7', '8', '9']			('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'grade')	-789605.47	-519769.91833520797	0.13	0.13	3.63	0.19	[ 25.45 417.27]	[1068.92 -354.97]	[1.   3.63 9.  ]	[1094.37   25.45  391.83]	751568011.6984532	1890537791.4726954	2.2659293284069196e-06	3	1		1893403810.5612257	751568011.6984532	1703
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.53, 0.84)				f		('SAAnsCsum', 'NCRTinterceptNumRatio', 'CAtimeCmedian', 'SSAnsCsum', 'language')	-820001.51	-489194.4719660847	0.13	0.13	3.61	0.19	[ 30.21 418.52]	[1066.7  -335.95]	[1.   3.61 9.  ]	[1096.91   30.21  388.3 ]	735131231.599428	1857880085.2764926	2.233614801574263e-06	3	1		1781185654.5458374	735131231.599428	1642
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.97)						('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum', 'CAtimeCmedian')	-828265.23	-448325.474357475	0.12	0.12	3.57	0.2	[ 26.83 402.85]	[1068.73 -272.35]	[1.   3.57 9.  ]	[1095.56   26.83  376.02]	724025878.3161795	1755267944.5318491	2.2333455867082447e-06	3	1		1842245609.292098	724025878.3161795	1617
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.97)	(52.0, 52.0)					('SAAnsCsum', 'NCRTinterceptNumRatio', 'NCPreOrdmax', 'SSAnsCsum', 'CAtimeCmedian')	-828265.23	-403492.92692172754	0.12	0.12	3.57	0.2	[ 26.83 402.85]	[1068.73 -272.35]	[1.   3.57 9.  ]	[1095.56   26.83  376.02]	724025878.316174	1755267944.5318491	2.2333455867082617e-06	3	1		1842245609.292098	724025878.316174	1617
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.97)		(0.81, 1.0)				('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSAnsCsum', 'SAAnsCprop', 'CAtimeCmedian')	-828265.23	-363143.63422955485	0.12	0.12	3.57	0.2	[ 26.83 402.85]	[1068.73 -272.35]	[1.   3.57 9.  ]	[1095.56   26.83  376.02]	724025878.3161747	1755267944.5318491	2.233345586708259e-06	3	1		1842245609.292098	724025878.3161747	1617
(0.59, 1.0)	(0.32, 0.37)	(0.13, 0.14)	(0.54, 0.84)					(0.16, 0.17)	('SAAnsCsum', 'NCRTinterceptNumRatio', 'SSIES', 'SSAnsCsum', 'CAtimeCmedian')	-828265.23	-326829.27080659935	0.12	0.12	3.57	0.2	[ 26.83 402.85]	[1068.73 -272.35]	[1.   3.57 9.  ]	[1095.56   26.83  376.02]	724025878.3161765	1755267944.5318491	2.2333455867082536e-06	3	1		1842245609.292098	724025878.3161765	1617
