NCtimeCmean	CAPreOrdmax	SSPreOrdmax	NCtimeCmedian	grade	SAtimeCmean	NCIES	CAAnsCsum	SAAnsCsum	NCRTinterceptNumDis	NCRTinterceptNumRatio	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.12)	(0.26, 1.0)	(0.51, 1.0)									('NCtimeCmean', 'CAPreOrdmax', 'SSPreOrdmax')	37361.65	-inf	0.29	0.29	3.68	0.0	[  58.95  476.86  191.01 3318.08]	[  1043.8    -493.31   1564.03 -26203.5 ]	[1.   3.68 7.2  8.88 9.  ]	[1102.75   58.95  417.91 -285.86 3127.07]	56666835738.99743	115924421455.46815	1.321619586188756e-06	7	3	-1013865.5542015037	93378612847.1738	56666835738.99743	74892
(0.0, 0.12)					(0.69, 0.71)						('NCtimeCmean', 'SAtimeCmean')	32414.01	16842.234569162727	0.42	0.42	3.68	6.74	[  69.22  511.85 -132.42  568.66]	[ 1066.99  -562.74  3991.55 -1273.84]	[1.   3.68 7.07 7.51 9.  ]	[1136.21   69.22  442.62 -644.27  701.07]	107611574331.24327	206439288300.37997	1.0238954376862988e-06	7	3	-1519713.7625818814	144478839250.06042	107611574331.24327	110183
(0.0, 0.12)											('NCtimeCmean',)	26056.56	4855.712353532814	0.51	0.51	3.63	6.54	[ 70.41 533.65  11.05 580.49]	[ 1093.49  -589.36  3284.24 -1241.86]	[1.   3.63 7.41 7.95 9.  ]	[1163.9    70.41  463.24 -522.59  569.43]	148104159255.98068	278538807974.4813	9.006431734942213e-07	7	3	-1856878.3881155378	180118028809.66443	148104159255.98068	133389
(0.12, 1.0)											('NCtimeCmean',)	11239.87	4157.871453465215	0.49	0.49	3.5	0.0	[107.04 711.34 145.19 983.98]	[ 1552.58  -563.59  3587.37 -3387.78]	[1.   3.5  7.33 8.32 9.  ]	[1659.62  107.04  604.3  -566.15  838.79]	365264831827.6872	595643077223.6378	3.5019522509175785e-07	7	3	-1901495.1497945066	398959901636.26624	365264831827.6872	127914
	(0.0, 0.2)										('CAPreOrdmax',)	10892.23	126.44509284833102	0.26	0.26	3.42	0.0	[ 114.56  775.2  -575.16 2210.56]	[  1605.38   -653.35   9744.34 -14075.81]	[1.   3.42 7.7  8.55 9.  ]	[ 1719.94   114.56   660.63 -1350.35  2785.72]	218411912715.9855	362088726383.9683	3.066316263027641e-07	7	3	-1004498.3054034826	257156554747.84146	218411912715.9855	66972
	(0.27, 1.0)										('CAPreOrdmax',)	20307.56	108.77300130030406	0.47	0.47	3.66	0.0	[ 70.21 518.76 199.25 870.56]	[ 1145.61  -495.96  1792.2  -3843.79]	[1.   3.66 7.16 8.4  9.  ]	[1215.82   70.21  448.55 -319.51  671.32]	157692083970.1555	272954518722.41483	7.830386718928098e-07	7	3	-1736207.148494758	185951463554.92865	157692083970.1555	123479
		(0.0, 0.46)									('SSPreOrdmax',)	10040.83	82.77262089320004	0.48	0.48	3.48	10.61	[ 105.44  719.81 -406.13  693.45]	[1496.32 -640.15 7599.34 -820.34]	[1.   3.48 7.32 7.66 9.  ]	[ 1601.76   105.44   614.37 -1125.93  1099.58]	344404720755.6052	573676983879.1102	3.636158056290576e-07	7	3	-1856903.2419366294	373295689982.8325	344404720755.6052	125231
			(0.03, 0.16)	['5', '6', '7', '8', '9']							('NCtimeCmedian', 'grade', 'NCtimeCmedian')	35987.16	22742.0320655354	0.22	0.22	3.61	0.0	[  55.23  460.74  -25.33 1832.7 ]	[   976.93   -488.4    3188.93 -12962.49]	[1.   3.61 7.57 8.69 9.  ]	[1032.16   55.23  405.51 -486.07 1858.03]	40527608810.09223	83891224614.69336	1.4137769703731407e-06	7	3	-771824.064760502	76007296772.87413	40527608810.09223	57297
			(0.24, 1.0)								('NCtimeCmedian',)	12590.76	12590.76	0.25	0.25	3.46	0.0	[  118.44   763.52 -1410.21  3111.64]	[  1707.85   -524.74  16478.47 -22073.8 ]	[1.   3.46 7.82 8.53 9.  ]	[ 1826.29   118.44   645.08 -2173.73  4521.85]	219111903310.77777	358658931712.21155	3.0253947411509384e-07	7	3	-995160.4871951805	265121190085.28098	219111903310.77777	66290
			(0.0, 0.19)								('NCtimeCmedian',)	25037.41	2406.843696257701	0.49	0.49	3.64	0.0	[  69.52  531.91  226.07 5913.93]	[  1090.95   -591.34   1579.8  -49259.71]	[1.   3.64 7.1  8.94 9.  ]	[1160.47   69.52  462.39 -305.84 5687.86]	147487755662.09973	271311205516.74155	8.661803783405761e-07	7	3	-1783380.5714832833	179486386267.96527	147487755662.09973	127751
			(0.19, 1.0)								('NCtimeCmedian',)	10738.76	1914.682501590938	0.51	0.51	3.47	10.28	[101.46 702.62 -21.91 717.36]	[ 1543.27  -545.35  4526.32 -1034.6 ]	[1.   3.47 7.   7.52 9.  ]	[1644.73  101.46  601.16 -724.52  739.26]	368588409709.64	605241867414.1409	3.62333693848939e-07	7	3	-1980752.2946446775	399591544177.96515	368588409709.64	133552
					(0.71, 1.0)						('SAtimeCmean',)	10887.48	973.8466612202732	0.38	0.38	3.44	12.28	[ 107.88  733.6  -493.28  693.62]	[1544.15 -608.83 8423.42 -672.7 ]	[1.   3.44 7.36 7.66 9.  ]	[ 1652.02   107.88   625.72 -1226.88  1186.9 ]	294049367656.40875	487256195101.3379	3.4003473905386176e-07	7	3	-1489308.7698203095	328027404397.29297	294049367656.40875	99987
						(0.0, 0.03)					('NCIES',)	26414.2	10165.303911013101	0.5	0.5	3.65	0.0	[   69.96   530.91 -1412.06  1505.44]	[ 1090.56  -591.06 14680.34 -9590.45]	[1.   3.65 7.86 8.32 9.  ]	[ 1160.51    69.96   460.96 -1942.97  2917.5 ]	145090549575.0483	269824059702.55188	8.915742643395864e-07	7	3	-1802089.1078621664	178023395795.71158	145090549575.0483	129359
						(0.03, 1.0)					('NCIES',)	11180.89	8008.274723222322	0.5	0.5	3.49	0.0	[106.22 708.88 276.41 886.51]	[ 1541.25  -563.61  2513.41 -2531.34]	[1.   3.49 7.11 8.27 9.  ]	[1647.47  106.22  602.65 -432.47  610.1 ]	368337751286.7461	604714234908.1765	3.582147079387563e-07	7	3	-1958412.9654125387	401054534650.219	368337751286.7461	131944
						(0.0, 0.03)	(0.36, 1.0)				('NCIES', 'CAAnsCsum')	32484.92	1199.2406714549288	0.37	0.37	3.68	0.0	[  64.47  502.9   144.64 7122.69]	[  1060.81   -552.09   2070.75 -60285.97]	[1.   3.68 7.32 8.94 9.  ]	[1125.28   64.47  438.43 -358.26 6978.05]	88782755251.3462	173264521011.5498	1.0820119259426047e-06	7	3	-1319681.5395695274	124565197110.8854	88782755251.3462	96064
								(0.48, 1.0)			('SAAnsCsum',)	19106.15	763.9595151818069	0.52	0.52	3.66	6.96	[   71.98   534.54 -1567.25   614.99]	[ 1144.13  -549.92 15524.2  -1470.51]	[1.   3.66 7.65 7.79 9.  ]	[ 1216.11    71.98   462.56 -2101.79  2182.24]	173168344326.56354	306626262642.2012	7.811242899274552e-07	7	3	-1902265.098678126	199509590922.7609	173168344326.56354	135266
									(0.35, 1.0)		('NCRTinterceptNumDis',)	11093.44	537.3513361720749	0.48	0.48	3.5	0.0	[  108.65   710.33  -899.86 28864.41]	[   1540.6     -564.75   11946.24 -254318.4 ]	[1.   3.5  7.77 8.95 9.  ]	[ 1649.26   108.65   601.68 -1610.19 29764.27]	350829584558.39874	578246990826.1455	3.593653601326017e-07	7	3	-1870914.6783426409	383240719082.0638	350829584558.39874	126076
									(0.0, 0.35)		('NCRTinterceptNumDis',)	22430.69	493.0915182026693	0.52	0.52	3.63	0.0	[  69.53  537.67 -785.25  873.29]	[ 1110.29  -591.29  9704.25 -3849.34]	[1.   3.63 7.78 8.17 9.  ]	[ 1179.82    69.53   468.14 -1322.93  1658.55]	165846046813.83182	299283784926.057	8.153766857753155e-07	7	3	-1895913.2670329474	195837211363.8667	165846046813.83182	135227
										(0.38, 1.0)	('NCRTinterceptNumRatio',)	10881.24	259.59420651926575	0.48	0.48	3.51	0.0	[  108.74   712.13 -1288.98  1433.66]	[ 1534.25  -581.44 15047.75 -7448.94]	[1.   3.51 7.81 8.26 9.  ]	[ 1642.99   108.74   603.39 -2001.11  2722.64]	347742822339.29126	574672529380.4536	3.620031584064602e-07	7	3	-1867144.9601516074	379280094341.3717	347742822339.29126	125884
										(0.0, 0.38)	('NCRTinterceptNumRatio',)	21213.67	240.614022941353	0.52	0.52	3.63	0.0	[ 69.5  536.25 229.03 716.2 ]	[ 1116.74  -575.64  1601.68 -2425.74]	[1.   3.63 7.09 8.27 9.  ]	[1186.24   69.5   466.75 -307.21  487.17]	170767834371.78522	304655317593.3931	7.93000628591296e-07	7	3	-1902373.2370823417	199797836104.55887	170767834371.78522	135419
