NCtimeCmean	NCRTinterceptNumDis	CAPreOrdmax	NCIES	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.03, 0.12)	(0.27, 0.34)	(0.28, 0.88)			('NCtimeCmean', 'NCRTinterceptNumDis', 'CAPreOrdmax')	2137.79	-inf	0.31	0.31	3.52	0.14	[ 44.42 442.41]	[1037.02 -365.37]	[1.   3.52 9.  ]	[1081.44   44.42  397.99]	2667491481.498339	5853651420.842943	1.5085334022284133e-06	3	1	-53964.095582058646	4537597525.231292	2667491481.498339	4024
(0.03, 0.11)	(0.25, 0.35)				('NCRTinterceptNumDis', 'NCtimeCmean')	1825.32	68.91402754491017	0.43	0.43	3.47	0.12	[ 53.97 466.25]	[1060.85 -368.03]	[1.   3.47 9.  ]	[1114.82   53.97  412.28]	4538222671.13541	9652831865.19476	1.24454007863544e-06	3	1	-76820.33016874053	6269618751.13106	4538222671.13541	5648
(0.12, 0.48)					('NCtimeCmean',)	577.29	33.611446949602126	0.49	0.49	3.26	0.16	[ 85.86 608.99]	[1596.75 -106.66]	[1.   3.26 9.  ]	[1682.61   85.86  523.14]	16294051390.577808	27013439855.569187	3.951748920911968e-07	3	1	-94962.52333797999	17822385180.233402	16294051390.577808	6439
(0.03, 0.12)					('NCtimeCmean',)	1318.06	22.436975909090908	0.51	0.51	3.45	0.13	[ 65.26 477.07]	[1077.86 -342.67]	[1.   3.45 9.  ]	[1143.12   65.26  411.81]	6812995198.972617	13252216419.397812	9.80332409599698e-07	3	1	-92432.88398043129	8299338157.338634	6812995198.972617	6679
	(0.35, 0.68)				('NCRTinterceptNumDis',)	532.71	0.30601873369565225	0.48	0.48	3.18	0.16	[ 78.89 599.98]	[1603.23  -54.47]	[1.   3.18 9.  ]	[1682.12   78.89  521.1 ]	16270043341.989738	26613176679.290195	3.8610837524860247e-07	3	1	-92793.45844625864	17709911016.53922	16270043341.989738	6282
			(0.01, 0.03)		('NCIES',)	1509.89	690.4000839694656	0.51	0.51	3.49	0.12	[ 56.45 478.79]	[1093.14 -379.95]	[1.   3.49 9.  ]	[1149.59   56.45  422.34]	6280245676.734108	12586319445.763592	1.0574427087466256e-06	3	1	-91404.2858786389	7883471313.3672085	6280245676.734108	6641
			(0.04, 0.11)		('NCIES',)	632.85	632.85	0.23	0.23	3.06	0.23	[ 84.98 637.8 ]	[1841.16  151.5 ]	[1.   3.06 9.  ]	[1926.14   84.98  552.82]	10022242319.744743	15860158291.095884	3.0282644374111463e-07	3	1	-45579.725575144854	12345919765.084965	10022242319.744743	3035
			(0.03, 0.11)		('NCIES',)	610.03	353.5291968503936	0.49	0.49	3.21	0.16	[ 93.59 605.52]	[1580.83  -63.26]	[1.   3.21 9.  ]	[1674.43   93.59  511.92]	16619728129.368532	27522644779.43593	3.9074044710301403e-07	3	1	-95846.7496189535	18256616307.62989	16619728129.368532	6494
				(0.19, 0.61)	('NCtimeCmedian',)	572.39	3.3118751627906984	0.5	0.5	3.22	0.16	[ 95.08 599.55]	[1570.55  -52.9 ]	[1.   3.22 9.  ]	[1665.63   95.08  504.47]	16654065578.31702	27519696969.28279	3.964197191943066e-07	3	1	-97345.09608252069	18162397048.75522	16654065578.31702	6602
				(0.08, 0.19)	('NCtimeCmedian',)	1477.9	2.45216238961039	0.5	0.5	3.49	0.12	[ 55.23 481.1 ]	[1090.6  -394.24]	[1.   3.49 9.  ]	[1145.83   55.23  425.87]	6141875110.517669	12363362243.561253	1.0579830887268425e-06	3	1	-89433.2698142303	7710391327.122703	6141875110.517669	6498
