NCRTinterceptNumDis	CAPreOrdmax	grade	NCtimeCmean	NCRTinterceptNumRatio	NCIES	SSPreOrdmax	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.25, 0.35)	(0.26, 0.88)	['4', '5', '6', '7', '8', '9']						('NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	2146.48	-inf	0.34	0.34	3.58	0.14	[ 61.35 446.14]	[1024.28 -355.11]	[1.   3.58 9.  ]	[1085.63   61.35  384.78]	3141804079.879329	6784093026.559789	1.4373907109361992e-06	3	1	-60777.55396781496	5053613684.52148	3141804079.879329	4516
(0.25, 0.35)			(0.03, 0.11)					('NCRTinterceptNumDis', 'NCtimeCmean')	1825.32	495.26833832335325	0.43	0.43	3.47	0.12	[ 53.97 466.25]	[1060.85 -368.03]	[1.   3.47 9.  ]	[1114.82   53.97  412.28]	4538222671.135435	9652831865.19476	1.2445400786354331e-06	3	1	-76820.33016874056	6269618778.65711	4538222671.135435	5648
		['4', '5', '6', '7', '8', '9']	(0.03, 0.12)	(0.29, 0.37)				('NCtimeCmean', 'NCRTinterceptNumRatio', 'grade')	2093.84	1208.8536690647481	0.36	0.36	3.48	0.14	[ 57.1  447.07]	[1017.62 -341.38]	[1.   3.48 9.  ]	[1074.72   57.1   389.97]	3405727339.9255004	7305166742.347881	1.3791473982479014e-06	3	1	-63406.89376492972	5318760712.933406	3405727339.9255004	4697
			(0.12, 0.48)					('NCtimeCmean',)	577.29	212.84697612732094	0.49	0.49	3.26	0.16	[ 85.86 608.99]	[1596.75 -106.66]	[1.   3.26 9.  ]	[1682.61   85.86  523.14]	16294051390.57721	27013439855.569187	3.951748920912113e-07	3	1	-94962.52333797976	17822385153.009457	16294051390.57721	6439
			(0.03, 0.12)					('NCtimeCmean',)	1318.06	143.850771780303	0.51	0.51	3.45	0.13	[ 65.26 477.07]	[1077.86 -342.67]	[1.   3.45 9.  ]	[1143.12   65.26  411.81]	6812995198.972614	13252216419.397812	9.803324095996984e-07	3	1	-92432.88398043129	8299338185.080429	6812995198.972614	6679
					(0.01, 0.03)	(0.46, 1.0)		('NCIES', 'SSPreOrdmax')	1921.65	780.0757425742576	0.39	0.39	3.58	0.13	[ 55.12 465.91]	[1059.28 -412.46]	[1.   3.58 9.  ]	[1114.4    55.12  410.79]	3889835704.528344	8348538066.533998	1.3157368045241322e-06	3	1	-69329.04168668865	5662329180.820593	3889835704.528344	5118
					(0.04, 0.11)			('NCIES',)	632.85	632.85	0.23	0.23	3.06	0.23	[ 84.98 637.8 ]	[1841.16  151.5 ]	[1.   3.06 9.  ]	[1926.14   84.98  552.82]	10022242319.744717	15860158291.095884	3.028264437411155e-07	3	1	-45579.72557514485	12345919718.400223	10022242319.744717	3035
					(0.03, 0.11)			('NCIES',)	610.03	455.9213713910761	0.49	0.49	3.21	0.16	[ 93.59 605.52]	[1580.83  -63.26]	[1.   3.21 9.  ]	[1674.43   93.59  511.92]	16619728129.368607	27522644779.43593	3.9074044710301233e-07	3	1	-95846.74961895353	18256616267.995422	16619728129.368607	6494
					(0.01, 0.03)			('NCIES',)	1509.89	308.07711036895677	0.51	0.51	3.49	0.12	[ 56.45 478.79]	[1093.14 -379.95]	[1.   3.49 9.  ]	[1149.59   56.45  422.34]	6280245676.735157	12586319445.763592	1.057442708746449e-06	3	1	-91404.28587864003	7883471353.001748	6280245676.735157	6641
							(0.19, 0.61)	('NCtimeCmedian',)	572.39	106.02896156330749	0.5	0.5	3.22	0.16	[ 95.08 599.55]	[1570.55  -52.9 ]	[1.   3.22 9.  ]	[1665.63   95.08  504.47]	16654065578.328924	27519696969.28279	3.9641971919402326e-07	3	1	-97345.0960825254	18162397011.064472	16654065578.328924	6602
