NCIES	NCRTinterceptNumDis	SAPreOrdmax	CAPreOrdmax	grade	NCtimeCmean	SAAnsCsum	NCRTinterceptNumRatio	SSPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.01, 0.03)	(0.25, 0.34)	(0.52, 1.0)							('NCIES', 'NCRTinterceptNumDis', 'SAPreOrdmax')	2149.32	-inf	0.32	0.32	3.47	0.14	[ 47.57 439.34]	[1026.8  -334.39]	[1.   3.47 9.  ]	[1074.37   47.57  391.77]	2746515358.793662	6032548046.171679	1.5015390271880233e-06	3	1	-55323.77204220404	4625135552.964778	2746515358.793662	4124
(0.01, 0.03)				['4', '5', '6', '7', '8', '9']				(0.46, 1.0)	('NCIES', 'SSPreOrdmax', 'grade')	2084.14	1358.3487810583026	0.35	0.35	3.59	0.14	[ 55.44 454.64]	[1040.51 -392.03]	[1.   3.59 9.  ]	[1095.95   55.44  399.21]	3200232597.326231	7003121670.979273	1.4320834066339618e-06	3	1	-61695.880995889995	5042884389.609722	3200232597.326231	4583
	(0.25, 0.35)		(0.26, 0.88)	['4', '5', '6', '7', '8', '9']					('NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	2146.48	1975.2439550561803	0.34	0.34	3.58	0.14	[ 61.35 446.14]	[1024.28 -355.11]	[1.   3.58 9.  ]	[1085.63   61.35  384.78]	3141804079.879445	6784093026.559789	1.437390710936146e-06	3	1	-60777.553967815125	5053613642.787038	3141804079.879445	4516
	(0.27, 0.34)		(0.28, 0.88)		(0.03, 0.12)				('NCtimeCmean', 'NCRTinterceptNumDis', 'CAPreOrdmax')	2137.79	1773.7369382352947	0.31	0.31	3.52	0.14	[ 44.42 442.41]	[1037.02 -365.37]	[1.   3.52 9.  ]	[1081.44   44.42  397.99]	2667491481.4983606	5853651420.842943	1.508533402228401e-06	3	1	-53964.09558205868	4537597525.774015	2667491481.4983606	4024
	(0.25, 0.35)			['4', '5', '6', '7', '8', '9']		(0.47, 1.0)			('NCRTinterceptNumDis', 'SAAnsCsum', 'grade')	2123.88	1633.915997752809	0.34	0.34	3.53	0.14	[ 60.51 445.18]	[1024.8  -333.91]	[1.   3.53 9.  ]	[1085.32   60.51  384.67]	3089294803.6890516	6779514173.177615	1.4634407809190925e-06	3	1	-60763.619469971636	4941773959.348717	3089294803.6890516	4521
	(0.27, 0.34)			['4', '5', '6', '7', '8', '9']	(0.03, 0.12)				('NCtimeCmean', 'NCRTinterceptNumDis', 'grade')	2060.61	1227.1174143780215	0.37	0.37	3.45	0.14	[ 52.25 446.75]	[1030.14 -331.38]	[1.   3.45 9.  ]	[1082.39   52.25  394.51]	3539463007.417618	7519579843.174894	1.3504873451093009e-06	3	1	-64627.33185133577	5447001008.050259	3539463007.417618	4780
	(0.25, 0.35)		(0.26, 0.88)						('NCRTinterceptNumDis', 'CAPreOrdmax')	1965.33	967.4558432020164	0.39	0.39	3.57	0.14	[ 60.91 457.76]	[1042.78 -375.32]	[1.   3.57 9.  ]	[1103.68   60.91  396.85]	3863456186.0158806	8159294007.41477	1.3073786156246675e-06	3	1	-68453.93624674197	5701101175.9116535	3863456186.0158806	5051
			(0.31, 0.88)		(0.03, 0.12)				('NCtimeCmean', 'CAPreOrdmax', 'CAPreOrdmax')	2132.05	1124.1559487522002	0.26	0.26	3.55	0.16	[ 47.45 424.11]	[1023.99 -311.97]	[1.   3.55 9.  ]	[1071.44   47.45  376.66]	2096616386.8216221	4558050851.778895	1.6135522078640618e-06	3	1	-45143.69571738438	3937510657.2696085	2096616386.8216221	3383
				['4', '5', '6', '7', '8', '9']	(0.03, 0.12)		(0.29, 0.37)		('NCtimeCmean', 'NCRTinterceptNumRatio', 'grade')	2093.84	1497.8276908201442	0.36	0.36	3.48	0.14	[ 57.1  447.07]	[1017.62 -341.38]	[1.   3.48 9.  ]	[1074.72   57.1   389.97]	3405727339.926548	7305166742.347881	1.379147398247477e-06	3	1	-63406.89376493116	5318760685.651247	3405727339.926548	4697
					(0.03, 0.12)		(0.29, 0.37)		('NCtimeCmean', 'NCRTinterceptNumRatio')	1904.95	1053.9570861892848	0.41	0.41	3.52	0.13	[ 59.67 464.53]	[1040.13 -386.63]	[1.   3.52 9.  ]	[1099.81   59.67  404.86]	4148779947.095602	8886675722.43436	1.285197110474062e-06	3	1	-72352.18342318319	5930342969.759308	4148779947.095602	5332
