NCtimeCmean	NCRTinterceptNumDis	CAPreOrdmax	grade	NCIES	SSPreOrdmax	SAPreOrdmax	NCRTinterceptNumRatio	NCtimeCmedian	NCPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.03, 0.12)	(0.27, 0.34)	(0.28, 0.88)	['5', '6', '7', '8', '9']							('NCtimeCmean', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	2305.39	-inf	0.24	0.24	3.44	0.15	[ 33.24 416.97]	[1020.87 -298.81]	[1.   3.44 9.  ]	[1054.11   33.24  383.73]	1703377626.2822762	3938886896.99968	1.8375256030757038e-06	3	1	-41362.34016918043	3557855812.055748	1703377626.2822762	3130
(0.03, 0.11)	(0.25, 0.35)									('NCRTinterceptNumDis', 'NCtimeCmean')	1825.32	925.2295688622754	0.43	0.43	3.47	0.12	[ 53.97 466.25]	[1060.85 -368.03]	[1.   3.47 9.  ]	[1114.82   53.97  412.28]	4538222671.135366	9652831865.19476	1.244540078635452e-06	3	1	-76820.33016874047	6269618796.089782	4538222671.135366	5648
(0.03, 0.12)		(0.27, 0.88)								('NCtimeCmean', 'CAPreOrdmax')	1864.21	45.54050678327526	0.37	0.37	3.5	0.14	[ 55.53 447.38]	[1046.34 -324.05]	[1.  3.5 9. ]	[1101.86   55.53  391.85]	3961157504.220992	7967612300.443574	1.223632232456058e-06	3	1	-66010.99866616455	5819107605.445237	3961157504.220992	4847
(0.03, 0.12)			['6', '7', '8', '9']							('NCtimeCmean', 'grade')	1800.08	19.229230189731577	0.27	0.27	3.26	0.15	[ 32.12 421.17]	[1034.42 -233.5 ]	[1.   3.26 9.  ]	[1066.54   32.12  389.04]	2667562028.341647	5428757106.1621475	1.3409247702568801e-06	3	1	-48393.28116285352	4412331893.097395	2667562028.341647	3577
	(0.25, 0.35)					(0.49, 1.0)				('NCRTinterceptNumDis', 'SAPreOrdmax')	1832.51	111.78310999999998	0.39	0.39	3.57	0.14	[ 66.27 460.06]	[1038.67 -365.27]	[1.   3.57 9.  ]	[1104.94   66.27  393.79]	3963085126.62082	8371214014.898877	1.2800633440658804e-06	3	1	-68859.10790398196	5687385766.943176	3963085126.62082	5073
	(0.25, 0.35)		['4', '5', '6', '7', '8', '9']				(0.27, 0.37)			('NCRTinterceptNumDis', 'NCRTinterceptNumRatio', 'grade')	1997.11	73.84207995744681	0.36	0.36	3.48	0.14	[ 55.37 449.08]	[1029.02 -340.18]	[1.   3.48 9.  ]	[1084.39   55.37  393.71]	3572332614.1377954	7558271027.555553	1.332742640245188e-06	3	1	-64433.50574324763	5434091596.213948	3572332614.1377954	4761
		(0.32, 0.88)						(0.08, 0.19)		('NCtimeCmedian', 'CAPreOrdmax')	1847.31	25.16220828526408	0.23	0.23	3.61	0.17	[ 45.84 432.74]	[1031.05 -365.03]	[1.   3.61 9.  ]	[1076.9    45.84  386.89]	1991064191.1157377	4263752112.155853	1.5403822808351234e-06	3	1	-41071.21833544646	3636379665.5126233	1991064191.1157377	3067
			['4', '5', '6', '7', '8', '9']		(0.48, 1.0)		(0.27, 0.38)		(52.0, 52.0)	('SSPreOrdmax', 'NCRTinterceptNumRatio', 'grade', 'NCPreOrdmax')	2077.5	27.16604501342976	0.31	0.31	3.56	0.15	[ 55.34 444.89]	[1024.61 -362.38]	[1.   3.56 9.  ]	[1079.95   55.34  389.55]	2747870559.3995776	6037557209.647402	1.4924283773017633e-06	3	1	-55040.30658743594	4560398908.593698	2747870559.3995776	4101
				(0.01, 0.03)	(0.46, 1.0)					('NCIES', 'SSPreOrdmax')	1921.65	309.7471485148515	0.39	0.39	3.58	0.13	[ 55.12 465.91]	[1059.28 -412.46]	[1.   3.58 9.  ]	[1114.4    55.12  410.79]	3889835704.52833	8348538066.533998	1.315736804524137e-06	3	1	-69329.04168668862	5662329213.2785225	3889835704.52833	5118
				(0.01, 0.03)				(0.08, 0.17)		('NCIES', 'NCtimeCmedian')	1852.31	41.72298716861702	0.36	0.36	3.43	0.13	[ 45.98 456.03]	[1046.28 -359.98]	[1.   3.43 9.  ]	[1092.26   45.98  410.04]	3657146978.2770443	7779689528.83656	1.2999204101552696e-06	3	1	-64457.34876707731	5399543134.348808	3657146978.2770443	4754
