NCtimeCmean	NCRTinterceptNumDis	CAPreOrdmax	grade	NCtimeCmedian	SSPreOrdmax	NCIES	SAPreOrdmax	NCRTinterceptNumRatio	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.03, 0.12)	(0.27, 0.34)	(0.28, 0.88)	['5', '6', '7', '8', '9']						('NCtimeCmean', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	2305.39	-inf	0.24	0.24	3.44	0.15	[ 33.24 416.97]	[1020.87 -298.81]	[1.   3.44 9.  ]	[1054.11   33.24  383.73]	1703377626.282388	3938886896.99968	1.837525603075583e-06	3	1	-41362.340169180636	3557855802.221911	1703377626.282388	3130
(0.03, 0.11)	(0.25, 0.35)								('NCRTinterceptNumDis', 'NCtimeCmean')	1825.32	912.66	0.43	0.43	3.47	0.12	[ 53.97 466.25]	[1060.85 -368.03]	[1.   3.47 9.  ]	[1114.82   53.97  412.28]	4538222671.135355	9652831865.19476	1.2445400786354551e-06	3	1	-76820.33016874046	6269618778.2694435	4538222671.135355	5648
(0.03, 0.12)	(0.27, 0.34)								('NCtimeCmean', 'NCRTinterceptNumDis')	1837.2	328.6733944954129	0.42	0.42	3.48	0.13	[ 54.22 466.12]	[1056.67 -378.22]	[1.   3.48 9.  ]	[1110.89   54.22  411.9 ]	4415956227.281211	9380253426.471897	1.2491065844183102e-06	3	1	-75005.28650725266	6161329847.266697	4415956227.281211	5516
(0.03, 0.12)		(0.27, 0.88)							('NCtimeCmean', 'CAPreOrdmax')	1864.21	102.20271504790941	0.37	0.37	3.5	0.14	[ 55.53 447.38]	[1046.34 -324.05]	[1.  3.5 9. ]	[1101.86   55.53  391.85]	3961157504.221023	7967612300.443574	1.2236322324560485e-06	3	1	-66010.99866616458	5819107585.261346	3961157504.221023	4847
	(0.25, 0.35)						(0.49, 1.0)		('NCRTinterceptNumDis', 'SAPreOrdmax')	1832.51	491.7235166666666	0.39	0.39	3.57	0.14	[ 66.27 460.06]	[1038.67 -365.27]	[1.   3.57 9.  ]	[1104.94   66.27  393.79]	3963085126.620819	8371214014.898877	1.2800633440658808e-06	3	1	-68859.10790398196	5687385739.584801	3963085126.620819	5073
		(0.27, 0.95)				(0.01, 0.03)			('NCIES', 'CAPreOrdmax')	1865.98	221.62520189003436	0.38	0.38	3.54	0.14	[ 56.04 453.08]	[1049.79 -356.25]	[1.   3.54 9.  ]	[1105.83   56.04  397.03]	4002312247.8512354	8108078672.662937	1.228289972287721e-06	3	1	-66931.70830278499	5850016561.979017	4002312247.8512354	4916
			['4', '5', '6', '7', '8', '9']	(0.08, 0.19)	(0.46, 1.0)	(0.01, 0.03)			('NCtimeCmedian', 'SSPreOrdmax', 'grade', 'NCIES')	2107.23	1416.7928977272727	0.34	0.34	3.57	0.14	[ 50.17 452.75]	[1045.71 -391.34]	[1.   3.57 9.  ]	[1095.88   50.17  402.58]	3072441197.840163	6743100237.189964	1.4529163334803811e-06	3	1	-60030.021548523815	4925973302.716871	3072441197.840163	4464
				(0.08, 0.17)		(0.01, 0.03)			('NCIES', 'NCtimeCmedian')	1852.31	147.9959563386525	0.36	0.36	3.43	0.13	[ 45.98 456.03]	[1046.28 -359.98]	[1.   3.43 9.  ]	[1092.26   45.98  410.04]	3657146978.2770414	7779689528.83656	1.2999204101552704e-06	3	1	-64457.3487670773	5399543122.112831	3657146978.2770414	4754
				(0.08, 0.19)				(0.27, 0.37)	('NCtimeCmedian', 'NCRTinterceptNumRatio')	1924.18	59.07250113774272	0.4	0.4	3.53	0.13	[ 56.83 464.74]	[1040.97 -398.74]	[1.   3.53 9.  ]	[1097.8    56.83  407.91]	4029053511.381028	8643556865.765383	1.2948450511424908e-06	3	1	-70753.17157759114	5826169151.40717	4029053511.381028	5217
					(0.46, 1.0)	(0.01, 0.03)			('NCIES', 'SSPreOrdmax')	1921.65	74.07350324876238	0.39	0.39	3.58	0.13	[ 55.12 465.91]	[1059.28 -412.46]	[1.   3.58 9.  ]	[1114.4    55.12  410.79]	3889835704.5283422	8348538066.533998	1.3157368045241328e-06	3	1	-69329.04168668864	5662329180.098804	3889835704.5283422	5118
