NCtimeCmean	NCRTinterceptNumDis	CAPreOrdmax	grade	NCIES	SAAnsCsum	SAPreOrdmax	NCRTinterceptNumRatio	NCtimeCmedian	SSPreOrdmax	NCPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.03, 0.12)	(0.27, 0.34)	(0.28, 0.88)	['5', '6', '7', '8', '9']								('NCtimeCmean', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	2305.39	-inf	0.24	0.24	3.44	0.15	[ 33.24 416.97]	[1020.87 -298.81]	[1.   3.44 9.  ]	[1054.11   33.24  383.73]	1703377626.282282	3938886896.99968	1.8375256030756974e-06	3	1	-41362.34016918045	3557855838.519766	1703377626.282282	3130
(0.03, 0.12)			['4', '5', '6', '7', '8', '9']				(0.29, 0.37)				('NCtimeCmean', 'NCRTinterceptNumRatio', 'grade')	2093.84	1447.6541627971226	0.36	0.36	3.48	0.14	[ 57.1  447.07]	[1017.62 -341.38]	[1.   3.48 9.  ]	[1074.72   57.1   389.97]	3405727339.925529	7305166742.347881	1.3791473982478897e-06	3	1	-63406.89376492975	5318760778.907649	3405727339.925529	4697
(0.03, 0.12)			['4', '5', '6', '7', '8', '9']				(0.29, 0.37)			(52.0, 52.0)	('NCtimeCmean', 'NCRTinterceptNumRatio', 'grade', 'NCPreOrdmax')	2093.84	1200.7799184317698	0.36	0.36	3.48	0.14	[ 57.1  447.07]	[1017.62 -341.38]	[1.   3.48 9.  ]	[1074.72   57.1   389.97]	3405727339.925447	7305166742.347881	1.379147398247923e-06	3	1	-63406.89376492964	5318760778.907649	3405727339.925447	4697
	(0.25, 0.34)	(0.29, 0.88)	['4', '5', '6', '7', '8', '9']	(0.01, 0.03)							('NCIES', 'NCRTinterceptNumDis', 'grade', 'CAPreOrdmax')	2284.49	2089.149550724638	0.27	0.27	3.57	0.15	[ 50.27 428.81]	[1006.82 -343.52]	[1.   3.57 9.  ]	[1057.09   50.27  378.54]	2064577211.6782737	4644300080.419953	1.6942936210927718e-06	3	1	-46506.75961416311	3966998783.219085	2064577211.6782737	3498
	(0.25, 0.35)	(0.26, 0.88)	['4', '5', '6', '7', '8', '9']	(0.01, 0.03)	(0.55, 1.0)						('NCRTinterceptNumDis', 'CAPreOrdmax', 'grade', 'NCIES', 'SAAnsCsum')	2250.97	1895.0135005181353	0.25	0.25	3.54	0.16	[ 62.54 413.95]	[ 990.64 -252.06]	[1.   3.54 9.  ]	[1053.18   62.54  351.42]	1838250950.4646401	4160565878.073938	1.7804968354145062e-06	3	1	-43354.27746605077	3656667867.164388	1838250950.4646401	3273
	(0.25, 0.34)		['4', '5', '6', '7', '8', '9']	(0.01, 0.03)		(0.52, 1.0)					('NCIES', 'NCRTinterceptNumDis', 'SAPreOrdmax', 'grade')	2229.52	1745.0549975652175	0.3	0.3	3.45	0.14	[ 47.65 430.97]	[1015.51 -306.08]	[1.   3.45 9.  ]	[1063.15   47.65  383.33]	2450259656.4676237	5455970863.553728	1.5875868460438818e-06	3	1	-51969.11760517019	4346343455.382876	2450259656.4676237	3890
	(0.25, 0.35)	(0.26, 0.88)	['4', '5', '6', '7', '8', '9']								('NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	2146.48	1583.8916116254686	0.34	0.34	3.58	0.14	[ 61.35 446.14]	[1024.28 -355.11]	[1.   3.58 9.  ]	[1085.63   61.35  384.78]	3141804079.8795238	6784093026.559789	1.4373907109361103e-06	3	1	-60777.55396781524	5053613785.443969	3141804079.8795238	4516
	(0.25, 0.35)	(0.26, 0.88)									('NCRTinterceptNumDis', 'CAPreOrdmax')	1965.33	1107.1923270124937	0.39	0.39	3.57	0.14	[ 60.91 457.76]	[1042.78 -375.32]	[1.   3.57 9.  ]	[1103.68   60.91  396.85]	3863456186.0159583	8159294007.41477	1.3073786156246413e-06	3	1	-68453.93624674207	5701101328.355265	3863456186.0159583	5051
	(0.25, 0.34)			(0.01, 0.03)							('NCIES', 'NCRTinterceptNumDis')	1901.3	1017.6495268150918	0.41	0.41	3.49	0.13	[ 49.62 465.34]	[1060.05 -389.  ]	[1.   3.49 9.  ]	[1109.67   49.62  415.72]	4267318002.9424505	9093555891.384161	1.2694155899009184e-06	3	1	-73572.15132480468	6061601672.656669	4267318002.9424505	5417
			['4', '5', '6', '7', '8', '9']	(0.01, 0.03)				(0.08, 0.19)	(0.46, 1.0)		('NCtimeCmedian', 'SSPreOrdmax', 'grade', 'NCIES')	2107.23	1319.1898514184095	0.34	0.34	3.57	0.14	[ 50.16 452.75]	[1045.72 -391.33]	[1.   3.57 9.  ]	[1095.88   50.16  402.58]	3072441197.693774	6743100237.189964	1.4529163335496066e-06	3	1	-60030.021548311124	4925973403.973324	3072441197.693774	4464
