SAtimeCmean	NCRTinterceptNumDis	NCtimeCmean	grade	CAPreOrdmax	SAAnsCsum	SAPreOrdmax	NCIES	CAAnsCsum	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.71, 1.0)	(0.38, 1.0)	(0.2, 1.0)								('SAtimeCmean', 'NCRTinterceptNumDis', 'NCtimeCmean')	844001.35	-inf	0.08	0.08	2.87	0.14	[ 75.08 748.68]	[2065.14  133.11]	[1.   2.87 9.  ]	[2140.22   75.08  673.6 ]	105350055054.59099	165632110097.49487	2.0779296212665838e-07	3	1	149833376972.93356	105350055054.59099	21891
(0.71, 1.0)										('SAtimeCmean',)	319373.1	9858.615050871986	0.38	0.38	3.16	0.04	[107.88 640.94]	[1544.15 -141.45]	[1.   3.16 9.  ]	[1652.02  107.88  533.06]	294759891190.24634	487256195101.3379	3.3921507975949673e-07	3	1	328027389188.32635	294759891190.24634	99987
	(0.35, 1.0)									('NCRTinterceptNumDis',)	250618.37	0.45723617185620963	0.48	0.48	3.25	0.04	[108.65 626.73]	[1540.61 -144.59]	[1.   3.25 9.  ]	[1649.26  108.65  518.08]	351615764579.0178	578246990826.1455	3.58561852739874e-07	3	1	383240709759.8141	351615764579.0178	126076
	(0.0, 0.35)									('NCRTinterceptNumDis',)	217987.19	0.440214270066424	0.52	0.52	3.44	0.03	[ 69.53 479.5 ]	[1110.29 -300.97]	[1.   3.44 9.  ]	[1179.82   69.53  409.97]	166333359191.3259	299283784926.057	8.129878495657289e-07	3	1	195837220689.6278	166333359191.3259	135227
		(0.16, 1.0)	['3', '4']							('NCtimeCmean', 'grade')	704134.66	453025.34046621155	0.19	0.19	3.16	0.06	[128.58 694.87]	[1777.32  -12.63]	[1.   3.16 9.  ]	[1905.9   128.58  566.29]	184894294700.30347	298254657843.9175	2.6928359298864986e-07	3	1	234791880414.16232	184894294700.30347	49789
		(0.0, 0.09)								('NCtimeCmean',)	426779.38	426779.38	0.25	0.25	3.47	0.04	[ 53.29 437.01]	[1003.69 -327.03]	[1.   3.47 9.  ]	[1056.98   53.29  383.72]	51797509178.27954	102548642721.41101	1.2238040208037955e-06	3	1	85643036506.47113	51797509178.27954	63390
		(0.12, 1.0)								('NCtimeCmean',)	256867.52	100082.94532609665	0.49	0.49	3.25	0.04	[107.04 626.58]	[1552.58 -137.71]	[1.   3.25 9.  ]	[1659.62  107.04  519.54]	366092530978.577	595643077223.6378	3.4940346818352665e-07	3	1	398959892271.76276	366092530978.577	127914
		(0.0, 0.12)								('NCtimeCmean',)	236574.02	84326.85999171485	0.51	0.51	3.44	0.03	[ 70.41 477.27]	[1093.49 -307.97]	[1.   3.44 9.  ]	[1163.9    70.41  406.86]	148551669383.5596	278538807974.4813	8.979299967043139e-07	3	1	180118038177.67917	148551669383.5596	133389
				(0.0, 0.2)						('CAPreOrdmax',)	467796.89	239852.6513293437	0.26	0.26	3.11	0.05	[114.56 669.36]	[1605.38 -117.31]	[1.   3.11 9.  ]	[1719.94  114.56  554.8 ]	219001816426.7641	362088726383.9683	3.058056827688274e-07	3	1	257156540854.9132	219001816426.7641	66972
					(0.59, 1.0)					('SAAnsCsum',)	374822.62	172002.47051764705	0.25	0.25	3.56	0.04	[ 60.01 439.75]	[1060.45 -291.43]	[1.   3.56 9.  ]	[1120.46   60.01  379.75]	56470496140.74403	108818737439.40906	1.1663258604253555e-06	3	1	86779049418.90208	56470496140.74403	65863
