SStimeCmean	NCAnsCsum	NCPreOrdmax	NCAnsCprop	SAAnsCprop	SSAnsCprop	CAtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.01, 1.0)							('SStimeCmean',)	-2090.29	-inf	1.0	1.0	3.56	6.59	[  88.11  621.27 -231.7   647.02]	[ 1318.35  -580.27  5500.7  -1113.16]	[1.   3.56 7.13 7.53 9.  ]	[1406.46   88.11  533.16 -852.98  878.72]	577772187965.7665	930674192807.8666	4.52231875196252e-07	7	3	579008588930.6101	577772187965.7665	261287
(0.01, 1.0)	(0.0, 1.0)						('SStimeCmean', 'NCAnsCsum')	-2090.29	-209.02900000000005	1.0	1.0	3.56	0.0	[  88.11  621.27  217.28 1621.15]	[ 1318.35  -580.27  2324.77 -9880.32]	[1.   3.56 7.19 8.69 9.  ]	[1406.46   88.11  533.16 -403.99 1403.87]	577772187965.7086	930674192807.8666	4.522318751962974e-07	7	3	579008588930.6101	577772187965.7086	261287
(0.01, 1.0)		(52.0, 52.0)					('SStimeCmean', 'NCPreOrdmax')	-2090.29	-20.90290000000001	1.0	1.0	3.56	7.63	[   88.11   621.27 -1335.05   647.02]	[ 1318.35  -580.27 13171.76 -1113.16]	[1.   3.56 7.03 7.21 9.  ]	[ 1406.46    88.11   533.16 -1956.33  1982.08]	577772187965.713	930674192807.8666	4.5223187519629395e-07	7	3	579008588930.6101	577772187965.713	261287
(0.01, 1.0)			(0.0, 1.0)				('SStimeCmean', 'NCAnsCprop')	-2090.29	-2.090290000000001	1.0	1.0	3.56	0.0	[  88.11  621.27 -834.94 2423.19]	[  1318.35   -580.27  10742.56 -17098.64]	[1.   3.56 7.78 8.55 9.  ]	[ 1406.46    88.11   533.16 -1456.22  3258.13]	577772187965.809	930674192807.8666	4.5223187519621883e-07	7	3	579008588930.6101	577772187965.809	261287
(0.01, 1.0)				(0.0, 1.0)			('SStimeCmean', 'SAAnsCprop')	-2090.29	-0.2090290000000001	1.0	1.0	3.56	6.59	[   88.11   621.27 -1696.19   647.02]	[ 1318.35  -580.27 16380.38 -1113.16]	[1.   3.56 7.32 7.47 9.  ]	[ 1406.46    88.11   533.16 -2317.46  2343.21]	577772187965.8508	930674192807.8666	4.5223187519618606e-07	7	3	579008588930.6101	577772187965.8508	261287
(0.01, 1.0)					(0.0, 1.0)		('SStimeCmean', 'SSAnsCprop')	-2090.29	-0.0209029	1.0	1.0	3.56	6.59	[ 88.11 621.27  93.87 647.02]	[ 1318.35  -580.27  3256.41 -1113.16]	[1.   3.56 7.27 7.9  9.  ]	[1406.46   88.11  533.16 -527.4   553.15]	577772187965.7273	930674192807.8666	4.522318751962827e-07	7	3	579008588930.6101	577772187965.7273	261287
(0.01, 1.0)	(0.0, 1.0)	(52.0, 52.0)					('SStimeCmean', 'NCAnsCsum', 'NCPreOrdmax')	-2090.29	-0.0020902900000000007	1.0	1.0	3.56	0.0	[ 88.11 621.27 160.52 994.15]	[ 1318.35  -580.26  2778.86 -4237.36]	[1.   3.56 7.29 8.42 9.  ]	[1406.46   88.11  533.17 -460.75  833.64]	577772187966.0016	930674192807.8666	4.5223187519606806e-07	7	3	579008588930.6101	577772187966.0016	261287
(0.01, 1.0)	(0.0, 1.0)		(0.0, 1.0)				('SStimeCmean', 'NCAnsCsum', 'NCAnsCprop')	-2090.29	-0.0002090290000000001	1.0	1.0	3.56	0.0	[  88.11  621.27 -282.39 1565.59]	[ 1318.35  -580.27  6322.09 -9380.26]	[1.   3.56 7.64 8.5  9.  ]	[1406.46   88.11  533.16 -903.66 1847.97]	577772187965.7063	930674192807.8666	4.522318751962992e-07	7	3	579008588930.6101	577772187965.7063	261287
(0.01, 1.0)	(0.0, 1.0)			(0.0, 1.0)			('SStimeCmean', 'NCAnsCsum', 'SAAnsCprop')	-2090.29	-2.0902900000000016e-05	1.0	1.0	3.56	6.59	[ 88.11 621.27 237.25 647.02]	[ 1318.35  -580.27  2108.13 -1113.16]	[1.   3.56 7.   7.86 9.  ]	[1406.46   88.11  533.16 -384.02  409.77]	577772187965.7045	930674192807.8666	4.522318751963006e-07	7	3	579008588930.6101	577772187965.7045	261287
(0.01, 1.0)	(0.0, 1.0)				(0.0, 1.0)		('SStimeCmean', 'NCAnsCsum', 'SSAnsCprop')	-2090.29	-2.090290000000001e-06	1.0	1.0	3.56	0.0	[  88.11  621.27  132.82 7878.18]	[  1318.35   -580.27   3000.43 -66193.56]	[1.   3.56 7.33 8.93 9.  ]	[1406.46   88.11  533.16 -488.45 7745.35]	577772187965.711	930674192807.8666	4.522318751962955e-07	7	3	579008588930.6101	577772187965.711	261287
