CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	NCIES	SAtimeCmean	grade	CAAnsCsum	SAIES	SAPreOrdmax	SSPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)								('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	857254.27	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.909037	6144712454.443547	1.5918695364447002e-07	3	1	5822008066.208319	3894791537.909037	620
(0.06, 0.16)	(0.4, 0.57)		(0.04, 0.38)							('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	839294.67	777451.9048421052	0.05	0.05	3.46	0.6	[185.37 885.59]	[1926.2  -493.48]	[1.   3.46 9.  ]	[2111.57  185.37  700.22]	4056260855.068786	6317084407.118279	1.6049263675596633e-07	3	1	5966860287.680261	4056260855.068786	651
(0.06, 0.18)			(0.04, 0.38)		['3', '4', '5', '6', '7']					('NCIES', 'CAPreOrdmax', 'grade')	779052.29	685983.3646410715	0.11	0.11	3.16	0.35	[135.07 763.1 ]	[1782.84 -198.64]	[1.   3.16 9.  ]	[1917.91  135.07  628.03]	6168784825.376524	10093915618.930527	2.3100173540467469e-07	3	1	8399857065.706772	6168784825.376524	1425
(0.06, 0.18)	(0.38, 0.57)				['3', '4', '5', '6', '7']					('NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	747797.13	571329.7445238627	0.12	0.12	2.84	0.51	[ 84.2 724.9]	[1814.83   -7.4 ]	[1.   2.84 9.  ]	[1899.03   84.2   640.7 ]	6446821291.501492	10515655216.681265	2.4089391186432283e-07	3	1	8652172221.624329	6446821291.501492	1553
(0.06, 0.16)							(0.46, 0.6)	(0.14, 0.31)		('SAIES', 'SAPreOrdmax', 'CAPreOrdmax')	748074.9	533393.1132729	0.06	0.06	3.25	0.5	[182.53 829.78]	[1734.93 -370.01]	[1.   3.25 9.  ]	[1917.45  182.53  647.25]	4284523604.8119555	6967536853.763571	1.934870889890649e-07	3	1	6101255368.617124	4284523604.8119555	829
	(0.41, 0.57)		(0.04, 0.38)	(0.71, 0.76)						('NCIES', 'SAtimeCmean', 'NCRTinterceptNumDis')	822307.36	731853.5504	0.07	0.07	3.51	0.43	[ 90.44 869.83]	[2059.94 -676.77]	[1.   3.51 9.  ]	[2150.38   90.44  779.39]	5074482724.782005	7997132102.085988	1.8563468457575003e-07	3	1	7145073037.722882	5074482724.782005	942
	(0.41, 0.57)		(0.04, 0.38)							('NCIES', 'NCRTinterceptNumDis', 'NCRTinterceptNumDis')	762534.81	517060.62178300304	0.09	0.09	3.3	0.36	[ 27.19 798.47]	[2151.87 -396.9 ]	[1.  3.3 9. ]	[2179.06   27.19  771.27]	6125569615.050872	9339779928.31561	1.93451397089405e-07	3	1	8182757062.642505	6125569615.050872	1185
			(0.04, 0.38)		['3', '4', '5', '6', '7']	(0.0, 0.25)				('CAAnsCsum', 'NCIES', 'grade')	765767.41	628714.7798834537	0.13	0.13	3.16	0.32	[ 99.05 751.34]	[1856.46 -204.54]	[1.   3.16 9.  ]	[1955.51   99.05  652.29]	7000594957.724335	11282103558.73594	2.3369442309969183e-07	3	1	9300597369.887371	7000594957.724335	1636
			(0.04, 0.38)			(0.04, 0.27)			(0.06, 0.41)	('NCIES', 'SSPreOrdmax', 'CAAnsCsum')	745338.01	476135.0057177008	0.12	0.12	3.25	0.34	[145.9  763.25]	[1727.73 -280.63]	[1.   3.25 9.  ]	[1873.63  145.9   617.35]	6567683979.284271	10815788035.617237	2.402673461417013e-07	3	1	8778046083.57511	6567683979.284271	1578
			(0.01, 0.02)							('NCIES',)	445490.38	445490.38	0.14	0.14	3.47	0.2	[ 28.62 401.35]	[ 987.99 -304.01]	[1.   3.47 9.  ]	[1016.6    28.62  372.73]	993033089.8411139	2169647937.239155	1.8106143877719942e-06	3	1	2377631615.8052998	993033089.8411139	1798
