NCtimeCmean	NCAnsCsum	CAAnsCsum	NCIES	NCRTinterceptNumRatio	NCtimeCmedian	NCRTinterceptNumDis	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)					('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.680976	6223640788.466258	1.473959288336657e-06	3	1	4221076036.3458815	2764662519.680976	4075
(0.12, 0.44)							('NCtimeCmean',)	481.01	282.939306849315	0.47	0.47	3.45	94.59	[ 87.1  711.62 457.17]	[1553.78 -599.87 1181.29]	[1.   3.45 7.   9.  ]	[1640.88   87.1   624.52 -254.45]	17024827222.140654	28138557956.23493	3.655250017402254e-07	5	2	18649870432.471943	17024827222.140654	6223
(0.04, 0.12)							('NCtimeCmean',)	952.23	157.34021498771497	0.53	0.53	3.81	0.0	[  93.67  534.58  210.76 2226.94]	[  1067.08   -614.4    1683.86 -16095.72]	[1.   3.81 7.1  8.82 9.  ]	[1160.75   93.67  440.91 -323.82 2016.19]	7498902959.4643345	13901651663.332743	9.053324248491083e-07	7	3	9018370446.405373	7498902959.4643345	6789
	(0.29, 0.98)					(0.27, 0.35)	('NCRTinterceptNumDis', 'NCAnsCsum')	919.68	4.268151272727272	0.43	0.43	3.46	0.13	[ 58.95 482.83]	[1136.38 -330.49]	[1.   3.46 9.  ]	[1195.34   58.95  423.88]	5299696405.991223	10668338444.547976	1.0343988749624763e-06	3	1	6351133983.637095	5299696405.991223	5482
			(0.04, 0.38)				('NCIES',)	689.7	689.7	0.21	0.21	3.29	53.0	[  93.61  664.12 2180.71  351.1 ]	[ 1762.71  -115.5  -9921.81  2607.34]	[1.   3.29 6.47 6.85 9.  ]	[ 1856.33    93.61   570.51  1516.59 -1829.62]	9565362830.386965	15630130713.573212	2.93454628932925e-07	7	3	11764674903.883713	9565362830.386965	2807
			(0.03, 0.38)				('NCIES',)	459.9	2.2626592042440326	0.49	0.49	3.55	70.96	[107.13 720.   457.24]	[1506.36 -669.2  1170.07]	[1.   3.55 7.   9.  ]	[1613.49  107.13  612.87 -262.75]	17228949492.925865	28689539453.66276	3.717580112838491e-07	5	2	18813150821.156982	17228949492.925865	6405
			(0.01, 0.03)				('NCIES',)	883.65	1.347399313602015	0.51	0.51	3.52	19.83	[  80.04  445.14 1149.01  362.89]	[ 1095.53  -190.93 -4482.24   597.09]	[1.   3.52 6.1  6.46 9.  ]	[1175.58   80.04  365.1   703.87 -786.12]	7576294287.844454	13755019383.455202	8.765498999497608e-07	7	3	9076401231.095144	7576294287.844454	6641
				(0.32, 0.38)	(0.09, 0.18)		('NCRTinterceptNumRatio', 'NCRTinterceptNumRatio', 'NCtimeCmedian')	1148.58	502.50374999999997	0.4	0.4	3.68	0.0	[  61.73  512.57  179.48 1111.  ]	[ 1073.54  -584.68  1797.28 -6180.02]	[1.   3.68 7.15 8.56 9.  ]	[1135.27   61.73  450.83 -333.09  931.53]	4611448494.077211	9190697112.944384	1.1267609313372072e-06	7	3	6270692389.431318	4611448494.077211	5196
				(0.38, 0.58)			('NCRTinterceptNumRatio',)	480.5	26.793983050847462	0.46	0.46	3.5	96.92	[102.96 718.99 460.06]	[1510.71 -644.63 1167.93]	[1.  3.5 7.  9. ]	[1613.67  102.96  616.04 -258.94]	16747581940.007969	27653237844.162632	3.594548766242451e-07	5	2	18322219491.099373	16747581940.007969	6020
				(0.3, 0.38)			('NCRTinterceptNumRatio',)	915.62	18.717638516746415	0.54	0.54	3.79	28.68	[ 87.17 536.58  96.4  568.37]	[ 1106.97  -595.42  2526.38 -1146.22]	[1.   3.79 7.09 7.78 9.  ]	[1194.14   87.17  449.41 -440.18  471.97]	7843451277.555265	14443635829.881563	8.913168135569822e-07	7	3	9241705053.761118	7843451277.555265	6991
