NCtimeCmean	NCAnsCsum	CAAnsCsum	NCRTinterceptNumDis	NCtimeCmedian	NCIES	NCRTinterceptNumRatio	SAAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)						('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.680974	6223640788.466258	1.473959288336658e-06	3	1	4221075990.189841	2764662519.680974	4075
			(0.27, 0.35)	(0.08, 0.18)				('NCRTinterceptNumDis', 'NCtimeCmedian')	1171.16	803.5561514195583	0.41	0.41	3.67	0.0	[  62.23  513.58  155.13 2846.34]	[  1070.01   -587.75   2009.55 -21798.01]	[1.   3.67 7.25 8.85 9.  ]	[1132.24   62.23  451.35 -358.45 2691.21]	4651511478.8153715	9332565711.661802	1.1340399833525543e-06	7	3	6315022478.298923	4651511478.8153715	5275
			(0.35, 0.57)					('NCRTinterceptNumDis',)	490.05	138.86480402542372	0.46	0.46	3.54	97.21	[112.19 719.34 461.62]	[1503.37 -646.1  1157.93]	[1.   3.54 7.   9.  ]	[1615.56  112.19  607.15 -257.72]	16844912876.349773	27712594425.307663	3.5755601968451146e-07	5	2	18439332402.10868	16844912876.349773	6023
			(0.27, 0.35)					('NCRTinterceptNumDis',)	865.44	90.92271428571429	0.54	0.54	3.78	28.98	[  84.78  542.75 -191.34  580.08]	[ 1107.97  -623.87  4733.82 -1228.7 ]	[1.   3.78 7.3  7.73 9.  ]	[1192.75   84.78  457.97 -734.09  771.42]	8091429809.400478	14843905976.69913	8.679553756791914e-07	7	3	9450219650.145237	8091429809.400478	7023
					(0.04, 0.38)			('NCIES',)	689.7	689.7	0.21	0.21	3.29	53.0	[  93.61  664.12 1631.71  351.1 ]	[ 1762.72  -115.49 -5942.09  2607.34]	[1.   3.29 6.02 6.68 9.  ]	[ 1856.33    93.61   570.51   967.59 -1280.61]	9565362830.379128	15630130713.573212	2.9345462893316543e-07	7	3	11764674934.492668	9565362830.379128	2807
						(0.41, 0.58)		('NCRTinterceptNumRatio',)	683.18	447.8624444444444	0.23	0.23	3.57	152.05	[111.71 797.68 319.81]	[1653.39 -795.13 2761.02]	[1.   3.57 7.44 9.  ]	[1765.1   111.71  685.97 -477.88]	10818152390.090614	17294370358.592278	2.8498396850316287e-07	5	2	12786390567.708305	10818152390.090614	3083
						(0.3, 0.38)	(0.56, 1.0)	('NCRTinterceptNumRatio', 'SAAnsCsum')	1189.12	444.4032653061224	0.25	0.25	3.59	21.36	[ 45.34 415.87 685.23 297.55]	[ 1071.86  -256.76 -1894.21   783.17]	[1.   3.59 6.08 6.91 9.  ]	[1117.2    45.34  370.53  269.36 -387.68]	2176552073.981529	4635888309.667573	1.5175377788953512e-06	7	3	3852452427.63072	2176552073.981529	3303
						(0.32, 0.38)		('NCRTinterceptNumRatio', 'NCRTinterceptNumRatio')	918.67	345.8914891041162	0.53	0.53	3.81	0.0	[ 88.83 537.22  51.51 820.16]	[ 1102.24  -605.36  2989.88 -3406.48]	[1.   3.81 7.4  8.32 9.  ]	[1191.07   88.83  448.39 -485.71  768.65]	7689875640.337204	14229861311.571903	8.979338968474154e-07	7	3	9080246786.590765	7689875640.337204	6905
						(0.38, 0.58)		('NCRTinterceptNumRatio',)	480.5	279.9523305084746	0.46	0.46	3.5	96.92	[102.84 718.93 460.09]	[1510.9  -644.24 1167.66]	[1.  3.5 7.  9. ]	[1613.73  102.84  616.1  -258.84]	16747581981.762184	27653237844.162632	3.594548757280706e-07	5	2	18322219563.159264	16747581981.762184	6020
						(0.3, 0.38)		('NCRTinterceptNumRatio',)	915.62	174.41684808612442	0.54	0.54	3.79	0.0	[  87.17  536.58 -390.22  663.84]	[ 1106.97  -595.42  6522.45 -2005.49]	[1.   3.79 7.68 8.09 9.  ]	[1194.14   87.17  449.41 -926.79 1054.06]	7843451277.555035	14443635829.881563	8.913168135570083e-07	7	3	9241704986.73431	7843451277.555035	6991
