NCtimeCmean	NCAnsCsum	CAAnsCsum	NCRTinterceptNumRatio	NCtimeCmedian	NCAnsCprop	NCRTinterceptNumDis	NCPreOrdmax	NCIES	SAAnsCsum	SAAnsCprop	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)									('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.8  458.34]	[1065.11 -360.15]	[1.  3.6 9. ]	[1127.91   62.8   395.55]	2764662519.681123	6223640788.466258	1.4739592883365786e-06	3	1	4221076064.0205455	2764662519.681123	4075
(0.04, 0.12)		(0.32, 0.79)			(0.29, 0.98)						('NCtimeCmean', 'NCAnsCprop', 'CAAnsCsum')	1288.24	1076.2611639344268	0.32	0.32	3.6	0.15	[ 62.79 458.34]	[1065.11 -360.14]	[1.  3.6 9. ]	[1127.91   62.79  395.55]	2764662519.680974	6223640788.466258	1.473959288336658e-06	3	1	4221076064.0205455	2764662519.680974	4075
(0.04, 0.12)	(0.83, 0.98)	(0.34, 0.95)									('NCtimeCmean', 'CAAnsCsum', 'NCAnsCsum')	1271.2	810.8888912068967	0.3	0.3	3.59	0.15	[ 62.6  452.84]	[1061.29 -338.43]	[1.   3.59 9.  ]	[1123.89   62.6   390.24]	2578399127.8680263	5817801530.9255905	1.5063610431840015e-06	3	1	4027987419.0610023	2578399127.8680263	3884
		(0.38, 0.95)	(0.3, 0.38)	(0.09, 0.18)							('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAAnsCsum')	1263.83	1166.8255043859651	0.29	0.29	3.62	0.16	[ 61.41 437.5 ]	[1041.48 -321.1 ]	[1.   3.62 9.  ]	[1102.89   61.41  376.09]	2703011132.118369	5671443548.326913	1.421377793952701e-06	3	1	4488658166.410903	2703011132.118369	3842
		(0.38, 0.95)		(0.08, 0.18)		(0.27, 0.35)					('NCRTinterceptNumDis', 'NCtimeCmedian', 'CAAnsCsum')	1253.08	963.9765428571427	0.3	0.3	3.62	0.16	[ 61.62 440.46]	[1042.81 -327.88]	[1.   3.62 9.  ]	[1104.43   61.62  378.84]	2765084488.4938626	5811718106.905142	1.4068286217608045e-06	3	1	4516830907.38931	2765084488.4938626	3890
			(0.3, 0.38)						(0.56, 1.0)		('NCRTinterceptNumRatio', 'SAAnsCsum')	1189.12	689.6847428088163	0.25	0.25	3.59	21.36	[ 45.34 415.87 980.15 297.55]	[ 1071.86  -256.76 -3977.38   783.17]	[1.   3.59 6.59 6.97 9.  ]	[1117.2    45.34  370.53  564.28 -682.6 ]	2176552073.981538	4635888309.667573	1.5175377788953453e-06	7	3	3852452468.231099	2176552073.981538	3303
				(0.08, 0.18)		(0.27, 0.35)					('NCRTinterceptNumDis', 'NCtimeCmedian')	1171.16	893.8666265615144	0.41	0.41	3.67	0.0	[   62.23   513.58 -7775.97  1844.11]	[  1070.01   -587.75  65458.38 -12777.96]	[1.   3.67 7.97 8.13 9.  ]	[ 1132.24    62.23   451.35 -8289.56  9620.08]	4651511478.81538	9332565711.661802	1.1340399833525524e-06	7	3	6315022527.288732	4651511478.81538	5275
				(0.08, 0.18)		(0.27, 0.35)	(52.0, 52.0)				('NCRTinterceptNumDis', 'NCtimeCmedian', 'NCPreOrdmax')	1171.16	762.073978252997	0.41	0.41	3.67	29.34	[  62.23  513.58 -435.05  568.42]	[ 1070.01  -587.75  6291.46 -1296.73]	[1.   3.67 7.25 7.56 9.  ]	[1132.24   62.23  451.35 -948.63 1003.46]	4651511478.8154125	9332565711.661802	1.1340399833525446e-06	7	3	6315022527.288732	4651511478.8154125	5275
				(0.08, 0.18)		(0.27, 0.35)				(0.58, 1.0)	('NCRTinterceptNumDis', 'NCtimeCmedian', 'SAAnsCprop')	1171.16	651.1946289925856	0.41	0.41	3.67	29.34	[  62.23  513.58 -784.49  568.42]	[ 1070.01  -587.75  9307.6  -1296.73]	[1.   3.67 7.62 7.84 9.  ]	[ 1132.24    62.23   451.35 -1298.08  1352.91]	4651511478.815567	9332565711.661802	1.134039983352507e-06	7	3	6315022527.288732	4651511478.815567	5275
								(0.04, 0.38)			('NCIES',)	689.7	689.7	0.21	0.21	3.29	53.0	[  93.61  664.12 1582.81  351.1 ]	[ 1762.72  -115.5  -5794.73  2607.34]	[1.   3.29 6.18 6.82 9.  ]	[ 1856.33    93.61   570.51   918.69 -1231.71]	9565362830.380695	15630130713.573212	2.9345462893311736e-07	7	3	11764674885.531328	9565362830.380695	2807
