SSIES	NCPreOrdmax	SAAnsCprop	SStimeCmean	SSAnsCprop	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.16, 0.23)	(52.0, 52.0)				('SSIES', 'NCPreOrdmax')	-100429.02	-inf	0.99	0.99	3.64	28.98	[  93.54  629.49 -672.44  571.91]	[1299.3  -652.94 9031.82 -523.76]	[1.   3.64 7.44 7.68 9.  ]	[ 1392.84    93.54   535.96 -1301.93  1244.35]	27713718445.872097	44860049941.73617	4.6828793564268344e-07	7	3	27786122637.24496	27713718445.872097	12978
(0.16, 0.23)		(0.21, 1.0)			('SSIES', 'SAAnsCprop')	-100429.02	-10042.902000000002	0.99	0.99	3.64	0.0	[  93.54  629.49 -175.28  806.17]	[ 1299.31  -652.94  5453.73 -2632.15]	[1.   3.64 7.59 8.24 9.  ]	[1392.84   93.54  535.96 -804.77  981.45]	27713718445.872543	44860049941.73617	4.6828793564267587e-07	7	3	27786122637.24496	27713718445.872543	12978
(0.16, 0.23)			(0.01, 0.02)		('SSIES', 'SStimeCmean')	-100429.02	-1004.2902000000004	0.99	0.99	3.64	28.98	[  93.54  629.49 -470.7   571.91]	[1299.3  -652.94 7458.74 -523.76]	[1.   3.64 7.37 7.66 9.  ]	[ 1392.84    93.54   535.96 -1100.19  1042.61]	27713718445.87217	44860049941.73617	4.682879356426822e-07	7	3	27786122637.24496	27713718445.87217	12978
(0.16, 0.23)	(52.0, 52.0)			(0.09, 1.0)	('SSIES', 'NCPreOrdmax', 'SSAnsCprop')	-100429.02	-100.42902000000005	0.99	0.99	3.64	0.0	[  93.54  629.49 -343.12 1575.79]	[ 1299.3   -652.94  6796.43 -9558.76]	[1.   3.64 7.66 8.52 9.  ]	[1392.84   93.54  535.96 -972.61 1918.91]	27713718445.872215	44860049941.73617	4.6828793564268137e-07	7	3	27786122637.24496	27713718445.872215	12978
(0.16, 0.23)	(52.0, 52.0)		(0.01, 0.02)		('SSIES', 'NCPreOrdmax', 'SStimeCmean')	-100429.02	-10.042902000000002	0.99	0.99	3.64	28.98	[ 93.54 629.49 -24.12 571.91]	[1299.31 -652.94 4176.81 -523.76]	[1.   3.64 7.39 7.89 9.  ]	[1392.84   93.54  535.96 -653.61  596.03]	27713718445.87272	44860049941.73617	4.682879356426729e-07	7	3	27786122637.24496	27713718445.87272	12978
(0.16, 0.23)		(0.21, 1.0)		(0.09, 1.0)	('SSIES', 'SAAnsCprop', 'SSAnsCprop')	-100429.02	-1.0042902	0.99	0.99	3.64	0.0	[   93.54   629.49 -1157.97   846.96]	[ 1299.3   -652.94 13315.28 -2999.27]	[1.   3.64 7.81 8.14 9.  ]	[ 1392.84    93.54   535.96 -1787.47  2004.94]	27713718445.87211	44860049941.73617	4.682879356426832e-07	7	3	27786122637.24496	27713718445.87211	12978
(0.16, 0.23)			(0.01, 0.02)	(0.09, 1.0)	('SSIES', 'SStimeCmean', 'SSAnsCprop')	-100429.02	-0.10042902000000004	0.99	0.99	3.64	0.0	[ 93.54 629.49 293.54 808.84]	[ 1299.3   -652.94  1703.17 -2656.12]	[1.   3.64 7.01 8.46 9.  ]	[1392.84   93.54  535.96 -335.95  515.3 ]	27713718445.877445	44860049941.73617	4.6828793564259307e-07	7	3	27786122637.24496	27713718445.877445	12978
(0.16, 0.23)					('SSIES',)	-100429.73	-0.010042973000000004	0.99	0.99	3.47	19.43	[   93.54   552.18 13015.84   394.59]	[  1299.3    -292.61 -81265.89   1012.17]	[1.   3.47 6.5  6.52 9.  ]	[  1392.84     93.54    458.65  12463.66 -12621.26]	27713914345.740776	44860049941.73617	4.68284625480721e-07	7	3	27786122637.24496	27713914345.740776	12978
(0.16, 0.23)				(0.09, 1.0)	('SSIES', 'SSAnsCprop')	-100429.73	-0.0010042973000000009	0.99	0.99	3.47	19.43	[  93.54  552.18 6219.24  394.59]	[  1299.31   -292.61 -36595.05   1012.17]	[1.   3.47 6.41 6.46 9.  ]	[ 1392.84    93.54   458.65  5667.06 -5824.65]	27713914345.741226	44860049941.73617	4.682846254807134e-07	7	3	27786122637.24496	27713914345.741226	12978
(0.16, 0.23)	(52.0, 52.0)	(0.21, 1.0)			('SSIES', 'NCPreOrdmax', 'SAAnsCprop')	-100429.73	-0.00010042973000000006	0.99	0.99	3.47	19.43	[ 93.54 552.18 971.64 394.59]	[ 1299.3   -292.61 -2991.43  1012.17]	[1.   3.47 6.43 6.94 9.  ]	[1392.84   93.54  458.65  419.46 -577.06]	27713914345.74112	44860049941.73617	4.682846254807152e-07	7	3	27786122637.24496	27713914345.74112	12978
