SSIES	NCPreOrdmax	SSAnsCprop	SStimeCmean	SAAnsCprop	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.16, 0.23)					('SSIES',)	-100429.02	-inf	0.99	0.99	3.64	0.0	[   93.54   629.49 -2391.03  1214.11]	[ 1299.31  -652.94 23179.7  -6303.57]	[1.   3.64 7.89 8.18 9.  ]	[ 1392.84    93.54   535.96 -3020.52  3605.13]	27713718445.87238	44860049941.73617	4.682879356426786e-07	7	3	27786122637.56856	27713718445.87238	12978
(0.16, 0.23)	(52.0, 52.0)				('SSIES', 'NCPreOrdmax')	-100429.02	-50214.51	0.99	0.99	3.64	0.0	[  93.54  629.49 -161.43  730.53]	[ 1299.3   -652.94  5342.93 -1951.42]	[1.   3.64 7.58 8.18 9.  ]	[1392.84   93.54  535.96 -790.92  891.96]	27713718445.872444	44860049941.73617	4.682879356426775e-07	7	3	27786122637.56856	27713718445.872444	12978
(0.16, 0.23)		(0.09, 1.0)			('SSIES', 'SSAnsCprop')	-100429.02	-25107.255	0.99	0.99	3.64	0.0	[ 93.54 629.49 -90.34 576.66]	[1299.3  -652.94 4774.24 -566.54]	[1.   3.64 7.54 8.01 9.  ]	[1392.84   93.54  535.96 -719.84  667.  ]	27713718445.872093	44860049941.73617	4.6828793564268344e-07	7	3	27786122637.56856	27713718445.872093	12978
(0.16, 0.23)			(0.01, 0.02)		('SSIES', 'SStimeCmean')	-100429.02	-12553.6275	0.99	0.99	3.64	28.98	[   93.54   629.49 -1058.53   571.91]	[ 1299.3   -652.94 12082.94  -523.76]	[1.   3.64 7.54 7.73 9.  ]	[ 1392.84    93.54   535.96 -1688.02  1630.43]	27713718445.872112	44860049941.73617	4.682879356426831e-07	7	3	27786122637.56856	27713718445.872112	12978
(0.16, 0.23)	(52.0, 52.0)			(0.21, 1.0)	('SSIES', 'NCPreOrdmax', 'SAAnsCprop')	-100429.02	-6276.81375	0.99	0.99	3.64	28.98	[   93.54   629.49 -1182.64   571.91]	[ 1299.3   -652.94 12237.45  -523.76]	[1.   3.64 7.11 7.27 9.  ]	[ 1392.84    93.54   535.96 -1812.13  1754.55]	27713718445.872116	44860049941.73617	4.68287935642683e-07	7	3	27786122637.56856	27713718445.872116	12978
(0.16, 0.23)	(52.0, 52.0)	(0.09, 1.0)			('SSIES', 'NCPreOrdmax', 'SSAnsCprop')	-100429.02	-3138.406875	0.99	0.99	3.64	0.0	[   93.54   629.49 -4077.47  5958.25]	[  1299.3    -652.94  36671.25 -49000.88]	[1.   3.64 7.93 8.54 9.  ]	[ 1392.84    93.54   535.96 -4706.96 10035.72]	27713718445.872177	44860049941.73617	4.68287935642682e-07	7	3	27786122637.56856	27713718445.872177	12978
(0.16, 0.23)	(52.0, 52.0)		(0.01, 0.02)		('SSIES', 'NCPreOrdmax', 'SStimeCmean')	-100429.02	-1569.2034375	0.99	0.99	3.64	28.98	[    93.54    629.49 -17100.89    571.91]	[  1299.3    -652.94 137327.92   -523.76]	[1.   3.64 7.78 7.8  9.  ]	[  1392.84     93.54    535.96 -17730.38  17672.79]	27713718445.87226	44860049941.73617	4.682879356426806e-07	7	3	27786122637.56856	27713718445.87226	12978
(0.16, 0.23)		(0.09, 1.0)		(0.21, 1.0)	('SSIES', 'SSAnsCprop', 'SAAnsCprop')	-100429.02	-784.60171875	0.99	0.99	3.64	28.98	[  93.54  629.49 -879.56  571.91]	[1299.3  -652.94 9957.27 -523.76]	[1.   3.64 7.03 7.22 9.  ]	[ 1392.84    93.54   535.96 -1509.05  1451.47]	27713718445.872105	44860049941.73617	4.682879356426832e-07	7	3	27786122637.56856	27713718445.872105	12978
(0.16, 0.23)		(0.09, 1.0)	(0.01, 0.02)		('SSIES', 'SSAnsCprop', 'SStimeCmean')	-100429.02	-392.300859375	0.99	0.99	3.64	28.98	[ 93.54 629.49 127.42 571.91]	[1299.3  -652.94 3001.15 -523.76]	[1.   3.64 7.28 7.93 9.  ]	[1392.84   93.54  535.96 -502.08  444.49]	27713718445.87246	44860049941.73617	4.682879356426773e-07	7	3	27786122637.56856	27713718445.87246	12978
(0.16, 0.23)			(0.01, 0.02)	(0.21, 1.0)	('SSIES', 'SStimeCmean', 'SAAnsCprop')	-100429.02	-196.1504296875	0.99	0.99	3.64	28.98	[ 93.54 629.49 -16.38 571.91]	[1299.3  -652.94 4059.4  -523.76]	[1.   3.64 7.3  7.79 9.  ]	[1392.84   93.54  535.96 -645.87  588.28]	27713718445.872105	44860049941.73617	4.682879356426832e-07	7	3	27786122637.56856	27713718445.872105	12978
