SAAnsCsum	NCtimeCmean	SSAnsCprop	CAAnsCsum	grade	SAPreOrdmax	SSPreOrdmax	NCRTinterceptNumDis	language	NCAnsCsum	NCAnsCprop	CAPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.59, 1.0)	(0.05, 0.07)	(0.92, 1.0)										('SAAnsCsum', 'NCtimeCmean', 'SSAnsCprop')	-95621.65	-inf	0.05	0.05	3.65	0.34	[ 51.51 386.8 ]	[ 874.55 -349.19]	[1.   3.65 9.  ]	[926.06  51.51 335.3 ]	212108464.27408665	556300684.5765305	2.772166598878327e-06	3	1	795348870.1062287	212108464.27408665	588
(0.59, 1.0)	(0.05, 0.07)		(0.48, 0.79)									('SAAnsCsum', 'NCtimeCmean', 'CAAnsCsum')	-101305.64	-93144.90788888888	0.05	0.05	3.63	0.39	[ 58.76 354.45]	[ 878.45 -195.34]	[1.   3.63 9.  ]	[937.21  58.76 295.69]	226052187.5373117	529106010.2607973	2.6631018551883518e-06	3	1	886039942.4368944	226052187.5373117	602
(0.59, 1.0)	(0.05, 0.07)			['7', '8', '9']								('SAAnsCsum', 'NCtimeCmean', 'grade')	-101683.64	-86403.61193513512	0.05	0.05	3.89	110.78	[ 34.28 459.19 246.47]	[ 904.66 -749.45  739.63]	[1.   3.89 7.   9.  ]	[ 938.94   34.28  424.91 -212.73]	228597748.45165354	584123119.8887097	2.712187693008379e-06	5	2	889642997.8709033	228597748.45165354	620
(0.59, 1.0)	(0.05, 0.07)				(0.59, 0.8)							('SAAnsCsum', 'NCtimeCmean', 'SAPreOrdmax')	-102412.35	-81034.50345428572	0.05	0.05	3.67	0.37	[ 62.7  384.82]	[ 879.96 -303.12]	[1.   3.67 9.  ]	[942.66  62.7  322.12]	226588369.8911668	573731178.9982818	2.568534299794565e-06	3	1	773280667.7994158	226588369.8911668	582
(0.59, 1.0)	(0.05, 0.07)					(0.46, 0.7)						('SAAnsCsum', 'NCtimeCmean', 'SSPreOrdmax')	-107281.85	-77093.9634882857	0.05	0.05	3.51	0.32	[ 34.23 402.05]	[ 922.93 -367.67]	[1.   3.51 9.  ]	[957.16  34.23 367.82]	237464242.97409654	619666695.6638077	2.4551064728662993e-06	3	1	746008614.1935811	237464242.97409654	583
(0.59, 1.0)	(0.05, 0.07)						(0.29, 0.31)					('SAAnsCsum', 'NCtimeCmean', 'NCRTinterceptNumDis')	-110315.21	-74479.13514197026	0.05	0.05	3.73	0.35	[ 50.14 387.61]	[ 872.19 -386.93]	[1.   3.73 9.  ]	[922.33  50.14 337.47]	247696616.37382072	604716601.1604538	2.490950457994271e-06	3	1	896759158.019931	247696616.37382072	617
(0.59, 1.0)	(0.05, 0.07)							f				('SAAnsCsum', 'NCtimeCmean', 'language')	-111437.83	-68526.77858736867	0.05	0.05	3.67	0.36	[ 51.27 373.46]	[ 899.8  -281.51]	[1.   3.67 9.  ]	[951.07  51.27 322.19]	251857933.11646825	600704457.876777	2.5133216657792464e-06	3	1	901434643.6311153	251857933.11646825	633
(0.59, 1.0)	(0.05, 0.07)								(0.88, 0.98)			('SAAnsCsum', 'NCtimeCmean', 'NCAnsCsum')	-115043.99	-65645.33520450808	0.05	0.05	3.7	0.3	[ 42.42 417.59]	[ 912.16 -474.87]	[1.  3.7 9. ]	[954.58  42.42 375.17]	261993970.9821911	694615192.5444787	2.4886068849436207e-06	3	1	823477080.9407207	261993970.9821911	652
(0.59, 1.0)	(0.05, 0.07)									(0.88, 0.98)		('SAAnsCsum', 'NCtimeCmean', 'NCAnsCprop')	-115043.99	-59080.80168405729	0.05	0.05	3.7	0.3	[ 42.42 417.59]	[ 912.16 -474.87]	[1.  3.7 9. ]	[954.58  42.42 375.17]	261993970.98219165	694615192.5444787	2.4886068849436156e-06	3	1	823477080.9407207	261993970.98219165	652
(0.59, 1.0)	(0.05, 0.07)										(0.34, 1.0)	('SAAnsCsum', 'NCtimeCmean', 'CAPreOrdmax')	-118991.82	-56514.765835486636	0.05	0.05	3.68	0.37	[ 47.45 370.79]	[ 909.19 -280.4 ]	[1.   3.68 9.  ]	[956.65  47.45 323.33]	268930532.4887917	607768348.0	2.353767696594219e-06	3	1	933956129.2386818	268930532.4887917	633
