CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	SAAnsCsum	SStimeCmedian	NCIES	NCtimeCmean	SSPreOrdmax	NCRTinterceptNumRatio	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)							('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5385204318889.64	-inf	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.9090757	6144712454.443547	1.5918695364446846e-07	3	1	5822008064.085139	3894791537.9090757	620
(0.0, 0.19)			(0.1, 0.24)	(0.29, 0.35)					('CAPreOrdmax', 'SAAnsCsum', 'SStimeCmedian')	4238018977638.31	2712332145688.5186	0.05	0.05	2.21	0.45	[-241.35  759.28]	[2468.37  253.92]	[1.   2.21 9.  ]	[2227.02 -241.35 1000.63]	3636731457.702873	5399493517.743104	1.5948386806826662e-07	3	1	5130870237.950245	3636731457.702873	580
(0.02, 0.15)	(0.35, 0.57)								('NCRTinterceptNumDis', 'CAPreOrdmax')	2954488105044.2	1636321659256.6145	0.11	0.11	2.6	0.44	[ 44.54 710.  ]	[1785.06   52.85]	[1.  2.6 9. ]	[1829.6    44.54  665.46]	6516958555.612871	10444304510.502989	2.312428392999467e-07	3	1	8511018054.463435	6516958555.612871	1507
(0.0, 0.19)									('CAPreOrdmax',)	1308018539380.75	230982257354.19214	0.25	0.25	3.51	137.85	[142.89 775.5  458.66]	[1486.66 -732.42 1485.46]	[1.   3.51 7.   9.  ]	[1629.55  142.89  632.61 -316.84]	10180300815.424025	17130744138.316856	3.2395899294088133e-07	5	2	11893600980.03827	10180300815.424025	3298
	(0.4, 0.57)				(0.03, 0.38)	(0.2, 0.44)			('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean')	4511530021344.04	2335780826144.914	0.07	0.07	3.42	122.06	[  15.72  743.83 8186.22  180.06]	[  2260.9    -231.96 -46562.18   4885.37]	[1.   3.42 6.23 6.43 9.  ]	[ 2276.62    15.72   728.11  7442.38 -8006.16]	5281648200.526962	7967686723.467547	1.7210536663712418e-07	7	3	7216858173.06019	5281648200.526962	909
					(0.04, 0.38)				('NCIES',)	2005758949072.72	982471788938.1583	0.21	0.21	3.29	53.0	[  93.61  664.12 1976.33  351.1 ]	[ 1762.72  -115.49 -8498.38  2607.34]	[1.   3.29 6.39 6.83 9.  ]	[ 1856.33    93.61   570.51  1312.21 -1625.23]	9565362830.379192	15630130713.573212	2.9345462893316347e-07	7	3	11764674876.686275	9565362830.379192	2807
						(0.12, 0.44)			('NCtimeCmean',)	713341343628.02	161576669000.6901	0.47	0.47	3.51	94.59	[ 98.62 717.84 454.05]	[1535.98 -638.23 1208.25]	[1.   3.51 7.   9.  ]	[1634.6    98.62  619.22 -263.78]	17024774402.416994	28138557956.23493	3.655261357892957e-07	5	2	18649870361.12876	17024774402.416994	6223
							(0.57, 1.0)		('SSPreOrdmax',)	504151248019.57	490261366696.5819	0.25	0.25	3.77	0.33	[109.68 409.42]	[1039.39  -90.87]	[1.   3.77 9.  ]	[1149.07  109.68  299.75]	4939634204.895722	7273187832.133092	6.692803278273903e-07	3	1	6305604343.780367	4939634204.895722	3306
							(0.06, 0.36)		('SSPreOrdmax',)	1251542571430.18	451734920969.885	0.25	0.25	3.74	35.48	[ 133.22 1091.26  612.53]	[ 1513.43 -2070.05   214.83]	[1.   3.74 4.77 9.  ]	[1646.65  133.22  958.04 -478.73]	9931528007.111029	16679286310.848372	3.247234461495635e-07	5	2	11556013419.764866	9931528007.111029	3225
								(0.41, 0.58)	('NCRTinterceptNumRatio',)	1767197862041.01	294802003428.0331	0.23	0.23	3.57	152.05	[111.71 797.68 319.8 ]	[1653.38 -795.13 2761.04]	[1.   3.57 7.44 9.  ]	[1765.1   111.71  685.97 -477.88]	10818152390.088814	17294370358.592278	2.8498396850321036e-07	5	2	12786390491.441492	10818152390.088814	3083
