NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	SAtimeCmean	SSPreOrdmax	SAPreOrdmax	NCIES	CAPreOrdmax	NCRTinterceptNumDis	SAAnsCprop	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)									('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum')	5456324035974.42	-inf	0.05	0.05	3.64	480.74	[ -25.47 1104.72  -30.71]	[ 2458.5  -1657.56  7068.49]	[1.   3.64 7.69 9.  ]	[ 2433.03   -25.47  1130.19 -1135.44]	4211588018.284476	6196944260.716858	1.4507591847715466e-07	5	2	5984560900.413648	4211588018.284476	611
(0.38, 0.58)						(0.04, 0.38)	(0.02, 0.15)				('NCRTinterceptNumRatio', 'CAPreOrdmax', 'NCIES')	4450922531194.88	2006124938940.0	0.07	0.07	3.6	356.37	[195.25 977.67 190.76]	[ 1795.69 -1023.3   4870.45]	[1.   3.6  7.49 9.  ]	[1990.94  195.25  782.42 -786.91]	4771465925.4097595	7442573831.527332	1.8401053548854587e-07	5	2	6792721732.336953	4771465925.4097595	878
(0.38, 0.58)							(0.02, 0.15)				('NCRTinterceptNumRatio', 'CAPreOrdmax')	2933539165337.86	1507397433325.2424	0.11	0.11	3.51	245.62	[197.64 867.4  346.24]	[1575.03 -777.51 3010.39]	[1.   3.51 7.27 9.  ]	[1772.67  197.64  669.75 -521.16]	6516816552.663459	10355632545.703629	2.2833234417068962e-07	5	2	8463349858.489025	6516816552.663459	1488
	(0.21, 0.44)					(0.04, 0.38)			(0.21, 1.0)		('NCIES', 'NCtimeCmean', 'SAAnsCprop')	4415276824901.19	2168216297942.5488	0.05	0.05	3.63	429.4	[ -29.15 1069.54   42.87]	[ 2378.25 -1614.54  6016.77]	[1.   3.63 7.43 9.  ]	[ 2349.1    -29.15  1098.69 -1026.67]	4644082593.804338	6680566289.425797	1.552513301468593e-07	5	2	6246856976.567856	4644082593.804338	721
	(0.16, 0.44)							(0.4, 0.57)			('NCtimeCmean', 'NCRTinterceptNumDis')	3003337232514.73	1377996038160.6484	0.12	0.12	3.4	78.0	[  90.07  672.06 3815.14  319.03]	[  1932.5     -48.89 -18907.35   3243.58]	[1.   3.4  6.   6.34 9.  ]	[ 2022.56    90.07   581.99  3143.08 -3496.11]	7135244238.425011	11172245955.825214	2.301252690352818e-07	7	3	9213813452.277138	7135244238.425011	1642
		(0.0, 0.25)								(0.24, 0.52)	('CAAnsCsum', 'NCtimeCmedian')	3078692985385.09	1014812231688.2512	0.13	0.13	3.62	226.72	[103.7  932.56 202.3 ]	[ 1807.35 -1191.46  4256.07]	[1.   3.62 7.46 9.  ]	[1911.06  103.7   828.86 -730.26]	7128331064.700833	11484549074.787378	2.3553900411757393e-07	5	2	9326603926.867588	7128331064.700833	1679
			(0.71, 0.76)	(0.06, 0.28)	(0.14, 0.24)						('SAtimeCmean', 'SSPreOrdmax', 'SAPreOrdmax')	4456491769351.4	3673594566627.506	0.05	0.05	2.32	0.49	[-194.42  768.41]	[2413.27  179.75]	[1.   2.32 9.  ]	[2218.85 -194.42  962.83]	3940754022.0369277	5830785892.919613	1.5783781391118034e-07	3	1	5523391492.299453	3940754022.0369277	622
			(0.71, 0.76)	(0.06, 0.28)							('SAtimeCmean', 'SSPreOrdmax')	3085120086957.68	822538006517.5189	0.1	0.1	3.66	275.65	[177.38 914.12 354.05]	[1716.82 -977.07 2943.4 ]	[1.   3.66 7.   9.  ]	[1894.2   177.38  736.74 -560.07]	5946956585.221751	9133598551.996841	2.130501512569485e-07	5	2	7758166454.735701	5946956585.221751	1267
						(0.04, 0.38)	(0.06, 0.18)	(0.41, 0.57)			('NCIES', 'CAPreOrdmax', 'NCRTinterceptNumDis')	5063601961749.12	2742784395947.44	0.05	0.05	3.38	0.46	[ 56.64 896.26]	[2187.62 -650.8 ]	[1.   3.38 9.  ]	[2244.26   56.64  839.61]	4332246119.795179	6756856138.119944	1.6550306242386303e-07	3	1	6288848546.392328	4332246119.795179	717
						(0.04, 0.38)					('NCIES',)	2005758954347.58	761157981977.1434	0.21	0.21	3.29	53.0	[  93.61  664.12 2296.56  351.1 ]	[ 1762.72  -115.49 -9910.15  2607.34]	[1.   3.29 6.   6.43 9.  ]	[ 1856.33    93.61   570.51  1632.44 -1945.46]	9565362830.378979	15630130713.573212	2.9345462893317e-07	7	3	11764674882.469992	9565362830.378979	2807
