NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	SSAnsCsum	NCIES	SSAnsCprop	NCtimeCmedian	SSPreOrdmax	SAtimeCmedian	SAIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)											('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum')	5456324014330.18	-inf	0.05	0.05	3.64	480.74	[ -25.47 1104.72  -30.71]	[ 2458.5  -1657.57  7068.47]	[1.   3.64 7.69 9.  ]	[ 2433.03   -25.47  1130.19 -1135.43]	4211588018.285078	6196944260.716858	1.4507591847713394e-07	5	2	5984560893.380936	4211588018.285078	611
	(0.2, 0.44)			(0.41, 0.57)		(0.06, 0.34)							('SSAnsCsum', 'NCRTinterceptNumDis', 'NCtimeCmean')	5386614626557.68	4560154039568.687	0.05	0.05	4.21	502.36	[ 101.98 1344.54   59.44]	[ 2184.37 -3046.87  6424.71]	[1.   4.21 7.37 9.  ]	[ 2286.35   101.98  1242.56 -1285.1 ]	3871467062.2529073	6032223387.958332	1.549800089609556e-07	5	2	5732704362.052538	3871467062.2529073	600
	(0.21, 0.44)			(0.38, 0.57)				(0.62, 1.0)					('NCRTinterceptNumDis', 'NCtimeCmean', 'SSAnsCprop')	4993879018787.64	3911705435416.357	0.05	0.05	4.31	483.01	[ 112.85 1281.71  -62.38]	[ 2216.78 -2817.27  7057.51]	[1.   4.31 7.35 9.  ]	[ 2329.64   112.85  1168.85 -1344.09]	4484100486.7906	6476792294.567163	1.4941681212847626e-07	5	2	6195424786.677719	4484100486.7906	670
	(0.21, 0.44)			(0.41, 0.57)									('NCRTinterceptNumDis', 'NCRTinterceptNumDis', 'NCtimeCmean')	5008954325244.64	3091256526723.774	0.05	0.05	4.35	482.68	[ 115.01 1297.13 -109.67]	[ 2224.48 -2917.08  7462.28]	[1.   4.35 7.38 9.  ]	[ 2339.49   115.01  1182.12 -1406.8 ]	4483896345.512102	6466048044.419401	1.4942361472530423e-07	5	2	6200464865.117337	4483896345.512102	670
		(0.0, 0.25)		(0.41, 0.57)	(0.37, 0.56)								('CAAnsCsum', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5214387052186.39	3470225964019.5327	0.05	0.05	3.64	424.51	[ -39.13 1125.91   90.86]	[ 2428.35 -1808.1   5985.98]	[1.   3.64 7.53 9.  ]	[ 2389.22   -39.13  1165.04 -1035.06]	4329470854.864389	6634455168.746441	1.621445260940528e-07	5	2	6292432365.367762	4329470854.864389	702
			(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)								('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis')	5385204315210.29	5026190694196.27	0.05	0.05	3.32	0.47	[ 26.32 927.79]	[2267.76 -726.5 ]	[1.   3.32 9.  ]	[2294.08   26.32  901.47]	3894791537.9094963	6144712454.443547	1.5918695364445128e-07	3	1	5822008062.768613	3894791537.9094963	620
			(0.06, 0.16)	(0.4, 0.57)			(0.04, 0.38)						('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	5229490200732.19	4296439054391.0254	0.05	0.05	3.46	0.6	[185.37 885.59]	[1926.2  -493.48]	[1.   3.46 9.  ]	[2111.57  185.37  700.22]	4056260855.0687857	6317084407.118279	1.6049263675596633e-07	3	1	5966860296.576213	4056260855.0687857	651
			(0.06, 0.18)				(0.04, 0.38)			(0.06, 0.28)			('NCIES', 'CAPreOrdmax', 'SSPreOrdmax')	4465416184314.13	2856669656322.52	0.06	0.06	4.11	415.93	[ 230.81 1132.06  239.51]	[ 1839.5  -1865.18  4382.66]	[1.   4.11 7.   9.  ]	[2070.31  230.81  901.24 -892.55]	4428210246.164999	6719736841.423576	1.7433679908685044e-07	5	2	6282194423.46961	4428210246.164999	772
						(0.06, 0.27)	(0.04, 0.38)					(0.46, 0.6)	('NCIES', 'SAIES', 'SSAnsCsum')	4572287785591.03	3234072534283.357	0.05	0.05	3.63	405.43	[  83.12 1092.11  286.3 ]	[ 2110.88 -1551.25  4169.38]	[1.   3.63 7.1  9.  ]	[2194.     83.12 1008.99 -805.81]	4023580953.3632336	6282763832.936709	1.7670826267474223e-07	5	2	5905753589.83792	4023580953.3632336	711
									(0.24, 0.52)	(0.06, 0.28)	(0.71, 0.75)		('NCtimeCmedian', 'SSPreOrdmax', 'SAtimeCmedian')	4654802635759.78	3691647583916.289	0.05	0.05	3.63	428.22	[ 139.58 1104.47  256.7 ]	[ 1975.83 -1524.78  4409.6 ]	[1.   3.63 7.   9.  ]	[2115.41  139.58  964.89 -847.77]	3840701738.770669	5975472864.575758	1.718435965327661e-07	5	2	5668097781.01352	3840701738.770669	660
