CAPreOrdmax	NCRTinterceptNumDis	NCRTslopeNumDis	grade	NCIES	NCtimeCmean	language	SAtimeCmean	SAAnsCsum	SSAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.19)	(0.41, 0.57)	(0.37, 0.56)	['3', '4', '5', '6', '7']							('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'grade')	895231.43	-inf	0.05	0.05	3.33	0.47	[ 26.63 943.35]	[2293.72 -762.16]	[1.   3.33 9.  ]	[2320.35   26.63  916.72]	3820860557.9917774	6069761315.342191	1.5755612927062896e-07	3	1	5818469286.469656	3820860557.9917774	602
(0.02, 0.15)				(0.03, 0.38)	(0.15, 0.44)	f				('NCIES', 'CAPreOrdmax', 'NCtimeCmean', 'language')	765728.98	525071.3005714286	0.08	0.08	2.44	0.45	[-16.39 731.37]	[1990.54  164.39]	[1.   2.44 9.  ]	[1974.15  -16.39  747.76]	5298220940.739624	8308222417.042991	2.0195458286241825e-07	3	1	7300257357.256315	5298220940.739624	1070
(0.0, 0.19)					(0.12, 0.44)					('CAPreOrdmax', 'NCtimeCmean')	600109.1	227009.270348	0.19	0.19	3.11	0.26	[142.13 689.47]	[1601.72  -99.61]	[1.   3.11 9.  ]	[1743.86  142.13  547.33]	8577121141.616004	14477805508.741695	2.983518546314786e-07	3	1	10727434884.1312	8577121141.616004	2559
(0.0, 0.19)									(0.06, 0.29)	('CAPreOrdmax', 'SSAnsCsum')	602238.21	30150.99756654363	0.12	0.12	2.66	0.44	[ 23.08 699.85]	[1827.23   27.84]	[1.   2.66 9.  ]	[1850.31   23.08  676.78]	6452764895.441639	10224281178.467762	2.3555793905861316e-07	3	1	8215704957.2167225	6452764895.441639	1520
	(0.38, 0.57)			(0.04, 0.38)						('NCIES', 'NCRTinterceptNumDis')	634729.58	389046.2809142856	0.17	0.17	3.28	0.26	[ 89.52 714.87]	[1825.93 -224.31]	[1.   3.28 9.  ]	[1915.45   89.52  625.35]	8169565846.051287	13350643259.6095	2.783501648498402e-07	3	1	10332049902.010208	8169565846.051287	2274
	(0.4, 0.57)			(0.03, 0.38)						('NCIES', 'NCRTinterceptNumDis')	641714.94	73904.83369543799	0.13	0.13	3.35	0.33	[ 86.13 735.35]	[1912.53 -261.4 ]	[1.   3.35 9.  ]	[1998.66   86.13  649.22]	7394238273.403178	11433558150.453007	2.3166686501861894e-07	3	1	9353680982.07323	7394238273.403178	1713
	(0.35, 0.57)								(0.06, 0.28)	('NCRTinterceptNumDis', 'SSAnsCsum')	602672.76	47232.58707571074	0.12	0.12	2.7	0.45	[ 15.25 687.05]	[1896.3    83.62]	[1.  2.7 9. ]	[1911.55   15.25  671.81]	6797399629.511248	10582538289.82793	2.3597259061187965e-07	3	1	8594949937.040104	6797399629.511248	1604
	(0.41, 0.57)									('NCRTinterceptNumDis', 'NCRTinterceptNumDis')	669952.27	21618.825503184245	0.1	0.1	3.23	0.34	[ 36.55 747.66]	[2068.49 -227.29]	[1.   3.23 9.  ]	[2105.04   36.55  711.12]	6660348097.456875	10079054960.452518	2.0869780072467152e-07	3	1	8563119387.282165	6660348097.456875	1390
				(0.04, 0.38)				(0.1, 0.43)		('NCIES', 'SAAnsCsum')	605187.21	33075.75150427853	0.15	0.15	3.23	0.28	[102.75 721.03]	[1760.41 -236.74]	[1.   3.23 9.  ]	[1863.16  102.75  618.28]	7375470138.609793	12100128298.37881	2.713047388701339e-07	3	1	9334238066.2894	7375470138.609793	2001
							(0.71, 0.76)	(0.1, 0.28)		('SAtimeCmean', 'SAAnsCsum')	634321.84	102274.0889701	0.1	0.1	3.15	0.38	[144.35 740.55]	[1711.25 -165.67]	[1.   3.15 9.  ]	[1855.6   144.35  596.21]	5821321613.5618925	9343419912.226599	2.3121897214272326e-07	3	1	7603872185.477107	5821321613.5618925	1346
