NCtimeCmean	NCAnsCsum	CAAnsCsum	NCPreOrdmax	NCtimeCmedian	NCRTinterceptNumDis	NCRTinterceptNumRatio	CAPreOrdmax	SAPreOrdmax	NCIES	SAAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(0.29, 0.98)	(0.32, 0.79)									('NCtimeCmean', 'NCAnsCsum', 'CAAnsCsum')	1288.24	-inf	0.32	0.32	3.6	0.15	[ 62.8  458.34]	[1065.11 -360.15]	[1.  3.6 9. ]	[1127.91   62.8   395.55]	2764662519.6810207	6223640788.466258	1.473959288336633e-06	3	1	4221076064.529412	2764662519.6810207	4075
(0.04, 0.12)			(52.0, 52.0)	(0.09, 0.18)							('NCtimeCmean', 'NCPreOrdmax', 'NCtimeCmedian')	1150.18	502.38994339622644	0.41	0.41	3.52	0.14	[ 64.71 462.93]	[1068.51 -332.17]	[1.   3.52 9.  ]	[1133.23   64.71  398.22]	4710921082.170119	9428840516.906826	1.123134925784548e-06	3	1	6321443153.080951	4710921082.170119	5291
(0.04, 0.12)											('NCtimeCmean',)	952.23	30.569844446240783	0.53	0.53	3.81	0.0	[    93.67    534.58 -16995.98  14247.64]	[   1067.08    -614.4   139337.77 -124282.01]	[1.   3.81 7.98 8.44 9.  ]	[  1160.75     93.67    440.91 -17530.56  31243.63]	7498902959.463617	13901651663.332743	9.053324248491948e-07	7	3	9018370493.578053	7498902959.463617	6789
	(0.29, 0.98)				(0.27, 0.35)						('NCRTinterceptNumDis', 'NCAnsCsum')	919.68	164.95714909090907	0.43	0.43	3.46	0.13	[ 58.95 482.83]	[1136.39 -330.49]	[1.   3.46 9.  ]	[1195.34   58.95  423.88]	5299696405.990587	10668338444.547976	1.0343988749626004e-06	3	1	6351133996.327143	5299696405.990587	5482
	(0.46, 0.98)			(0.07, 0.19)							('NCtimeCmedian', 'NCAnsCsum')	996.97	43.895247025	0.4	0.4	3.41	0.13	[ 49.21 475.71]	[1121.62 -331.58]	[1.   3.41 9.  ]	[1170.83   49.21  426.5 ]	4731972683.747282	9678088074.668146	1.0934129053134502e-06	3	1	5932006319.970479	4731972683.747282	5174
	(0.46, 0.98)								(0.01, 0.03)		('NCIES', 'NCAnsCsum')	1000.74	9.342721899972815	0.4	0.4	3.42	0.13	[ 50.26 471.23]	[1124.73 -313.99]	[1.   3.42 9.  ]	[1174.99   50.26  420.97]	4691447071.635394	9497882428.744253	1.094331860001212e-06	3	1	5925974506.308751	4691447071.635394	5134
		(0.38, 0.95)		(0.07, 0.2)							('CAAnsCsum', 'NCtimeCmedian')	940.18	109.54069599999998	0.37	0.37	3.73	0.19	[ 94.66 445.01]	[1033.12 -275.12]	[1.   3.73 9.  ]	[1127.78   94.66  350.36]	5006181087.724796	8972461241.34476	9.785902495641626e-07	3	1	6762397007.148555	5006181087.724796	4899
		(0.34, 0.95)				(0.32, 0.38)					('NCRTinterceptNumRatio', 'NCRTinterceptNumRatio', 'CAAnsCsum')	1081.55	50.21725301639345	0.39	0.39	3.92	0.0	[  88.98  511.99  -83.57 2010.38]	[  1057.62   -600.     3856.16 -14387.98]	[1.   3.92 7.48 8.71 9.  ]	[1146.6    88.98  423.01 -595.56 2093.95]	4869943096.363949	9021533064.073317	1.0558644933324123e-06	7	3	6684510664.121445	4869943096.363949	5142
					(0.27, 0.35)					(0.56, 1.0)	('NCRTinterceptNumDis', 'SAAnsCsum')	1172.03	6.335668680222156	0.25	0.25	3.54	21.47	[ 37.33 416.86 941.53 315.58]	[ 1078.74  -265.98 -3513.11   652.16]	[1.   3.54 6.19 6.65 9.  ]	[1116.07   37.33  379.54  524.66 -625.95]	2178167638.3023677	4684949430.7386675	1.5090665852339265e-06	7	3	3824757235.6188383	2178167638.3023677	3287
						(0.3, 0.38)	(0.25, 1.0)	(0.62, 1.0)			('NCRTinterceptNumRatio', 'CAPreOrdmax', 'SAPreOrdmax')	1109.34	11.499922942394905	0.2	0.2	3.78	67.7	[ 57.67 451.02 333.27]	[1031.6  -455.94  368.35]	[1.   3.78 7.   9.  ]	[1089.26   57.67  393.36 -117.76]	1567639900.1743774	3356782901.585319	1.6859739278810168e-06	5	2	3157629374.513176	1567639900.1743774	2643
