NCIES	NCRTinterceptNumDis	NCtimeCmean	CAAnsCsum	SSAnsCprop	CAPreOrdmax	SAtimeCmedian	NCRTslopeNumDis	NCtimeCmedian	SAIES	SAPreOrdmax	CAIES	NCRTinterceptNumRatio	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 0.38)	(0.4, 0.57)	(0.2, 0.44)	(0.05, 0.3)	(0.62, 1.0)									('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop')	5985813266687.56	-inf	0.05	0.05	4.24	515.17	[ 112.8  1284.74   86.05]	[ 2256.28 -2715.6   6199.77]	[1.   4.24 7.44 9.  ]	[ 2369.08   112.8   1171.94 -1198.69]	4288847899.78915	6386597219.223493	1.4292882711698322e-07	5	2	6206676542.193845	4288847899.78915	613
(0.04, 0.38)				(0.92, 1.0)	(0.06, 0.15)	(0.7, 0.73)							('NCIES', 'CAPreOrdmax', 'CAPreOrdmax', 'SSAnsCprop', 'SAtimeCmedian')	5138203964269.83	2947706484765.324	0.05	0.05	2.56	0.61	[-66.32 811.06]	[2235.08   -8.74]	[1.   2.56 9.  ]	[2168.76  -66.32  877.38]	4149410082.8449697	6308654046.110938	1.564077753324937e-07	3	1	5977425814.208124	4149410082.8449697	649
(0.04, 0.38)		(0.21, 0.44)											('NCIES', 'NCtimeCmean')	4415276865740.81	1113848202458.8137	0.05	0.05	3.63	429.4	[ -29.15 1069.54   42.87]	[ 2378.25 -1614.54  6016.76]	[1.   3.63 7.43 9.  ]	[ 2349.1    -29.15  1098.69 -1026.67]	4644082593.804334	6680566289.425797	1.5525133014685947e-07	5	2	6246856991.392901	4644082593.804334	721
(0.03, 0.38)	(0.4, 0.57)												('NCIES', 'NCRTinterceptNumDis')	2859189800676.09	612203801597.8771	0.13	0.13	3.3	75.61	[  86.13  650.26 2233.62  300.33]	[  1912.53     52.78 -10034.34   3338.79]	[1.   3.3  6.37 6.92 9.  ]	[ 1998.66    86.13   564.13  1583.37 -1933.3 ]	7306990125.632793	11433558150.453007	2.3443305253565707e-07	7	3	9353680985.788269	7306990125.632793	1713
(0.04, 0.38)											(0.08, 0.16)		('NCIES', 'CAIES')	2903812738063.78	406277859753.0046	0.07	0.07	3.36	332.92	[ 48.75 917.51 219.1 ]	[2001.21 -918.11 4186.87]	[1.   3.36 7.31 9.  ]	[2049.95   48.75  868.76 -698.41]	4572440622.759206	6944202398.511954	2.012054558829531e-07	5	2	6033653609.014049	4572440622.759206	920
	(0.41, 0.57)			(0.62, 1.0)			(0.37, 0.56)						('NCRTinterceptNumDis', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'SSAnsCprop')	4423911543687.27	1742019507863.2705	0.07	0.07	3.07	117.95	[1.781000e+01 6.595800e+02 9.436002e+04 2.283700e+02]	[ 2.2211000e+03  2.5330000e+02 -5.8314672e+05  4.5422400e+03]	[1.   3.07 6.23 6.24 9.  ]	[ 2.238900e+03  1.781000e+01  6.417800e+02  9.370044e+04 -9.413165e+04]	4982558586.774808	7742088585.658269	1.8323919008667023e-07	7	3	7005483648.164567	4982558586.774808	913
	(0.35, 0.57)				(0.02, 0.15)								('NCRTinterceptNumDis', 'CAPreOrdmax')	2954488146922.6	1622877101557.3608	0.11	0.11	2.6	0.44	[ 44.53 710.  ]	[1785.07   52.85]	[1.  2.6 9. ]	[1829.6    44.53  665.46]	6516958555.614011	10444304510.502989	2.3124283929990626e-07	3	1	8511018082.729024	6516958555.614011	1507
					(0.0, 0.19)			(0.24, 0.52)					('CAPreOrdmax', 'NCtimeCmedian')	2871403475223.83	872962557195.2747	0.12	0.12	3.55	225.76	[136.75 885.07 338.3 ]	[1708.98 -945.15 3174.06]	[1.   3.55 7.53 9.  ]	[1845.73  136.75  748.32 -546.77]	6513792715.75462	10804590310.894407	2.471678283691719e-07	5	2	8633406737.43274	6513792715.75462	1610
									(0.46, 0.6)	(0.16, 0.24)			('SAIES', 'SAPreOrdmax', 'SAPreOrdmax')	4290147001518.38	496427463869.3944	0.05	0.05	2.5	0.5	[-177.8   803.13]	[2379.35  -71.07]	[1.  2.5 9. ]	[2201.55 -177.8   980.94]	3972168336.459585	6087939729.7732725	1.6766661017030545e-07	3	1	5619333173.652993	3972168336.459585	666
									(0.46, 0.6)			(0.41, 0.58)	('NCRTinterceptNumRatio', 'SAIES')	2813457094652.46	340493610070.95856	0.07	0.07	3.73	321.32	[116.51 977.3  314.1 ]	[ 1908.84 -1304.23  3432.84]	[1.   3.73 7.14 9.  ]	[2025.35  116.51  860.8  -663.2 ]	4396204154.509882	6867253792.0212555	2.1404829414818404e-07	5	2	5912132844.698749	4396204154.509882	941
