NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	SSAnsCprop	SAAnsCprop	NCIES	CAPreOrdmax	SAtimeCmedian	NCRTinterceptNumDis	grade	NCPreOrdmax	NCRTslopeNumDis	SAtimeCmean	SSPreOrdmax	SAPreOrdmax	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.41, 0.58)	(0.2, 0.36)	(0.05, 0.3)	(0.62, 1.0)	(0.21, 1.0)												('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop', 'SAAnsCprop')	5660633783608.06	-inf	0.05	0.05	3.65	490.85	[ -18.27 1108.82   -6.72]	[ 2459.57 -1650.57  6921.2 ]	[1.   3.65 7.68 9.  ]	[ 2441.3    -18.27  1127.09 -1115.54]	4174846714.7714787	6142836749.741177	1.4252020269265595e-07	5	2	5969726687.565918	4174846714.7714787	595
	(0.21, 0.36)		(0.62, 1.0)					(0.4, 0.57)								('NCtimeCmean', 'NCRTinterceptNumDis', 'NCtimeCmean', 'NCtimeCmean', 'SSAnsCprop')	4733373883700.31	1942922050235.0933	0.05	0.05	3.7	471.07	[ -10.31 1081.69 -231.45]	[ 2421.65 -1622.64  8459.22]	[1.   3.7  7.68 9.  ]	[ 2411.33   -10.31  1092.   -1313.14]	4333078734.571602	6153642105.905363	1.4631628891061024e-07	5	2	5898972028.941989	4333078734.571602	634
	(0.16, 0.44)							(0.4, 0.57)								('NCtimeCmean', 'NCRTinterceptNumDis')	3003396842439.76	1432772810089.6707	0.12	0.12	3.35	78.0	[  82.83  663.68 6214.38  319.03]	[ 1.943500e+03 -3.470000e+00 -3.751968e+04  3.243580e+03]	[1.   3.35 6.76 6.91 9.  ]	[ 2026.32    82.83   580.86  5550.7  -5895.35]	7135186022.14378	11172245955.825214	2.3012714663697837e-07	7	3	9213813450.691254	7135186022.14378	1642
		(0.0, 0.25)						(0.41, 0.57)	['3', '4', '5', '6', '7']	(52.0, 52.0)	(0.37, 0.56)					('CAAnsCsum', 'NCRTinterceptNumDis', 'grade', 'NCPreOrdmax', 'NCRTslopeNumDis')	5529975642138.53	2695863125542.533	0.05	0.05	2.6	121.02	[-2.64060000e+02  7.06750000e+02  1.17406887e+06  1.58470000e+02]	[ 2.75346000e+03  2.25450000e+02 -7.09600565e+06  5.46969000e+03]	[1.   2.6  6.05 6.05 9.  ]	"[ 2.48940000e+03 -2.64060000e+02  9.70810000e+02  1.17336212e+06
 -1.17391040e+06]"	4224018634.6636496	6564150928.086259	1.6193110380405923e-07	7	3	6288893610.191086	4224018634.6636496	684
		(0.0, 0.25)													(0.24, 0.52)	('CAAnsCsum', 'NCtimeCmedian')	3078693025161.1	666114788647.0522	0.13	0.13	3.62	226.72	[103.7  932.57 202.31]	[ 1807.36 -1191.46  4256.01]	[1.   3.62 7.46 9.  ]	[1911.06  103.7   828.86 -730.26]	7128331064.711769	11484549074.787378	2.3553900411721262e-07	5	2	9326603955.27633	7128331064.711769	1679
			(0.92, 1.0)		(0.04, 0.38)	(0.02, 0.15)	(0.7, 0.73)									('NCIES', 'CAPreOrdmax', 'NCIES', 'SSAnsCprop', 'SAtimeCmedian')	5138203974077.32	3988868874612.6562	0.05	0.05	2.56	0.61	[-66.32 811.06]	[2235.08   -8.74]	[1.   2.56 9.  ]	[2168.76  -66.32  877.38]	4149410082.8449545	6308654046.110938	1.5640777533249424e-07	3	1	5977425817.69732	4149410082.8449545	649
					(0.03, 0.38)	(0.02, 0.15)										('NCIES', 'CAPreOrdmax')	2913455791942.35	1714690127549.4038	0.12	0.12	2.55	0.42	[ 27.47 709.58]	[1790.05   50.17]	[1.   2.55 9.  ]	[1817.52   27.47  682.11]	6523309089.751194	10504926290.397377	2.337770568615146e-07	3	1	8519356170.504639	6523309089.751194	1525
					(0.04, 0.38)	(0.06, 0.18)										('NCIES', 'CAPreOrdmax')	3232733852339.34	1069844606111.2114	0.11	0.11	3.57	243.66	[131.03 919.14 377.59]	[ 1771.62 -1042.32  2924.79]	[1.   3.57 7.33 9.  ]	[1902.64  131.03  788.11 -541.55]	6229378829.441433	10227674564.017794	2.3453381789769925e-07	5	2	8419026897.186626	6229378829.441433	1461
												(0.71, 0.76)	(0.06, 0.28)	(0.14, 0.24)		('SAtimeCmean', 'SSPreOrdmax', 'SAPreOrdmax')	4456491828637.1	2303524492504.9873	0.05	0.05	2.32	0.49	[-194.42  768.41]	[2413.27  179.75]	[1.   2.32 9.  ]	[2218.85 -194.42  962.83]	3940754022.036988	5830785892.919613	1.5783781391117793e-07	3	1	5523391513.353668	3940754022.036988	622
												(0.71, 0.76)	(0.06, 0.28)			('SAtimeCmean', 'SSPreOrdmax')	3085097905253.87	838600310808.3307	0.1	0.1	3.71	275.65	[189.67 919.3  351.66]	[ 1697.18 -1009.38  2964.09]	[1.   3.71 7.   9.  ]	[1886.85  189.67  729.63 -567.64]	5946975343.215505	9133598551.996841	2.1304947925258057e-07	5	2	7758166477.421725	5946975343.215505	1267
