NCIES	NCRTinterceptNumDis	CAPreOrdmax	language	grade	CAAnsCsum	NCRTslopeNumDis	NCRTinterceptNumRatio	NCtimeCmean	SSAnsCprop	NCPreOrdmax	SAAnsCprop	NCtimeCmedian	SSPreOrdmax	SAtimeCmedian	SAIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.38)	(0.4, 0.57)	(0.06, 0.16)	f	['3', '4', '5', '6', '7']												('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'language', 'grade')	5937134221257.69	-inf	0.05	0.05	3.48	0.64	[202.88 907.98]	[1958.89 -491.39]	[1.   3.48 9.  ]	[2161.77  202.88  705.1 ]	3893313964.387345	6082515252.441473	1.5359665453903402e-07	3	1	5924749072.820428	3893313964.387345	598
(0.04, 0.38)	(0.4, 0.57)	(0.06, 0.16)	f								(0.21, 1.0)					('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'language', 'SAAnsCprop')	5625342701474.86	4116360147756.177	0.05	0.05	3.46	0.64	[197.38 893.46]	[1942.54 -463.98]	[1.   3.46 9.  ]	[2139.92  197.38  696.08]	3968502097.0363407	6159681455.868507	1.5522229419004867e-07	3	1	5928287850.929582	3968502097.0363407	616
(0.04, 0.38)		(0.06, 0.18)		['3', '4', '5', '6', '7']									(0.06, 0.28)		(0.46, 0.6)	('NCIES', 'CAPreOrdmax', 'SSPreOrdmax', 'SAIES', 'grade')	5096149890979.56	3241244210825.9575	0.05	0.05	3.71	456.75	[ 136.64 1148.14  262.92]	[ 2041.5  -1706.52  4489.99]	[1.   3.71 7.   9.  ]	[2178.14  136.64 1011.49 -885.21]	3740049492.7131033	5786605177.871922	1.628320697858519e-07	5	2	5597117032.406846	3740049492.7131033	609
(0.04, 0.38)	(0.4, 0.57)			['3', '4', '5', '6', '7', '8']				(0.21, 0.44)	(0.62, 1.0)							('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean', 'SSAnsCprop', 'grade')	5172334243713.58	3106417663800.1187	0.05	0.05	4.34	492.84	[ 118.38 1306.03  -58.38]	[ 2208.3  -2941.14  7107.16]	[1.   4.34 7.36 9.  ]	[ 2326.68   118.38  1187.65 -1364.42]	4423330808.806177	6431742443.516081	1.4762630882139237e-07	5	2	6162932000.951213	4423330808.806177	653
	(0.41, 0.57)		f	['3', '4', '5', '6', '7']	(0.0, 0.25)	(0.37, 0.56)										('CAAnsCsum', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'language', 'grade')	5796567748886.68	5389241366532.48	0.05	0.05	5.77	616.72	[ 373.13 2263.5   -17.53]	[ 1694.01 -9213.39  7120.79]	[1.   5.77 7.16 9.  ]	[ 2067.15   373.13  1890.36 -2281.02]	4109898078.663363	6345180671.1406	1.5401841794720775e-07	5	2	6127644454.478852	4109898078.663363	633
	(0.41, 0.57)	(0.0, 0.19)		['3', '4', '5', '6', '7']		(0.37, 0.56)										('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'grade')	5681984132022.36	4493475394007.055	0.05	0.05	3.33	0.47	[ 26.63 943.35]	[2293.72 -762.16]	[1.   3.33 9.  ]	[2320.35   26.63  916.72]	3820860557.991784	6069761315.342191	1.575561292706287e-07	3	1	5818469286.738591	3820860557.991784	602
	(0.41, 0.57)			['3', '4', '5', '6', '7', '8']				(0.21, 0.44)	(0.62, 1.0)							('NCRTinterceptNumDis', 'NCRTinterceptNumDis', 'NCtimeCmean', 'SSAnsCprop', 'grade')	5176559755508.64	3882817594381.113	0.05	0.05	4.32	492.37	[ 114.77 1288.98  -93.28]	[ 2237.51 -2837.57  7368.7 ]	[1.   4.32 7.38 9.  ]	[ 2352.28   114.77  1174.2  -1382.26]	4452794607.345518	6415006010.660551	1.4687405498585853e-07	5	2	6185630657.373643	4452794607.345518	654
	(0.41, 0.57)			['3', '4', '5', '6', '7']	(0.0, 0.25)	(0.37, 0.56)			(0.62, 1.0)							('CAAnsCsum', 'NCRTinterceptNumDis', 'NCRTslopeNumDis', 'grade', 'SSAnsCprop')	5655629607973.31	3418280459054.441	0.05	0.05	3.66	440.35	[ -34.53 1152.36  103.16]	[ 2456.6  -1882.16  6004.94]	[1.   3.66 7.52 9.  ]	[ 2422.07   -34.53  1186.88 -1049.2 ]	4224696759.194327	6509620778.221558	1.581178574642577e-07	5	2	6274059381.185305	4224696759.194327	668
					(0.05, 0.3)		(0.41, 0.58)	(0.2, 0.36)	(0.62, 1.0)	(52.0, 52.0)						('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop', 'NCPreOrdmax')	5660633766674.8	4869762363273.663	0.05	0.05	3.65	490.85	[ -18.27 1108.81   -6.72]	[ 2459.57 -1650.57  6921.21]	[1.   3.65 7.68 9.  ]	[ 2441.3    -18.27  1127.09 -1115.54]	4174846714.7711267	6142836749.741177	1.4252020269266797e-07	5	2	5969726682.196502	4174846714.7711267	595
									(0.87, 1.0)			(0.24, 0.52)	(0.06, 0.28)	(0.71, 0.75)		('NCtimeCmedian', 'SSPreOrdmax', 'SAtimeCmedian', 'SSAnsCprop', 'SSAnsCprop')	4984851960312.14	3724727730395.8887	0.05	0.05	3.67	446.38	[ 146.67 1134.58  235.76]	[ 2000.83 -1627.5   4665.7 ]	[1.   3.67 7.   9.  ]	[2147.5   146.67  987.91 -898.82]	3768011206.966852	5849316608.6347685	1.6640077896814913e-07	5	2	5638143636.34263	3768011206.966852	627
