CAPreOrdmax	NCtimeCmean	NCRTinterceptNumDis	NCIES	SSPreOrdmax	SAAnsCsum	NCtimeCmedian	NCRTinterceptNumRatio	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.2)	(0.2, 0.54)	(0.42, 0.67)						('CAPreOrdmax', 'NCtimeCmean', 'NCRTinterceptNumDis')	930089.65	-inf	0.05	0.05	2.74	0.44	[-164.03  890.15]	[2542.44 -345.39]	[1.   2.74 9.  ]	[2378.41 -164.03 1054.18]	10530290523.918985	15359302477.723158	1.238332405965471e-07	3	1	14769917518.117226	10530290523.918985	1304
(0.0, 0.2)	(0.13, 0.54)							('CAPreOrdmax', 'NCtimeCmean')	700340.82	253467.904299802	0.2	0.2	3.09	0.17	[ 94.08 735.42]	[1710.57 -271.8 ]	[1.   3.09 9.  ]	[1804.65   94.08  641.34]	20319867799.538208	33437895390.122494	2.5310204036449887e-07	3	1	25352620778.625046	20319867799.538208	5143
(0.0, 0.2)								('CAPreOrdmax',)	468255.65	111161.88450007142	0.27	0.27	3.13	0.15	[ 95.3  692.25]	[1592.71 -273.62]	[1.   3.13 9.  ]	[1688.01   95.3   596.95]	25014109895.803726	40975153692.426544	2.830402532607292e-07	3	1	28946899093.23279	25014109895.803726	7080
	(0.17, 0.56)		(0.04, 0.38)					('NCIES', 'NCtimeCmean')	704275.43	417861.3288220149	0.17	0.17	3.18	0.19	[ 79.94 731.69]	[1852.23 -220.29]	[1.   3.18 9.  ]	[1932.17   79.94  651.75]	19890819193.094666	30975567977.871872	2.291509442498157e-07	3	1	24697050047.905056	19890819193.094666	4558
	(0.04, 0.12)							('NCtimeCmean',)	243984.65	87725.35523693466	0.51	0.51	3.45	0.1	[ 76.18 470.81]	[1090.25 -270.8 ]	[1.   3.45 9.  ]	[1166.43   76.18  394.63]	14391215033.4425	27130498599.168957	9.274408011404223e-07	3	1	17648813009.45305	14391215033.4425	13347
	(0.12, 0.56)							('NCtimeCmean',)	265270.95	72931.3747211902	0.48	0.48	3.3	0.12	[100.   644.39]	[1552.66 -241.23]	[1.  3.3 9. ]	[1652.66  100.    544.39]	37511831357.09682	61241775420.098495	3.3914633169710975e-07	3	1	40888239902.79367	37511831357.09682	12722
			(0.03, 0.38)	(0.01, 0.3)	(0.05, 0.29)			('NCIES', 'SSPreOrdmax', 'SAAnsCsum')	815134.6	542646.748	0.09	0.09	2.7	0.31	[-37.01 790.33]	[2054.51 -180.31]	[1.  2.7 9. ]	[2017.5   -37.01  827.34]	10682854972.428162	17854640219.082947	2.2007225653327663e-07	3	1	15073237009.821985	10682854972.428162	2351
				(0.56, 1.0)				('SSPreOrdmax',)	342506.51	189492.75830361442	0.27	0.27	3.54	0.16	[ 75.7  432.44]	[1073.77 -190.57]	[1.   3.54 9.  ]	[1149.47   75.7   356.74]	8006793732.123238	13570294037.585796	8.792533235564115e-07	3	1	10874652608.358006	8006793732.123238	7040
						(0.07, 0.15)		('NCtimeCmedian',)	428702.26	427431.5556964072	0.22	0.22	3.33	0.14	[ 46.7  416.56]	[1016.42 -214.17]	[1.   3.33 9.  ]	[1063.12   46.7   369.86]	4755030263.586342	8980849061.721424	1.1739147156951932e-06	3	1	7952082102.107018	4755030263.586342	5582
							(0.41, 0.66)	('NCRTinterceptNumRatio',)	538090.12	101236.74001905028	0.25	0.25	3.25	0.17	[103.3  697.64]	[1688.84 -242.71]	[1.   3.25 9.  ]	[1792.15  103.3   594.34]	25617541711.19463	40011214314.1423	2.5455213749687713e-07	3	1	29945590506.440548	25617541711.19463	6521
