CAPreOrdmax	NCtimeCmean	NCRTinterceptNumDis	NCIES	SSPreOrdmax	SAAnsCsum	NCtimeCmedian	SAPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.2)	(0.2, 0.54)	(0.42, 0.67)						('CAPreOrdmax', 'NCtimeCmean', 'NCRTinterceptNumDis')	930089.64	-inf	0.05	0.05	2.74	0.44	[-164.03  890.15]	[2542.45 -345.38]	[1.   2.74 9.  ]	[2378.42 -164.03 1054.18]	10530290523.92606	15359302477.723158	1.2383324059646392e-07	3	1	14769917460.657927	10530290523.92606	1304
(0.0, 0.2)	(0.13, 0.54)							('CAPreOrdmax', 'NCtimeCmean')	700340.81	385274.1213428218	0.2	0.2	3.09	0.17	[ 94.08 735.42]	[1710.57 -271.8 ]	[1.   3.09 9.  ]	[1804.65   94.08  641.34]	20319867799.55475	33437895390.122494	2.5310204036429283e-07	3	1	25352620648.150406	20319867799.55475	5143
(0.0, 0.2)								('CAPreOrdmax',)	468255.64	168749.71669196428	0.27	0.27	3.13	0.15	[ 95.3  692.25]	[1592.71 -273.62]	[1.   3.13 9.  ]	[1688.01   95.3   596.95]	25014109895.806084	40975153692.426544	2.8304025326070254e-07	3	1	28946898957.44969	25014109895.806084	7080
	(0.17, 0.56)	(0.38, 0.74)						('NCRTinterceptNumDis', 'NCtimeCmean')	697107.88	520286.72065693425	0.18	0.18	3.2	0.19	[ 70.75 733.53]	[1868.55 -249.1 ]	[1.  3.2 9. ]	[1939.3    70.75  662.79]	20132728185.921017	31428552861.36449	2.316625922194476e-07	3	1	24935838984.41692	20132728185.921017	4664
		(0.27, 0.33)						('NCRTinterceptNumDis',)	365370.73	181269.93087035124	0.31	0.31	3.38	0.11	[ 49.32 442.5 ]	[1076.54 -253.26]	[1.   3.38 9.  ]	[1125.86   49.32  393.17]	7378087200.967548	14160831449.58497	1.096625694385797e-06	3	1	10688891285.008635	7378087200.967548	8091
		(0.38, 0.74)						('NCRTinterceptNumDis',)	569999.38	132336.11738949158	0.25	0.25	3.23	0.16	[ 98.5  697.65]	[1715.31 -217.87]	[1.   3.23 9.  ]	[1813.82   98.5   599.15]	24477495739.341377	39074560765.95932	2.6906347242927603e-07	3	1	29085580786.446182	24477495739.341377	6586
			(0.03, 0.38)	(0.01, 0.3)	(0.05, 0.29)			('NCIES', 'SSPreOrdmax', 'SAAnsCsum')	815134.58	663752.4437142856	0.09	0.09	2.7	0.31	[-37.01 790.33]	[2054.51 -180.31]	[1.  2.7 9. ]	[2017.5   -37.01  827.34]	10682854972.427994	17854640219.082947	2.2007225653328005e-07	3	1	15073236905.231352	10682854972.427994	2351
			(0.04, 0.38)					('NCIES',)	613809.65	233775.15966796875	0.23	0.23	3.16	0.17	[ 90.76 699.46]	[1757.24 -165.51]	[1.   3.16 9.  ]	[1848.     90.76  608.7 ]	23047221696.037987	36562728708.515625	2.596842291419825e-07	3	1	27778259708.826847	23047221696.037987	5985
						(0.07, 0.15)		('NCtimeCmedian',)	428702.26	427579.16276197607	0.22	0.22	3.33	0.14	[ 46.7  416.56]	[1016.42 -214.17]	[1.   3.33 9.  ]	[1063.12   46.7   369.86]	4755030263.586175	8980849061.721424	1.1739147156952345e-06	3	1	7952082089.109537	4755030263.586175	5582
							(0.6, 1.0)	('SAPreOrdmax',)	359939.55	260348.6115533759	0.27	0.27	3.46	0.14	[ 53.68 441.99]	[1070.68 -271.38]	[1.   3.46 9.  ]	[1124.36   53.68  388.31]	7361054713.003677	13084549616.70693	9.447015775762955e-07	3	1	10355072981.520971	7361054713.003677	6954
