CAPreOrdmax	NCtimeCmean	NCRTinterceptNumDis	CAAnsCsum	NCIES	SAAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.0, 0.2)	(0.2, 0.54)	(0.42, 0.67)				('CAPreOrdmax', 'NCtimeCmean', 'NCRTinterceptNumDis')	930089.65	-inf	0.05	0.05	2.74	0.44	[-164.03  890.15]	[2542.44 -345.39]	[1.   2.74 9.  ]	[2378.41 -164.03 1054.17]	10530290523.918806	15359302477.723158	1.2383324059654923e-07	3	1	14769917518.926437	10530290523.918806	1304
(0.0, 0.23)		(0.41, 0.74)		(0.04, 0.38)		('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	880803.01	785485.102871318	0.08	0.08	2.81	0.38	[-60.36 807.34]	[2233.22 -207.33]	[1.   2.81 9.  ]	[2172.86  -60.36  867.7 ]	13667636894.026573	20454697189.038723	1.6059835485967018e-07	3	1	18312459599.814426	13667636894.026573	2195
(0.0, 0.19)	(0.16, 0.56)					('NCtimeCmean', 'CAPreOrdmax')	786302.54	668685.1143307538	0.13	0.13	3.08	0.22	[ 85.75 763.61]	[1862.85 -228.09]	[1.   3.08 9.  ]	[1948.61   85.75  677.86]	16472743217.30625	25719953891.7037	2.0488390764534152e-07	3	1	21251976626.90156	16472743217.30625	3375
(0.0, 0.19)		(0.38, 0.74)				('NCRTinterceptNumDis', 'CAPreOrdmax')	780227.84	610272.7319132754	0.13	0.13	3.05	0.22	[ 89.63 758.17]	[1826.11 -212.38]	[1.   3.05 9.  ]	[1915.74   89.63  668.54]	16843897123.935444	26474618405.905804	2.0862155439114803e-07	3	1	21656128628.115788	16843897123.935444	3514
(0.0, 0.2)					(0.05, 0.24)	('CAPreOrdmax', 'SAAnsCsum')	747571.47	539625.4059877481	0.06	0.06	2.62	0.36	[-83.17 802.55]	[2221.73 -101.75]	[1.   2.62 9.  ]	[2138.56  -83.17  885.72]	8422726560.798557	13427346356.577335	1.8960606027896373e-07	3	1	12019188373.776308	8422726560.798557	1597
	(0.16, 0.56)		(0.0, 0.36)			('NCtimeCmean', 'CAAnsCsum')	714140.68	479403.92296024004	0.19	0.19	3.07	0.18	[ 79.76 720.89]	[1813.61 -155.16]	[1.   3.07 9.  ]	[1893.36   79.76  641.14]	20646619166.16439	32618786699.357594	2.3689108423210292e-07	3	1	25667367664.404026	20646619166.16439	4891
		(0.42, 0.74)	(0.0, 0.25)	(0.05, 0.38)		('CAAnsCsum', 'NCRTinterceptNumDis', 'NCIES')	921963.78	844324.7248421055	0.05	0.05	2.53	0.33	[-391.27  875.03]	[2941.83 -256.67]	[1.   2.53 9.  ]	[2550.56 -391.27 1266.3 ]	10325911007.594162	14932035581.822758	1.2512213198910994e-07	3	1	14518488285.75118	10325911007.594162	1292
		(0.41, 0.74)	(0.0, 0.32)	(0.04, 0.38)		('NCIES', 'NCRTinterceptNumDis', 'CAAnsCsum')	884479.28	707051.2982543091	0.08	0.08	2.7	0.34	[-142.66  802.8 ]	[2401.16 -147.8 ]	[1.  2.7 9. ]	[2258.51 -142.66  945.45]	13443708089.050161	19827229628.42425	1.5516552324570612e-07	3	1	18036822965.077354	13443708089.050161	2086
		(0.42, 0.74)		(0.04, 0.38)		('NCIES', 'NCRTinterceptNumDis', 'NCRTinterceptNumDis')	827767.53	566072.3817250734	0.09	0.09	2.83	0.37	[-85.83 796.61]	[2272.03 -221.86]	[1.   2.83 9.  ]	[2186.21  -85.83  882.44]	14091680261.63549	20915330228.464874	1.636426570277833e-07	3	1	18523416321.287735	14091680261.63549	2306
			(0.0, 0.34)	(0.04, 0.38)		('NCIES', 'CAAnsCsum')	729452.9	524333.9312897262	0.17	0.17	2.91	0.3	[ 41.62 720.32]	[1875.01 -100.59]	[1.   2.91 9.  ]	[1916.63   41.62  678.7 ]	19579408390.049805	30725955965.174583	2.2789248332281454e-07	3	1	24513995067.67106	19579408390.049805	4462
