NCIES	NCtimeCmedian	SSAnsCsum	NCtimeCmean	NCRTinterceptNumRatio	NCRTinterceptNumDis	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.01, 0.04)	(0.07, 0.18)	(0.43, 0.97)				('NCIES', 'NCtimeCmedian', 'SSAnsCsum')	2515.81	-inf	0.32	0.32	3.55	22.08	[  52.2   480.19 -351.48  517.62]	[ 1058.94  -460.27  5426.83 -1021.28]	[1.   3.55 7.08 7.42 9.  ]	[1111.13   52.2   427.99 -831.67  869.1 ]	6573814556.188977	13178495529.519444	1.2674528508194322e-06	7	3	10441384723.360128	6573814556.188977	8332
(0.01, 0.03)			(0.04, 0.16)			('NCtimeCmean', 'NCIES')	2191.87	434.06398395860276	0.5	0.5	3.59	20.48	[   68.6    519.15 -3184.88   544.  ]	[ 1101.36  -514.55 26440.49  -968.41]	[1.   3.59 7.28 7.35 9.  ]	[ 1169.95    68.6    450.55 -3704.03  3728.88]	13763493268.85014	25995815818.61502	9.43437813813442e-07	7	3	17107790936.320604	13763493268.85014	12985
(0.03, 0.38)						('NCIES',)	980.01	330.61373626943004	0.5	0.5	3.57	67.36	[104.68 728.38 504.93]	[1531.45 -693.33  870.8 ]	[1.   3.57 7.   9.  ]	[1636.14  104.68  623.7  -223.45]	38122121525.430695	62587629150.84404	3.4326526112327e-07	5	2	41467075944.299164	38122121525.430695	13086
(0.01, 0.03)						('NCIES',)	2154.31	45.3293475257732	0.5	0.5	3.6	0.0	[ 69.42 520.39 204.63 565.54]	[ 1101.98  -520.36  1745.81 -1152.57]	[1.   3.6  7.18 8.03 9.  ]	[1171.39   69.42  450.97 -315.76  360.91]	13971854900.960264	26279884034.45941	9.328754193621201e-07	7	3	17296247308.96147	13971854900.960264	13034
		(0.37, 0.97)		(0.29, 0.41)		('NCRTinterceptNumRatio', 'SSAnsCsum')	2174.28	1004.2740839160839	0.55	0.55	3.65	0.0	[  71.24  533.42 -906.65 2077.46]	[  1148.14   -538.36  10688.52 -14695.23]	[1.   3.65 7.8  8.51 9.  ]	[ 1219.37    71.24   462.19 -1440.07  2984.1 ]	15786021906.20397	29636603018.92697	9.168871097481286e-07	7	3	18786985524.19548	15786021906.20397	14474
			(0.16, 0.56)			('NCtimeCmean',)	1598.19	1594.3025108108109	0.24	0.24	3.5	111.09	[ 89.89 808.22 534.62]	[1756.28 -757.38 1157.82]	[1.  3.5 7.  9. ]	[1846.17   89.89  718.33 -273.6 ]	23928860205.94021	38207663889.37057	2.633221952809859e-07	5	2	28797482898.805435	23928860205.94021	6301
			(0.12, 0.56)			('NCtimeCmean',)	1018.13	32.279342684913225	0.48	0.48	3.41	23.02	[ 100.    662.37 1347.3   465.91]	[ 1552.66  -364.85 -4657.97  1221.74]	[1.   3.41 6.27 6.67 9.  ]	[1652.66  100.    562.37  684.93 -881.39]	37414546571.281555	61241775420.098495	3.4002817529172143e-07	7	3	40888239968.3875	37414546571.281555	12722
			(0.04, 0.12)			('NCtimeCmean',)	2174.37	10.18648639070352	0.51	0.51	3.65	0.0	[ 76.18 528.28 174.33 762.07]	[ 1090.25  -557.89  1993.42 -2899.42]	[1.   3.65 7.21 8.32 9.  ]	[1166.43   76.18  452.1  -353.95  587.75]	14345622191.276283	27130498599.168957	9.303883667113752e-07	7	3	17648812949.45978	14345622191.276283	13347
					(0.35, 0.74)	('NCRTinterceptNumDis',)	1018.42	3.26908713467742	0.48	0.48	3.54	69.45	[108.14 725.52 503.56]	[1524.41 -664.21  889.49]	[1.   3.54 7.   9.  ]	[1632.54  108.14  617.38 -221.96]	37750798219.12326	61435954199.80378	3.345359726354761e-07	5	2	41077910357.452995	37750798219.12326	12629
					(0.27, 0.35)	('NCRTinterceptNumDis',)	2123.22	1.4798368052238806	0.52	0.52	3.63	0.0	[   68.93   531.49 -1204.94  7379.39]	[  1120.59   -560.17  13054.59 -62427.61]	[1.   3.63 7.84 8.79 9.  ]	[ 1189.52    68.93   462.56 -1736.43  8584.33]	14587654387.893026	27621564322.711147	9.248231169499608e-07	7	3	17685412895.807632	14587654387.893026	13491
