NCRTinterceptNumRatio	SSPreOrdmax	NCtimeCmean	SSAnsCsum	NCIES	NCRTinterceptNumDis	NCPreOrdmax	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.29, 0.41)	(0.39, 1.0)	(0.04, 0.12)					('NCRTinterceptNumRatio', 'SSPreOrdmax', 'NCtimeCmean')	2513.97	-inf	0.43	0.43	3.69	20.61	[  76.32  507.06 -323.04  504.24]	[1068.53 -520.34 5388.75 -754.26]	[1.   3.69 7.12 7.43 9.  ]	[1144.85   76.32  430.74 -830.1   827.29]	10380712971.211815	20073487779.90857	1.078923965151552e-06	7	3	14182372748.856369	10380712971.211815	11200
(0.29, 0.41)			(0.37, 0.97)				('NCRTinterceptNumRatio', 'SSAnsCsum')	2174.28	1329.149020979021	0.55	0.55	3.65	0.0	[ 71.24 533.42 174.56 715.67]	[ 1148.14  -538.36  2038.89 -2439.11]	[1.   3.65 7.18 8.28 9.  ]	[1219.37   71.24  462.19 -358.87  541.11]	15786021906.203419	29636603018.92697	9.168871097481605e-07	7	3	18786985603.38302	15786021906.203419	14474
(0.41, 0.66)							('NCRTinterceptNumRatio',)	1583.82	943.2435863874346	0.25	0.25	3.51	110.76	[ 95.95 802.64 512.78]	[1700.27 -778.08 1250.94]	[1.   3.51 7.   9.  ]	[1796.22   95.95  706.69 -289.86]	25550826927.042755	40011214314.1423	2.552167888193957e-07	5	2	29945590492.21353	25550826927.042755	6521
		(0.16, 0.56)					('NCtimeCmean',)	1598.19	1598.19	0.24	0.24	3.49	111.09	[ 88.67 807.58 534.93]	[1758.18 -753.44 1155.07]	[1.   3.49 7.   9.  ]	[1846.85   88.67  718.91 -272.65]	23928854942.683052	38207663889.37057	2.6332225319986385e-07	5	2	28797482805.258335	23928854942.683052	6301
		(0.04, 0.16)		(0.01, 0.03)			('NCtimeCmean', 'NCIES')	2190.82	819.0775937904269	0.5	0.5	3.37	13.66	[ 68.6  444.05 710.18 365.24]	[ 1101.36  -164.69 -1817.97   580.74]	[1.   3.37 6.21 6.95 9.  ]	[1169.95   68.6   375.45  266.13 -344.94]	13765717624.05396	25995815818.61502	9.432853669256044e-07	7	3	17107790960.671415	13765717624.05396	12985
		(0.12, 0.56)					('NCtimeCmean',)	1018.13	183.33816255006676	0.48	0.48	3.41	23.02	[ 100.    662.37 3181.68  465.91]	[  1552.65   -364.86 -17031.02   1221.74]	[1.   3.41 6.62 6.72 9.  ]	[ 1652.66   100.     562.37  2519.31 -2715.77]	37414546571.28571	61241775420.098495	3.4002817529168364e-07	7	3	40888239887.94764	37414546571.28571	12722
					(0.27, 0.35)		('NCRTinterceptNumDis',)	2123.22	475.0176585820895	0.52	0.52	3.63	0.0	[  68.93  531.49  -30.66 1679.49]	[  1120.59   -560.17   3660.37 -11128.48]	[1.   3.63 7.51 8.65 9.  ]	[1189.52   68.93  462.56 -562.15 1710.15]	14587654387.893118	27621564322.711147	9.24823116949955e-07	7	3	17685412966.03335	14587654387.893118	13491
					(0.38, 0.74)		('NCRTinterceptNumDis',)	1523.1	460.6785621761658	0.25	0.25	3.55	107.16	[110.57 799.27 530.67]	[1696.42 -746.23 1133.98]	[1.   3.55 7.   9.  ]	[1806.99  110.57  688.7  -268.6 ]	24425772809.24628	39074560765.95932	2.6963322927112855e-07	5	2	29085580850.020844	24425772809.24628	6586
					(0.35, 0.74)		('NCRTinterceptNumDis',)	1018.42	371.2989583333333	0.48	0.48	3.55	69.45	[108.14 725.52 503.56]	[1524.4  -664.23  889.5 ]	[1.   3.55 7.   9.  ]	[1632.54  108.14  617.38 -221.96]	37750798207.766136	61435954199.80378	3.3453597273611947e-07	5	2	41077910287.227325	37750798207.766136	12629
					(0.27, 0.35)	(52.0, 52.0)	('NCRTinterceptNumDis', 'NCPreOrdmax')	2123.22	237.50882929104475	0.52	0.52	3.63	0.0	[ 68.93 531.49 202.56 826.58]	[ 1120.59  -560.17  1794.61 -3452.32]	[1.   3.63 7.16 8.41 9.  ]	[1189.52   68.93  462.56 -328.93  624.02]	14587654387.892887	27621564322.711147	9.248231169499695e-07	7	3	17685412966.03335	14587654387.892887	13491
