NCRTinterceptNumDis	NCtimeCmedian	SSAnsCsum	NCRTinterceptNumRatio	SSPreOrdmax	NCtimeCmean	SAAnsCsum	NCIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.27, 0.35)	(0.08, 0.18)	(0.43, 0.97)						('NCRTinterceptNumDis', 'NCtimeCmedian', 'SSAnsCsum')	2517.01	-inf	0.31	0.31	3.55	22.2	[ 49.46 477.06 -33.8  507.18]	[1059.11 -456.98 3356.93 -940.88]	[1.   3.55 7.47 7.94 9.  ]	[1108.57   49.46  427.6  -510.86  540.98]	6218491337.599417	12567903708.295832	1.2964559347785874e-06	7	3	10065478471.072002	6218491337.599417	8062
		(0.37, 0.97)	(0.29, 0.41)		(0.04, 0.12)			('NCRTinterceptNumRatio', 'SSAnsCsum', 'NCtimeCmean')	2513.67	2107.331435909092	0.43	0.43	3.73	20.65	[  81.11  512.87 -520.98  513.51]	[1063.89 -547.13 6689.79 -843.53]	[1.   3.73 7.   7.28 9.  ]	[ 1145.      81.11   431.76 -1033.85  1034.48]	10250927630.113844	19812930523.839554	1.0846823235134395e-06	7	3	14027246106.679214	10250927630.113844	11119
		(0.37, 0.97)	(0.29, 0.38)					('NCRTinterceptNumRatio', 'SSAnsCsum', 'NCRTinterceptNumRatio')	2422.16	1584.9687772364741	0.43	0.43	3.67	0.0	[   67.11   513.66  -905.17 15586.86]	[   1099.84    -539.13   10531.75 -136514.41]	[1.   3.67 7.8  8.92 9.  ]	[ 1166.95    67.11   446.55 -1418.83 16492.03]	10401966747.860132	19915129238.157234	1.0650870425325237e-06	7	3	14060195639.061237	10401966747.860132	11079
		(0.37, 0.97)	(0.29, 0.41)					('NCRTinterceptNumRatio', 'SSAnsCsum')	2174.28	1456.3722991707696	0.55	0.55	3.65	19.66	[  71.24  533.42 -521.29  566.53]	[ 1148.14  -538.36  7297.17 -1096.85]	[1.   3.65 7.43 7.72 9.  ]	[ 1219.37    71.24   462.19 -1054.72  1087.82]	15786021906.205332	29636603018.92697	9.168871097480493e-07	7	3	18786985407.992226	15786021906.205332	14474
			(0.29, 0.41)	(0.39, 1.0)	(0.04, 0.12)			('NCRTinterceptNumRatio', 'SSPreOrdmax', 'NCtimeCmean')	2513.97	2336.18022972973	0.43	0.43	3.69	20.61	[  76.32  507.06 -320.29  504.24]	[1068.53 -520.34 5603.51 -754.26]	[1.   3.69 7.4  7.71 9.  ]	[1144.85   76.32  430.74 -827.35  824.54]	10380712971.212402	20073487779.90857	1.078923965151491e-06	7	3	14182372546.857922	10380712971.212402	11200
			(0.29, 0.38)			(0.55, 1.0)		('NCRTinterceptNumRatio', 'SAAnsCsum')	2498.83	1874.3792720050128	0.26	0.26	3.53	22.54	[ 33.27 467.9    5.62 481.82]	[1086.65 -447.73 2832.96 -776.78]	[1.   3.53 7.1  7.58 9.  ]	[1119.92   33.27  434.63 -462.27  476.2 ]	4562161619.270847	9686037138.966438	1.4824113138457608e-06	7	3	8150203790.294138	4562161619.270847	6763
			(0.29, 0.38)	(0.39, 1.0)				('NCRTinterceptNumRatio', 'SSPreOrdmax', 'NCRTinterceptNumRatio')	2431.04	1762.1327339214502	0.43	0.43	3.48	13.91	[ 66.68 441.94 772.96 326.6 ]	[ 1097.02  -210.29 -2271.03   778.24]	[1.   3.48 6.23 6.83 9.  ]	[1163.7    66.68  375.26  331.02 -446.36]	10492875730.509007	20059383687.52417	1.060719700285642e-06	7	3	14217515398.339588	10492875730.509007	11130
			(0.41, 0.66)					('NCRTinterceptNumRatio',)	1583.85	1455.7322905759165	0.25	0.25	3.53	110.76	[101.54 805.55 511.34]	[1691.6  -796.06 1263.4 ]	[1.   3.53 7.   9.  ]	[1793.13  101.54  704.01 -294.21]	25550659737.786068	40011214314.1423	2.5521845881561713e-07	5	2	29945590682.425674	25550659737.786068	6521
					(0.16, 0.56)			('NCtimeCmean',)	1598.19	1596.8941702702705	0.24	0.24	3.5	111.09	[ 89.2  807.86 534.79]	[1757.35 -755.17 1156.28]	[1.  3.5 7.  9. ]	[1846.55   89.2   718.66 -273.06]	23928856068.341812	38207663889.37057	2.633222408126858e-07	5	2	28797483036.090424	23928856068.341812	6301
					(0.04, 0.16)		(0.01, 0.03)	('NCtimeCmean', 'NCIES')	2191.87	1334.1580056005394	0.5	0.5	3.59	20.48	[ 68.6  519.15  79.49 544.  ]	[1101.36 -514.55 2655.88 -968.41]	[1.   3.59 7.21 7.8  9.  ]	[1169.95   68.6   450.55 -439.65  464.5 ]	13763493268.850138	25995815818.61502	9.43437813813442e-07	7	3	17107790900.589624	13763493268.850138	12985
