SSAnsCprop	NCPreOrdmax	SAAnsCprop	SStimeCmean	SAIES	NCIES	SSAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 1.0)							('SSAnsCprop',)	-17588.08	-inf	1.0	1.0	3.59	0.0	[   86.7    629.57 -3954.02 13562.89]	[   1317.95    -630.51   35747.82 -117367.7 ]	[1.   3.59 7.94 8.74 9.  ]	[ 1404.66    86.7    542.87 -4583.59 17516.9 ]	58647963312.64029	94410016711.28767	4.450793945025891e-07	7	3	58758480697.20188	58647963312.64029	26103
(0.03, 1.0)	(52.0, 52.0)						('SSAnsCprop', 'NCPreOrdmax')	-17588.08	-1758.808	1.0	1.0	3.59	0.0	[   86.7    629.57 -1229.86  3203.36]	[  1317.96   -630.51  13954.59 -24131.96]	[1.   3.59 7.84 8.59 9.  ]	[ 1404.66    86.7    542.87 -1859.44  4433.22]	58647963312.65002	94410016711.28767	4.450793945025153e-07	7	3	58758480697.20188	58647963312.65002	26103
(0.03, 1.0)		(0.21, 1.0)					('SSAnsCprop', 'SAAnsCprop')	-17588.09	-175.88090000000005	1.0	1.0	3.6	0.0	[ 8.86300000e+01  6.30510000e+02 -1.58611121e+07  1.63423230e+06]	[ 1.31491000e+03 -6.36250000e+02  1.26893013e+08 -1.47033924e+07]	[1.   3.6  8.   8.09 9.  ]	"[ 1.40354000e+03  8.86300000e+01  5.41880000e+02 -1.58617426e+07
  1.74953444e+07]"	58648008051.32295	94410016711.28767	4.450790549809847e-07	7	3	58758480697.20188	58648008051.32295	26103
(0.03, 1.0)	(52.0, 52.0)	(0.21, 1.0)					('SSAnsCprop', 'NCPreOrdmax', 'SAAnsCprop')	-17588.98	-17.588980000000006	1.0	1.0	3.44	14.04	[  86.7   563.64 3177.3   426.64]	[  1317.95   -323.31 -16216.27    806.07]	[1.   3.44 6.08 6.19 9.  ]	[ 1404.66    86.7    476.94  2613.66 -2750.67]	58650976811.7557	94410016711.28767	4.450565262327916e-07	7	3	58758480697.20188	58650976811.7557	26103
(0.03, 1.0)			(0.01, 0.04)				('SSAnsCprop', 'SStimeCmean')	-33088.94	-3.3088940000000004	1.0	1.0	3.59	0.0	[ 86.48 629.73 166.2  821.21]	[ 1317.99  -631.16  2785.97 -2692.12]	[1.   3.59 7.37 8.36 9.  ]	[1404.48   86.48  543.25 -463.53  655.01]	58636286408.0711	94389696215.94995	4.448610510301601e-07	7	3	58747124064.78646	58636286408.0711	26085
(0.03, 1.0)	(52.0, 52.0)		(0.01, 0.04)				('SSAnsCprop', 'NCPreOrdmax', 'SStimeCmean')	-33088.94	-0.33088940000000006	1.0	1.0	3.59	0.0	[  86.48  629.73  201.79 1046.61]	[ 1318.    -631.16  2501.24 -4720.73]	[1.   3.59 7.32 8.55 9.  ]	[1404.48   86.48  543.25 -427.94  844.82]	58636286408.072586	94389696215.94995	4.4486105103014884e-07	7	3	58747124064.78646	58636286408.072586	26085
(0.03, 1.0)		(0.21, 1.0)	(0.01, 0.04)				('SSAnsCprop', 'SAAnsCprop', 'SStimeCmean')	-33088.94	-0.03308894000000002	1.0	1.0	3.59	21.0	[    86.48    629.73 -14695.96    583.23]	[  1318.     -631.16 107895.75   -550.27]	[1.   3.59 7.08 7.1  9.  ]	[  1404.48     86.48    543.25 -15325.69  15279.19]	58636286408.07047	94389696215.94995	4.448610510301649e-07	7	3	58747124064.78646	58636286408.07047	26085
(0.03, 1.0)			(0.01, 0.02)				('SStimeCmean', 'SStimeCmean', 'SSAnsCprop')	-33088.94	-0.0033088940000000015	1.0	1.0	3.59	0.0	[  86.48  629.73  103.68 2827.37]	[  1318.     -631.16   3286.13 -20747.54]	[1.   3.59 7.45 8.82 9.  ]	[1404.48   86.48  543.25 -526.05 2723.69]	58636286408.07118	94389696215.94995	4.4486105103015943e-07	7	3	58747124064.78646	58636286408.07118	26085
(0.09, 1.0)			(0.01, 0.04)				('SSAnsCprop', 'SStimeCmean', 'SSAnsCprop')	-45078.51	-0.00045078510000000035	1.0	1.0	3.59	0.0	[   86.51   629.7  -2733.55  1445.21]	[ 1317.83  -630.97 25984.15 -8307.98]	[1.   3.59 7.91 8.21 9.  ]	[ 1404.34    86.51   543.19 -3363.24  4178.76]	58634549208.72078	94372429062.0117	4.4461840931357553e-07	7	3	58745139389.4131	58634549208.72078	26070
				(0.45, 0.6)	(0.01, 0.02)	(0.56, 0.84)	('SAIES', 'NCIES', 'SSAnsCsum')	-103957.35	-0.00010395735000000002	0.05	0.05	3.62	84.08	[ 23.12 434.54 245.05]	[1009.11 -478.18  848.27]	[1.   3.62 7.   9.  ]	[1032.23   23.12  411.42 -189.49]	461272534.60859776	1127502261.9556694	2.5429651930074754e-06	5	2	1545246335.560071	461272534.60859776	1173
