NCIES	NCRTinterceptNumDis	CAPreOrdmax	NCRTinterceptNumRatio	NCtimeCmean	SAtimeCmedian	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.38)	(0.41, 0.74)	(0.0, 0.16)					('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	6908926030656.95	-inf	0.05	0.05	2.66	0.44	[-120.77  867.09]	[2385.82 -239.68]	[1.   2.66 9.  ]	[2265.05 -120.77  987.87]	10201191218.588005	14980484767.86565	1.2841637529673945e-07	3	1	14250203020.991446	10201191218.588005	1310
(0.04, 0.38)							('NCIES',)	2388511011952.88	1031483230391.7045	0.23	0.23	3.44	114.53	[ 85.11 806.73 511.57]	[1765.92 -713.37 1352.71]	[1.   3.44 7.   9.  ]	[1851.03   85.11  721.62 -295.15]	22984461226.78646	36562728708.515625	2.6039331272316207e-07	5	2	27778259979.587067	22984461226.78646	5985
(0.03, 0.38)							('NCIES',)	744650238152.92	186823142902.51297	0.5	0.5	3.57	67.36	[105.15 728.6  504.82]	[1530.73 -694.71  871.73]	[1.   3.57 7.   9.  ]	[1635.87  105.15  623.46 -223.78]	38122120356.991005	62587629150.84404	3.432652716443205e-07	5	2	41467075962.355705	38122120356.991005	13086
	(0.41, 0.74)		(0.38, 0.66)	(0.22, 0.56)			('NCRTinterceptNumRatio', 'NCRTinterceptNumDis', 'NCtimeCmean')	5953316717836.55	3095724693275.006	0.06	0.06	3.39	318.13	[ -14.61 1031.47  325.22]	[ 2278.23 -1269.78  3900.37]	[1.   3.39 7.32 9.  ]	[2263.62  -14.61 1046.08 -706.25]	11486013007.260105	16384417132.610819	1.3355374045200766e-07	5	2	15269343978.86351	11486013007.260105	1534
		(0.0, 0.13)			(0.71, 0.88)	(0.01, 0.04)	('SAtimeCmedian', 'CAPreOrdmax', 'SStimeCmean')	5478541037724.74	2533825229947.6924	0.05	0.05	3.6	346.12	[ 104.99 1388.22  608.81]	[ 1922.69 -2703.02  1634.06]	[1.   3.6  5.56 9.  ]	[2027.68  104.99 1283.23 -779.41]	8732284712.029905	13017151586.130547	1.3684849262343972e-07	5	2	12074512563.030832	8732284712.029905	1195
		(0.0, 0.2)	(0.41, 0.66)				('CAPreOrdmax', 'NCRTinterceptNumRatio')	3656512004614.99	2065311280578.5205	0.14	0.14	3.42	164.4	[ 76.6  896.38 524.86]	[1844.62 -958.58 1642.1 ]	[1.   3.42 7.   9.  ]	[1921.22   76.6   819.78 -371.53]	17273749874.289917	27112737631.965187	2.0950864903899557e-07	5	2	22050175634.066055	17273749874.289917	3619
		(0.0, 0.2)					('CAPreOrdmax',)	1676807677349.03	665617550878.015	0.27	0.27	3.41	100.69	[ 92.57 792.71 518.63]	[1596.87 -787.61 1130.94]	[1.   3.41 7.   9.  ]	[1689.44   92.57  700.14 -274.08]	24950653152.836075	40975153692.426544	2.8376010666459185e-07	5	2	28946899293.05798	24950653152.836075	7080
		(0.33, 1.0)					('CAPreOrdmax',)	437804882435.03	417145225009.85266	0.24	0.24	3.67	32.89	[    52.57    491.94 -10784.31    535.01]	[ 1126.07  -486.42 79969.73 -1137.34]	[1.   3.67 7.14 7.17 9.  ]	[  1178.64     52.57    439.36 -11276.24  11319.31]	8293233583.8471155	13167307331.465813	7.548322299992512e-07	7	3	10897123605.470627	8293233583.8471155	6260
			(0.41, 0.66)				('NCRTinterceptNumRatio',)	2140735914636.64	335115445810.39575	0.25	0.25	3.6	110.76	[116.17 812.4  508.08]	[1668.51 -838.57 1291.64]	[1.  3.6 7.  9. ]	[1784.69  116.17  696.23 -304.32]	25551145450.131588	40011214314.1423	2.552136072618387e-07	5	2	29945590606.4811	25551145450.131588	6521
					(0.71, 0.88)		('SAtimeCmedian',)	1294713902313.36	250319747777.57285	0.23	0.23	3.4	108.84	[ 87.91 754.69 542.14]	[1622.45 -643.58  844.27]	[1.  3.4 7.  9. ]	[1710.35   87.91  666.78 -212.55]	20800793876.482502	33466438544.20037	2.8768132771920524e-07	5	2	23671396797.68533	20800793876.482502	5984
