NCRTinterceptNumRatio	NCtimeCmean	CAPreOrdmax	SAtimeCmean	NCtimeCmedian	CAAnsCsum	NCIES	NCRTinterceptNumDis	SAtimeCmedian	SStimeCmean	CAIES	SAAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.41, 0.66)	(0.22, 0.56)	(0.0, 0.22)										('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAPreOrdmax')	7772297910178.68	-inf	0.05	0.05	2.55	0.41	[-245.41  882.21]	[2629.67 -249.57]	[1.   2.55 9.  ]	[2384.26 -245.41 1127.62]	10321421603.7659	14734534896.050634	1.1480976608567544e-07	3	1	14290965730.156633	10321421603.7659	1185
(0.41, 0.66)	(0.22, 0.56)									(0.07, 0.14)		('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAIES')	6088054801349.07	1849669427493.207	0.06	0.06	3.36	318.81	[ -18.07 1018.7   316.85]	[ 2293.54 -1185.35  4021.28]	[1.   3.36 7.42 9.  ]	[2275.47  -18.07 1036.77 -701.85]	11439407983.43672	16369653686.616997	1.3374818016940286e-07	5	2	15311259707.240282	11439407983.43672	1530
(0.38, 0.66)		(0.0, 0.15)										('NCRTinterceptNumRatio', 'CAPreOrdmax')	3696864033747.78	1511533912642.359	0.11	0.11	3.42	191.59	[128.64 918.13 395.15]	[ 1675.02 -1023.21  2819.01]	[1.   3.42 7.35 9.  ]	[1803.66  128.64  789.49 -522.98]	15072035703.420765	23515979249.0695	1.928073988930673e-07	5	2	19184362922.40434	15072035703.420765	2906
	(0.16, 0.56)	(0.0, 0.19)										('NCtimeCmean', 'CAPreOrdmax')	3868712234742.27	2280644743910.5654	0.13	0.13	3.43	171.95	[ 85.75 899.13 514.33]	[1862.86 -923.95 1798.24]	[1.   3.43 7.07 9.  ]	[1948.61   85.75  813.38 -384.8 ]	16418252986.455486	25719953891.7037	2.0556389299057965e-07	5	2	21251976675.72755	16418252986.455486	3375
	(0.16, 0.56)											('NCtimeCmean',)	2338881047079.96	1049903750430.6674	0.24	0.24	3.52	111.09	[ 93.65 810.13 533.67]	[1750.42 -769.21 1165.98]	[1.   3.52 7.   9.  ]	[1844.07   93.65  716.48 -276.46]	23928934905.32968	38207663889.37057	2.6332137326331984e-07	5	2	28797482867.438934	23928934905.32968	6301
		(0.0, 0.15)	(0.71, 0.86)	(0.28, 0.76)								('SAtimeCmean', 'NCtimeCmedian', 'CAPreOrdmax')	6725973773829.18	4878699286650.743	0.05	0.05	2.73	0.52	[-61.03 878.95]	[2264.83 -304.05]	[1.   2.73 9.  ]	[2203.8   -61.03  939.98]	9654924753.595367	14135133390.348011	1.247031987019522e-07	3	1	13401082053.724573	9654924753.595367	1204
		(0.0, 0.13)						(0.71, 0.88)	(0.01, 0.04)			('SAtimeCmedian', 'CAPreOrdmax', 'SStimeCmean')	5478540915723.95	2958031640260.675	0.05	0.05	3.6	346.12	[ 104.99 1388.22  608.8 ]	[ 1922.69 -2703.02  1634.07]	[1.   3.6  5.56 9.  ]	[2027.68  104.99 1283.23 -779.41]	8732284712.022736	13017151586.130547	1.3684849262355209e-07	5	2	12074512488.598848	8732284712.022736	1195
					(0.0, 0.25)	(0.04, 0.38)	(0.42, 0.74)					('CAAnsCsum', 'NCIES', 'NCRTinterceptNumDis')	6537372795745.96	3568871883391.9272	0.06	0.06	3.4	298.11	[ -11.63 1048.04  453.72]	[ 2304.73 -1293.24  2867.  ]	[1.  3.4 7.  9. ]	[2293.11  -11.63 1059.67 -594.32]	11995370589.527563	17436874695.09579	1.3838672074452173e-07	5	2	16394383362.385159	11995370589.527563	1660
						(0.04, 0.38)	(0.41, 0.74)					('NCIES', 'NCRTinterceptNumDis')	4456319603937.39	1365380878649.5667	0.11	0.11	3.45	199.72	[ 42.1  927.66 510.4 ]	[ 2046.93 -1004.57  1932.1 ]	[1.   3.45 7.04 9.  ]	[2089.03   42.1   885.56 -417.26]	15464674380.547531	23297301495.996098	1.8222174813746245e-07	5	2	20101523241.934834	15464674380.547531	2818
								(0.71, 0.88)			(0.04, 0.23)	('SAtimeCmedian', 'SAAnsCsum')	3948192617857.99	835001164637.8502	0.06	0.06	2.65	0.37	[-73.94 814.66]	[2190.13 -162.15]	[1.   2.65 9.  ]	[2116.19  -73.94  888.6 ]	8161751448.208095	13105683575.78576	1.875822866838379e-07	3	1	11683993886.119135	8161751448.208095	1531
