NCRTinterceptNumDis	NCtimeCmean	CAAnsCsum	NCRTinterceptNumRatio	CAPreOrdmax	NCtimeCmedian	NCIES	SAtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.38, 0.74)	(0.22, 0.56)	(0.0, 0.31)						('NCRTinterceptNumDis', 'NCtimeCmean', 'CAAnsCsum')	7849040206431.34	-inf	0.05	0.05	2.68	374.01	[-338.06  998.95  266.59]	[2821.75 -756.95 4784.65]	[1.   2.68 7.57 9.  ]	[2483.7  -338.06 1337.01 -732.36]	10404345696.813095	14811539912.770372	1.1677812669874674e-07	5	2	14507615873.647589	10404345696.813095	1215
(0.42, 0.67)	(0.2, 0.54)			(0.0, 0.2)				('CAPreOrdmax', 'NCtimeCmean', 'NCRTinterceptNumDis')	7510823831310.52	6509055509913.65	0.05	0.05	2.74	0.44	[-164.03  890.15]	[2542.44 -345.39]	[1.   2.74 9.  ]	[2378.41 -164.03 1054.17]	10530290523.918789	15359302477.723158	1.2383324059654944e-07	3	1	14769917546.871489	10530290523.918789	1304
(0.42, 0.74)		(0.0, 0.25)				(0.05, 0.38)		('CAAnsCsum', 'NCRTinterceptNumDis', 'NCIES')	7368510864328.21	5396561621307.534	0.05	0.05	2.53	0.33	[-391.27  875.03]	[2941.83 -256.67]	[1.   2.53 9.  ]	[2550.56 -391.27 1266.3 ]	10325911007.594229	14932035581.822758	1.2512213198910914e-07	3	1	14518488318.510498	10325911007.594229	1292
(0.41, 0.74)				(0.0, 0.16)		(0.04, 0.38)		('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	6908925924529.16	5018022885507.882	0.05	0.05	2.66	0.44	[-120.72  867.1 ]	[2385.75 -239.7 ]	[1.   2.66 9.  ]	[2265.03 -120.72  987.82]	10201191218.930954	14980484767.86565	1.2841637529242228e-07	3	1	14250202959.001535	10201191218.930954	1310
(0.42, 0.74)		(0.0, 0.25)					(0.71, 0.75)	('CAAnsCsum', 'NCRTinterceptNumDis', 'SAtimeCmedian')	7050336712454.47	4585483868064.149	0.05	0.05	2.6	0.42	[-207.88  857.83]	[2641.68 -128.98]	[1.  2.6 9. ]	[2433.8  -207.88 1065.72]	9632700684.541862	13926188299.689968	1.2623666402833256e-07	3	1	13617788536.03263	9632700684.541862	1216
(0.38, 0.74)	(0.22, 0.56)			(0.0, 0.22)				('NCRTinterceptNumDis', 'NCtimeCmean', 'CAPreOrdmax')	7469208848458.4	4279562776985.5283	0.05	0.05	2.59	0.41	[-211.75  874.  ]	[2567.76 -241.84]	[1.   2.59 9.  ]	[2356.02 -211.75 1085.75]	10487008823.807217	15062110019.2492	1.1938580590852144e-07	3	1	14509469492.147354	10487008823.807217	1252
(0.42, 0.74)				(0.0, 0.2)				('CAPreOrdmax', 'NCRTinterceptNumDis', 'NCRTinterceptNumDis')	6593657712935.2	3987222956034.0586	0.06	0.06	3.42	305.39	[  19.43 1044.4   521.79]	[ 2216.21 -1286.01  2372.26]	[1.   3.42 7.   9.  ]	[2235.64   19.43 1024.97 -522.61]	11803244083.243061	17281422210.584473	1.3640317768957263e-07	5	2	16139752893.248909	11803244083.243061	1610
	(0.22, 0.56)		(0.41, 0.66)	(0.0, 0.22)				('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAPreOrdmax')	7772297904627.98	7050584527769.668	0.05	0.05	2.55	0.41	[-245.41  882.21]	[2629.67 -249.57]	[1.   2.55 9.  ]	[2384.26 -245.41 1127.62]	10321421603.765886	14734534896.050634	1.1480976608567559e-07	3	1	14290965727.321718	10321421603.765886	1185
	(0.22, 0.56)	(0.0, 0.3)			(0.24, 0.76)			('NCtimeCmedian', 'NCtimeCmean', 'CAAnsCsum')	7716353426303.44	5879111109815.665	0.05	0.05	2.46	0.35	[-348.57  857.84]	[2840.96 -125.42]	[1.   2.46 9.  ]	[2492.39 -348.57 1206.41]	10537492299.402988	14825698833.556288	1.154923738420146e-07	3	1	14528645270.76269	10537492299.402988	1217
				(0.0, 0.13)			(0.71, 0.88)	('SAtimeCmedian', 'CAPreOrdmax')	5323087285285.34	3819591974763.8237	0.05	0.05	3.62	342.41	[ 109.37 1379.21  606.16]	[ 1913.24 -2683.16  1612.9 ]	[1.   3.62 5.56 9.  ]	[2022.61  109.37 1269.84 -773.04]	8804071811.980936	13074183930.509481	1.3777715878569966e-07	5	2	12085869115.355145	8804071811.980936	1213
