SAPreOrdmax	NCRTinterceptNumRatio	CAAnsCsum	NCtimeCmean	NCIES	SSPreOrdmax	SAAnsCsum	SAtimeCmedian	CAPreOrdmax	NCRTinterceptNumDis	SAtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.05, 0.5)	(0.43, 0.66)	(0.0, 0.3)	(0.21, 0.56)								('SAPreOrdmax', 'NCRTinterceptNumRatio', 'CAAnsCsum', 'NCtimeCmean')	942834.65	-inf	0.05	0.05	2.67	0.42	[-195.09  874.88]	[2626.94 -234.02]	[1.   2.67 9.  ]	[2431.85 -195.09 1069.97]	10594882533.816166	15290140997.709898	1.2298390244923962e-07	3	1	14891753699.112677	10594882533.816166	1303
(0.05, 0.5)	(0.43, 0.66)										('SAPreOrdmax', 'NCRTinterceptNumRatio')	729671.83	27367.875819680405	0.13	0.13	3.22	0.21	[ 70.59 782.5 ]	[1867.36 -422.85]	[1.   3.22 9.  ]	[1937.95   70.59  711.9 ]	16676695540.16069	26094671240.12642	2.0585612969503914e-07	3	1	21139070935.68926	16676695540.16069	3433
	(0.38, 0.66)							(0.0, 0.15)			('NCRTinterceptNumRatio', 'CAPreOrdmax')	701687.8	45951.6682625318	0.11	0.11	2.73	0.34	[ 17.92 762.18]	[1822.72 -209.05]	[1.   2.73 9.  ]	[1840.64   17.92  744.26]	15136046695.323309	23515979249.0695	1.9199200811780576e-07	3	1	19184362815.66931	15136046695.323309	2906
			(0.17, 0.56)	(0.04, 0.38)							('NCIES', 'NCtimeCmean')	704275.43	421645.4953115672	0.17	0.17	3.18	0.19	[ 79.94 731.69]	[1852.23 -220.28]	[1.   3.18 9.  ]	[1932.17   79.94  651.75]	19890819193.10132	30975567977.871872	2.2915094424973908e-07	3	1	24697049999.102505	19890819193.10132	4558
			(0.13, 0.54)					(0.0, 0.2)			('CAPreOrdmax', 'NCtimeCmean')	700340.81	261747.17718693073	0.2	0.2	3.09	0.17	[ 94.08 735.42]	[1710.57 -271.8 ]	[1.   3.09 9.  ]	[1804.65   94.08  641.34]	20319867799.542236	33437895390.122494	2.531020403644487e-07	3	1	25352620702.499058	20319867799.542236	5143
				(0.03, 0.38)	(0.01, 0.3)	(0.05, 0.29)	(0.71, 0.75)				('NCIES', 'SSPreOrdmax', 'SAAnsCsum', 'SAtimeCmedian')	845192.67	573523.5974999999	0.08	0.08	2.7	0.3	[-69.09 816.73]	[2123.31 -265.92]	[1.  2.7 9. ]	[2054.23  -69.09  885.81]	9709483874.754898	16555715956.260256	2.1844621478951079e-07	3	1	14120531098.653458	9709483874.754898	2121
				(0.04, 0.38)						(0.71, 0.86)	('SAtimeCmean', 'NCIES')	699211.8	54204.02237208328	0.17	0.17	3.11	0.19	[ 91.99 727.59]	[1802.85 -174.44]	[1.   3.11 9.  ]	[1894.84   91.99  635.61]	18591996255.38071	29410526609.748512	2.3504737952683686e-07	3	1	23282014230.21309	18591996255.38071	4370
				(0.03, 0.38)	(0.01, 0.3)						('NCIES', 'SSPreOrdmax')	698088.31	36792.766478833175	0.13	0.13	2.8	0.28	[-15.93 746.65]	[1948.65 -183.43]	[1.  2.8 9. ]	[1932.71  -15.93  762.58]	13619232475.772049	22644981989.131367	2.464896612912614e-07	3	1	17854150764.579113	13619232475.772049	3357
						(0.05, 0.24)		(0.0, 0.2)			('CAPreOrdmax', 'SAAnsCsum')	747571.46	61389.86744695626	0.06	0.06	2.62	0.36	[-83.17 802.55]	[2221.73 -101.75]	[1.   2.62 9.  ]	[2138.56  -83.17  885.72]	8422726560.798557	13427346356.577335	1.8960606027896373e-07	3	1	12019188331.792961	8422726560.798557	1597
									(0.41, 0.74)		('NCRTinterceptNumDis', 'NCRTinterceptNumDis')	716380.45	72733.41381709678	0.12	0.12	3.11	0.23	[ 46.79 750.8 ]	[1992.79 -194.5 ]	[1.   3.11 9.  ]	[2039.59   46.79  704.01]	16520003864.367538	24709497338.635185	1.923123036824804e-07	3	1	20781818953.338387	16520003864.367538	3177
