NCIES	NCRTinterceptNumDis	CAAnsCsum	SSPreOrdmax	SAAnsCsum	SAtimeCmedian	CAPreOrdmax	NCtimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.05, 0.38)	(0.42, 0.74)	(0.0, 0.32)						('NCIES', 'NCRTinterceptNumDis', 'CAAnsCsum', 'NCIES', 'NCRTinterceptNumDis')	941415.27	-inf	0.05	0.05	2.55	0.33	[-384.55  886.13]	[2922.89 -314.15]	[1.   2.55 9.  ]	[2538.34 -384.55 1270.68]	10480723955.27707	15242719810.032137	1.2470512586508132e-07	3	1	14774524979.918556	10480723955.27707	1307
(0.03, 0.38)			(0.01, 0.3)	(0.05, 0.29)	(0.71, 0.75)			('NCIES', 'SSPreOrdmax', 'SAAnsCsum', 'SAtimeCmedian')	845192.74	690911.5255555555	0.08	0.08	2.7	0.3	[-69.08 816.73]	[2123.31 -265.92]	[1.  2.7 9. ]	[2054.23  -69.08  885.81]	9709483874.754517	16555715956.260256	2.1844621478951936e-07	3	1	14120531474.011587	9709483874.754517	2121
(0.03, 0.38)						(0.0, 0.15)		('NCIES', 'CAPreOrdmax')	717897.02	112301.84124636627	0.11	0.11	2.71	0.33	[ 10.32 764.64]	[1837.51 -206.83]	[1.   2.71 9.  ]	[1847.83   10.32  754.32]	14925193055.683548	23331368073.103592	1.940343410765596e-07	3	1	19062209493.452072	14925193055.683548	2896
(0.04, 0.38)	(0.41, 0.74)							('NCIES', 'NCRTinterceptNumDis')	802389.07	103603.92963494318	0.11	0.11	3.1	0.24	[ 42.1  777.64]	[2046.93 -233.82]	[1.  3.1 9. ]	[2089.03   42.1   735.54]	15519773265.667673	23297301495.996098	1.8157481760599467e-07	3	1	20101523461.325733	15519773265.667673	2818
(0.04, 0.38)		(0.0, 0.34)						('NCIES', 'CAAnsCsum')	729452.97	83917.74446244673	0.17	0.17	2.91	0.3	[ 41.62 720.32]	[1875.   -100.59]	[1.   2.91 9.  ]	[1916.62   41.62  678.7 ]	19579408390.050232	30725955965.174583	2.2789248332280957e-07	3	1	24513995511.139816	19579408390.050232	4462
	(0.38, 0.74)					(0.0, 0.19)		('NCRTinterceptNumDis', 'CAPreOrdmax')	780234.52	536175.6544444445	0.13	0.13	2.91	0.34	[ 45.6  752.99]	[1884.81 -174.43]	[1.   2.91 9.  ]	[1930.42   45.6   707.38]	16843856258.34127	26474618405.905804	2.086220605367507e-07	3	1	21656128972.032955	16843856258.34127	3514
	(0.38, 0.74)						(0.17, 0.56)	('NCRTinterceptNumDis', 'NCtimeCmean')	697107.93	402936.0161085767	0.18	0.18	3.2	0.19	[ 70.75 733.53]	[1868.55 -249.1 ]	[1.  3.2 9. ]	[1939.3    70.75  662.79]	20132728185.92009	31428552861.36449	2.316625922194583e-07	3	1	24935839331.137848	20132728185.92009	4664
			(0.01, 0.35)	(0.05, 0.23)				('SSPreOrdmax', 'SAAnsCsum')	707471.11	128787.21662621359	0.07	0.07	2.61	0.36	[-67.5 783.9]	[2150.91  -72.07]	[1.   2.61 9.  ]	[2083.41  -67.5   851.4 ]	8956048262.412971	14145502140.65463	1.9171401824686008e-07	3	1	12428660847.930223	8956048262.412971	1717
				(0.05, 0.45)			(0.16, 0.56)	('NCtimeCmean', 'SAAnsCsum')	703000.94	181063.98307987364	0.18	0.18	3.16	0.19	[101.41 728.78]	[1777.71 -205.4 ]	[1.   3.16 9.  ]	[1879.13  101.41  627.36]	19918944913.358894	31477597774.718327	2.3580566241989539e-07	3	1	24777023586.814445	19918944913.358894	4697
						(0.0, 0.2)	(0.13, 0.54)	('CAPreOrdmax', 'NCtimeCmean')	700340.88	289063.9647029703	0.2	0.2	3.09	0.17	[ 94.08 735.42]	[1710.57 -271.8 ]	[1.   3.09 9.  ]	[1804.65   94.08  641.34]	20319867799.543415	33437895390.122494	2.53102040364434e-07	3	1	25352621210.420166	20319867799.543415	5143
