NCtimeCmean	NCRTinterceptNumDis	CAAnsCsum	NCIES	CAPreOrdmax	SSAnsCprop	SAAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.16, 0.56)	(0.42, 0.74)	(0.0, 0.32)	(0.05, 0.38)				('NCtimeCmean', 'NCRTinterceptNumDis', 'CAAnsCsum', 'NCRTinterceptNumDis', 'NCIES')	936766.55	-inf	0.05	0.05	2.55	0.33	[-378.82  884.23]	[2919.99 -295.7 ]	[1.   2.55 9.  ]	[2541.16 -378.82 1263.05]	10432634967.31539	15116420707.585722	1.235545961339905e-07	3	1	14689977649.231293	10432634967.31539	1289
(0.2, 0.56)	(0.41, 0.74)		(0.04, 0.38)	(0.0, 0.22)			('NCIES', 'NCRTinterceptNumDis', 'NCtimeCmean', 'CAPreOrdmax')	923327.55	857647.5490206188	0.06	0.06	2.8	0.43	[-97.   855.03]	[2378.68 -291.5 ]	[1.  2.8 9. ]	[2281.67  -97.    952.04]	12031541997.73571	17674527126.167778	1.3672395444487353e-07	3	1	16509922509.14347	12031541997.73571	1645
(0.16, 0.56)				(0.0, 0.19)			('NCtimeCmean', 'CAPreOrdmax')	786302.56	671704.6912202615	0.13	0.13	3.08	0.22	[ 85.75 763.61]	[1862.86 -228.09]	[1.   3.08 9.  ]	[1948.61   85.75  677.86]	16472743217.303146	25719953891.7037	2.0488390764538016e-07	3	1	21251976700.92333	16472743217.303146	3375
(0.16, 0.56)		(0.0, 0.36)					('NCtimeCmean', 'CAAnsCsum')	714140.7	479632.9117652548	0.19	0.19	3.07	0.18	[ 79.76 720.89]	[1813.61 -155.16]	[1.   3.07 9.  ]	[1893.36   79.76  641.14]	20646619166.16442	32618786699.357594	2.3689108423210263e-07	3	1	25667367772.406815	20646619166.16442	4891
	(0.42, 0.74)	(0.0, 0.32)	(0.04, 0.38)		(0.62, 1.0)		('NCIES', 'NCRTinterceptNumDis', 'CAAnsCsum', 'SSAnsCprop', 'NCRTinterceptNumDis')	918920.91	783266.3479396043	0.07	0.07	2.65	0.36	[-189.84  834.24]	[2523.21 -193.39]	[1.   2.65 9.  ]	[2333.37 -189.84 1024.08]	12337351480.982025	17993023471.478107	1.388466562406512e-07	3	1	16844914457.387901	12337351480.982025	1713
	(0.41, 0.74)		(0.04, 0.38)	(0.0, 0.23)			('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax')	880803.02	715847.0497660466	0.08	0.08	2.81	0.38	[-60.37 807.34]	[2233.23 -207.33]	[1.   2.81 9.  ]	[2172.86  -60.37  867.7 ]	13667636894.032406	20454697189.038723	1.6059835485960165e-07	3	1	18312459662.574924	13667636894.032406	2195
	(0.38, 0.74)			(0.0, 0.19)			('NCRTinterceptNumDis', 'CAPreOrdmax')	780234.48	612870.3394063306	0.13	0.13	2.91	0.34	[ 45.61 752.99]	[1884.81 -174.43]	[1.   2.91 9.  ]	[1930.41   45.61  707.38]	16843856258.341122	26474618405.905804	2.0862206053675258e-07	3	1	21656128712.03211	16843856258.341122	3514
	(0.42, 0.74)		(0.04, 0.38)				('NCIES', 'NCRTinterceptNumDis', 'NCRTinterceptNumDis')	827779.96	561366.8407177683	0.09	0.09	3.11	0.26	[ 24.05 810.32]	[2125.53 -322.07]	[1.   3.11 9.  ]	[2149.58   24.05  786.27]	14091613741.998716	20915330228.464874	1.6364342950496764e-07	3	1	18523416374.57469	14091613741.998716	2306
		(0.0, 0.34)	(0.04, 0.38)				('NCIES', 'CAAnsCsum')	729452.92	525363.4739650836	0.17	0.17	2.91	0.3	[ 41.62 720.32]	[1875.01 -100.59]	[1.   2.91 9.  ]	[1916.63   41.62  678.7 ]	19579408390.051086	30725955965.174583	2.278924833227996e-07	3	1	24513995175.878246	19579408390.051086	4462
				(0.0, 0.2)		(0.05, 0.24)	('CAPreOrdmax', 'SAAnsCsum')	747571.48	541391.5508276268	0.06	0.06	2.62	0.36	[-83.17 802.55]	[2221.73 -101.75]	[1.   2.62 9.  ]	[2138.56  -83.17  885.72]	8422726560.798815	13427346356.577335	1.8960606027895793e-07	3	1	12019188430.270264	8422726560.798815	1597
