NCIES	NCPreOrdmax	SAPreOrdmax	SAAnsCsum	NCRTinterceptNumRatio	SSAnsCsum	NCtimeCmean	SSPreOrdmax	NCRTinterceptNumDis	CAAnsCsum	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.01, 0.03)	(52.0, 52.0)	(0.49, 1.0)	(0.54, 1.0)								('NCIES', 'NCPreOrdmax', 'SAPreOrdmax', 'SAAnsCsum')	2519.02	-inf	0.28	0.28	3.52	22.13	[   44.32   473.6  -1334.57   513.29]	[ 1066.64  -442.53 12624.5   -984.81]	[1.   3.52 7.23 7.36 9.  ]	[ 1110.95    44.32   429.29 -1808.17  1847.86]	5326673077.440083	11262430311.761135	1.398997064708412e-06	7	3	8894989286.826235	5326673077.440083	7452
(0.01, 0.03)											('NCIES',)	2154.31	91.45268043814431	0.5	0.5	3.6	0.0	[  69.42  520.39 -741.55 2133.6 ]	[  1101.98   -520.36   9315.26 -15265.13]	[1.   3.6  7.79 8.55 9.  ]	[ 1171.39    69.42   450.97 -1261.94  2875.16]	13971854900.960276	26279884034.45941	9.328754193621193e-07	7	3	17296247250.39175	13971854900.960276	13034
(0.01, 0.03)						(0.04, 0.16)					('NCtimeCmean', 'NCIES')	2191.87	3.6877037391612286	0.5	0.5	3.59	0.0	[  68.6   519.15  208.88 1343.42]	[ 1101.36  -514.55  1712.55 -8163.21]	[1.   3.59 7.18 8.7  9.  ]	[1169.95   68.6   450.55 -310.27 1134.54]	13763493268.850126	25995815818.61502	9.434378138134429e-07	7	3	17107790898.220352	13763493268.850126	12985
	(52.0, 52.0)							(0.27, 0.35)	(0.34, 0.95)		('NCRTinterceptNumDis', 'NCPreOrdmax', 'CAAnsCsum')	2287.12	10.19147567839196	0.39	0.39	3.67	0.0	[   69.46   505.77 -1756.51 20102.71]	[   1070.78    -531.15   17289.61 -177121.93]	[1.   3.67 7.88 8.89 9.  ]	[ 1140.24    69.46   436.31 -2262.28 21859.22]	9381193762.474186	18108156641.849277	1.0750230999748791e-06	7	3	12959828358.340685	9381193762.474186	10085
	(52.0, 52.0)					(0.04, 0.12)					('NCtimeCmean', 'NCPreOrdmax')	2174.37	5.760641482266331	0.51	0.51	3.65	0.0	[  76.18  528.28  158.6  1379.43]	[ 1090.25  -557.89  2119.21 -8455.59]	[1.   3.65 7.24 8.66 9.  ]	[1166.43   76.18  452.1  -369.68 1220.82]	14345622191.2768	27130498599.168957	9.303883667113415e-07	7	3	17648812834.33705	14345622191.2768	13347
				(0.29, 0.41)	(0.37, 0.97)						('NCRTinterceptNumRatio', 'SSAnsCsum')	2174.28	1207.2575664335666	0.55	0.55	3.65	19.66	[    71.24    533.42 -22674.46    566.53]	[  1148.14   -538.36 170813.61  -1096.85]	[1.   3.65 7.38 7.4  9.  ]	[  1219.37     71.24    462.19 -23207.89  23240.99]	15786021906.206253	29636603018.92697	9.168871097479958e-07	7	3	18786985400.286415	15786021906.206253	14474
				(0.29, 0.41)			(0.39, 1.0)				('NCRTinterceptNumRatio', 'SSPreOrdmax')	2136.23	72.19888068713789	0.56	0.56	3.65	0.0	[ 7.2690000e+01  5.3075000e+02 -9.2720000e+01  1.9965381e+05]	[ 1.14235000e+03 -5.29910000e+02  4.19393000e+03 -1.79287909e+06]	[1.   3.65 7.58 9.   9.  ]	"[ 1.2150400e+03  7.2690000e+01  4.5805000e+02 -6.2347000e+02
  1.9974653e+05]"	16038665265.369202	30027053696.21308	9.059357346507679e-07	7	3	19043337537.485214	16038665265.369202	14530
					(0.42, 0.97)					(0.07, 0.19)	('NCtimeCmedian', 'SSAnsCsum')	2301.7	4.326617221803956	0.36	0.36	3.62	22.34	[ 64.18 491.3  -15.47 515.04]	[1065.89 -479.26 3124.24 -943.54]	[1.   3.62 7.11 7.67 9.  ]	[1130.08   64.18  427.11 -506.77  530.51]	8543696383.233552	16180916866.400768	1.098704773547592e-06	7	3	12381809159.394133	8543696383.233552	9387
						(0.04, 0.12)					('NCtimeCmean',)	2174.37	423.4558258793969	0.51	0.51	3.65	0.0	[ 7.6180000e+01  5.2828000e+02 -5.6338400e+03  1.0104831e+05]	[ 1.0902500e+03 -5.5789000e+02  4.8458760e+04 -9.0547552e+05]	[1.   3.65 7.95 8.94 9.  ]	"[ 1.1664300e+03  7.6180000e+01  4.5211000e+02 -6.1621200e+03
  1.0668215e+05]"	14345622191.276089	27130498599.168957	9.303883667113877e-07	7	3	17648812834.33705	14345622191.276089	13347
										(0.07, 0.17)	('NCtimeCmedian', 'NCtimeCmedian')	2154.31	7.766858151027027	0.36	0.36	3.62	0.0	[  58.42  512.54  196.57 5801.97]	[  1057.25   -584.96   1640.68 -48455.43]	[1.   3.62 7.04 8.94 9.  ]	[1115.67   58.42  454.12 -315.96 5605.4 ]	8685156400.366558	16797502923.68969	1.0701016276008278e-06	7	3	12250297036.861053	8685156400.366558	9294
