NCtimeCmean	NCPreOrdmax	SAtimeCmedian	SAPreOrdmax	SAAnsCsum	NCRTinterceptNumRatio	SSPreOrdmax	SSAnsCsum	NCIES	NCRTinterceptNumDis	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.04, 0.12)	(52.0, 52.0)	(0.69, 0.71)	(0.51, 1.0)	(0.54, 1.0)							('NCtimeCmean', 'NCPreOrdmax', 'SAtimeCmedian', 'SAPreOrdmax', 'SAAnsCsum')	2532.2	-inf	0.28	0.28	3.55	22.09	[ 48.58 475.33 197.04 539.7 ]	[ 1062.72  -454.13  1509.6  -1212.27]	[1.   3.55 7.06 7.94 9.  ]	[1111.3    48.58  426.75 -278.29  342.65]	5223028248.51058	11093774075.546782	1.4160367603045367e-06	7	3	8771329496.71692	5223028248.51058	7396
(0.04, 0.12)					(0.29, 0.41)	(0.39, 1.0)					('NCRTinterceptNumRatio', 'SSPreOrdmax', 'NCtimeCmean')	2513.97	1700.5157432432432	0.43	0.43	3.69	20.61	[  76.32  507.06 -313.98  504.24]	[1068.53 -520.34 5735.2  -754.26]	[1.   3.69 7.62 7.93 9.  ]	[1144.85   76.32  430.74 -821.04  818.22]	10380712971.211788	20073487779.90857	1.0789239651515547e-06	7	3	14182372714.17293	10380712971.211788	11200
(0.04, 0.16)								(0.01, 0.03)			('NCtimeCmean', 'NCIES')	2191.87	678.0477538809831	0.5	0.5	3.59	0.0	[  68.6   519.15 -248.48 1525.64]	[ 1101.36  -514.55  5371.36 -9803.23]	[1.   3.59 7.67 8.55 9.  ]	[1169.95   68.6   450.55 -767.62 1774.12]	13763493268.85062	25995815818.61502	9.434378138134091e-07	7	3	17107790950.354544	13763493268.85062	12985
(0.04, 0.12)											('NCtimeCmean',)	2174.37	158.00717925565326	0.51	0.51	3.65	20.34	[ 76.18 528.28 -33.07 571.22]	[ 1090.25  -557.89  3424.04 -1181.76]	[1.   3.65 7.09 7.62 9.  ]	[1166.43   76.18  452.11 -561.35  604.3 ]	14345622191.276325	27130498599.168957	9.303883667113724e-07	7	3	17648812991.861774	14345622191.276325	13347
	(52.0, 52.0)							(0.01, 0.03)			('NCIES', 'NCPreOrdmax')	2154.31	39.544194059077	0.5	0.5	3.6	20.56	[   69.42   520.39 -1772.41   554.46]	[ 1101.98  -520.36 16800.89 -1052.83]	[1.   3.6  7.55 7.67 9.  ]	[ 1171.39    69.42   450.97 -2292.8   2326.87]	13971854900.961708	26279884034.45941	9.328754193620237e-07	7	3	17296247330.534492	13971854900.961708	13034
					(0.29, 0.41)		(0.37, 0.97)				('NCRTinterceptNumRatio', 'SSAnsCsum')	2174.28	1089.674125874126	0.55	0.55	3.65	19.66	[ 71.24 533.42 -61.68 566.53]	[ 1148.14  -538.36  3647.62 -1096.85]	[1.   3.65 7.03 7.55 9.  ]	[1219.37   71.24  462.19 -595.1   628.2 ]	15786021906.203419	29636603018.92697	9.168871097481605e-07	7	3	18786985569.833714	15786021906.203419	14474
					(0.29, 0.41)	(0.39, 1.0)					('NCRTinterceptNumRatio', 'SSPreOrdmax')	2136.23	308.02679099073003	0.56	0.56	3.65	19.74	[  72.69  530.75 -574.82  552.99]	[1142.35 -529.91 7273.15 -971.78]	[1.   3.65 7.06 7.31 9.  ]	[ 1215.04    72.69   458.05 -1105.56  1127.81]	16038665265.36929	30027053696.21308	9.059357346507629e-07	7	3	19043337743.884632	16038665265.36929	14530
						(0.45, 1.0)				(0.07, 0.2)	('SSPreOrdmax', 'NCtimeCmedian')	2220.17	49.74410979284846	0.4	0.4	3.64	0.0	[ 69.04 498.93  31.31 799.11]	[ 1080.16  -485.54  2983.3  -3441.44]	[1.   3.64 7.42 8.37 9.  ]	[1149.2    69.04  429.9  -467.62  767.79]	10177373113.086657	18890593911.63817	1.0215799189508867e-06	7	3	13933353322.728073	10177373113.086657	10397
								(0.01, 0.03)			('NCIES',)	2154.31	95.43093588917526	0.5	0.5	3.6	0.0	[ 69.42 520.39  98.24 710.78]	[ 1101.98  -520.36  2596.95 -2459.7 ]	[1.   3.6  7.38 8.26 9.  ]	[1171.39   69.42  450.97 -422.15  612.54]	13971854900.960073	26279884034.45941	9.328754193621328e-07	7	3	17296247330.534492	13971854900.960073	13034
									(0.27, 0.35)		('NCRTinterceptNumDis',)	2123.22	408.99713619402985	0.52	0.52	3.63	20.29	[ 68.93 531.49  -8.62 571.84]	[ 1120.59  -560.17  3230.39 -1159.61]	[1.   3.63 7.02 7.56 9.  ]	[1189.52   68.93  462.56 -540.11  580.45]	14587654387.893375	27621564322.711147	9.248231169499387e-07	7	3	17685412936.28087	14587654387.893375	13491
