NCRTinterceptNumDis	NCtimeCmedian	SSAnsCsum	NCRTinterceptNumRatio	SSPreOrdmax	NCtimeCmean	NCPreOrdmax	NCIES	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.27, 0.35)	(0.08, 0.18)	(0.43, 0.97)						('NCRTinterceptNumDis', 'NCtimeCmedian', 'SSAnsCsum')	2517.01	-inf	0.31	0.31	3.55	0.0	[   49.46   477.06 -2966.05  1070.  ]	[ 1059.11  -456.97 26845.   -6006.28]	[1.   3.55 7.93 8.14 9.  ]	[ 1108.57    49.46   427.6  -3443.11  4036.06]	6218491337.604575	12567903708.295832	1.296455934777512e-06	7	3	10065478478.506123	6218491337.604575	8062
(0.27, 0.35)	(0.08, 0.18)							('NCRTinterceptNumDis', 'NCtimeCmedian')	2316.88	1160.71144031304	0.4	0.4	3.54	0.0	[5.44900e+01 5.02190e+02 1.71000e+00 2.75206e+03]	[  1084.69   -501.67   3259.31 -20950.79]	[1.   3.54 7.51 8.8  9.  ]	[1139.17   54.49  447.71 -500.49 2750.35]	9606127996.437187	18798984366.47362	1.0752511317599473e-06	7	3	13152975078.684801	9606127996.437187	10329
		(0.37, 0.97)	(0.29, 0.41)		(0.04, 0.12)			('NCRTinterceptNumRatio', 'SSAnsCsum', 'NCtimeCmean')	2513.74	2107.390120303031	0.43	0.43	3.69	0.0	[  76.01  510.75 -193.03 3822.15]	[  1072.12   -534.01   4808.74 -30621.29]	[1.   3.69 7.59 8.82 9.  ]	[1148.13   76.01  434.74 -703.78 4015.17]	10250808078.234138	19812930523.839554	1.08469497381473e-06	7	3	14027246248.54428	10250808078.234138	11119
		(0.37, 0.97)	(0.29, 0.41)		(0.04, 0.12)	(52.0, 52.0)		('NCRTinterceptNumRatio', 'SSAnsCsum', 'NCtimeCmean', 'NCPreOrdmax')	2513.74	1712.8133038090912	0.43	0.43	3.69	0.0	[ 76.01 510.75 117.59 644.16]	[ 1072.12  -534.01  2323.82 -2019.44]	[1.   3.69 7.27 8.25 9.  ]	[1148.13   76.01  434.74 -393.17  526.57]	10250808078.228344	19812930523.839554	1.084694973815343e-06	7	3	14027246248.54428	10250808078.228344	11119
		(0.37, 0.97)	(0.29, 0.41)					('NCRTinterceptNumRatio', 'SSAnsCsum')	2174.28	1423.0780740948255	0.55	0.55	3.65	0.0	[ 71.24 533.42 179.22 623.97]	[ 1148.14  -538.36  2001.56 -1613.88]	[1.   3.65 7.17 8.13 9.  ]	[1219.37   71.24  462.19 -354.2   444.75]	15786021906.203457	29636603018.92697	9.168871097481584e-07	7	3	18786985561.983044	15786021906.203457	14474
			(0.29, 0.41)	(0.39, 1.0)	(0.04, 0.12)			('NCRTinterceptNumRatio', 'SSPreOrdmax', 'NCtimeCmean')	2513.97	2336.18022972973	0.43	0.43	3.69	0.0	[  76.32  507.06  142.82 2386.52]	[  1068.53   -520.34   2137.11 -17694.78]	[1.   3.69 7.3  8.84 9.  ]	[1144.85   76.32  430.74 -364.24 2243.7 ]	10380712971.21175	20073487779.90857	1.0789239651515587e-06	7	3	14182372706.056843	10380712971.21175	11200
			(0.29, 0.41)	(0.39, 1.0)	(0.04, 0.12)	(52.0, 52.0)		('NCRTinterceptNumRatio', 'SSPreOrdmax', 'NCtimeCmean', 'NCPreOrdmax')	2513.97	1900.1196766216217	0.43	0.43	3.69	20.61	[ 76.32 507.06 174.96 504.24]	[1068.53 -520.34 1834.44 -754.26]	[1.   3.69 7.09 7.86 9.  ]	[1144.85   76.32  430.74 -332.1   329.29]	10380712971.212452	20073487779.90857	1.0789239651514859e-06	7	3	14182372706.056843	10380712971.212452	11200
			(0.29, 0.38)	(0.39, 1.0)		(52.0, 52.0)		('NCRTinterceptNumRatio', 'SSPreOrdmax', 'NCRTinterceptNumRatio', 'NCPreOrdmax')	2431.04	1556.134703642296	0.43	0.43	3.48	13.86	[  66.68  441.94 7997.74  326.6 ]	[  1097.02   -210.28 -50013.4     778.24]	[1.   3.48 6.59 6.62 9.  ]	[ 1163.7     66.68   375.26  7555.8  -7671.14]	10492875730.512506	20059383687.52417	1.060719700285288e-06	7	3	14217515486.682884	10492875730.512506	11130
			(0.29, 0.38)	(0.39, 1.0)				('NCRTinterceptNumRatio', 'SSPreOrdmax', 'NCRTinterceptNumRatio')	2429.28	1070.4960493316726	0.43	0.43	3.66	0.0	[  66.68  509.64 -621.09 4264.22]	[  1097.02   -525.85   8266.19 -34613.34]	[1.   3.66 7.78 8.78 9.  ]	[ 1163.7     66.68   442.96 -1130.73  4885.31]	10496207228.948069	20059383687.52417	1.0603830276239173e-06	7	3	14217515486.682884	10496207228.948069	11130
					(0.04, 0.16)		(0.01, 0.03)	('NCtimeCmean', 'NCIES')	2191.87	1293.633067578494	0.5	0.5	3.59	0.0	[   68.6    519.15  -851.16 15608.17]	[   1101.36    -514.55   10192.8  -136546.  ]	[1.   3.59 7.81 8.92 9.  ]	[ 1169.95    68.6    450.55 -1370.3  16459.33]	13763493268.852354	25995815818.61502	9.434378138132901e-07	7	3	17107790947.940401	13763493268.852354	12985
