SSAnsCprop	NCPreOrdmax	SAAnsCprop	SStimeCmean	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.03, 1.0)	(52.0, 52.0)			('SSAnsCprop', 'NCPreOrdmax')	-17588.08	-inf	1.0	1.0	3.59	20.98	[  86.7   629.57 -117.6   582.58]	[1317.95 -630.51 4657.99 -544.93]	[1.   3.59 7.08 7.43 9.  ]	[1404.66   86.7   542.87 -747.17  700.18]	58647963312.638535	94410016711.28767	4.4507939450260244e-07	7	3	58758480698.97902	58647963312.638535	26103
(0.03, 1.0)		(0.21, 1.0)		('SSAnsCprop', 'SAAnsCprop')	-17588.08	-15829.272000000004	1.0	1.0	3.59	20.98	[  86.7   629.57 -475.36  582.58]	[1317.95 -630.51 7366.3  -544.93]	[1.   3.59 7.24 7.48 9.  ]	[ 1404.66    86.7    542.87 -1104.93  1057.93]	58647963312.639046	94410016711.28767	4.450793945025986e-07	7	3	58758480698.97902	58647963312.639046	26103
(0.03, 1.0)	(52.0, 52.0)	(0.21, 1.0)		('SSAnsCprop', 'NCPreOrdmax', 'SAAnsCprop')	-17588.08	-14246.344800000008	1.0	1.0	3.59	0.0	[  86.7   629.57  320.92 1366.45]	[ 1317.95  -630.51  1548.36 -7599.77]	[1.   3.59 7.06 8.75 9.  ]	[1404.66   86.7   542.87 -308.66 1045.53]	58647963312.64108	94410016711.28767	4.4507939450258307e-07	7	3	58758480698.97902	58647963312.64108	26103
(0.03, 1.0)				('SSAnsCprop',)	-17588.98	-12822.366420000002	1.0	1.0	3.44	11.74	[  86.7   563.64 5487.81  426.64]	[  1317.95   -323.31 -30559.71    806.07]	[1.   3.44 6.14 6.2  9.  ]	[ 1404.66    86.7    476.94  4924.16 -5061.17]	58650976811.750046	94410016711.28767	4.450565262328345e-07	7	3	58758480698.97902	58650976811.750046	26103
	(52.0, 52.0)		(0.01, 0.04)	('SStimeCmean', 'NCPreOrdmax')	-18493.59	-10923.979992093471	1.0	1.0	3.59	20.98	[ 86.66 629.6  113.8  582.66]	[1317.64 -630.75 3002.32 -545.65]	[1.   3.59 7.04 7.57 9.  ]	[1404.3    86.66  542.94 -515.8   468.85]	58641425216.516075	94410539605.31314	4.451119648546416e-07	7	3	58751966624.09436	58641425216.516075	26102
	(52.0, 52.0)		(0.01, 0.02)	('SStimeCmean', 'NCPreOrdmax', 'SStimeCmean')	-18493.59	-7963.581414236142	1.0	1.0	3.59	20.98	[   86.66   629.6  -2135.36   582.66]	[ 1317.64  -630.75 20936.28  -545.65]	[1.   3.59 7.8  7.9  9.  ]	[ 1404.3     86.66   542.94 -2764.95  2718.01]	58641425216.517204	94410539605.31314	4.4511196485463303e-07	7	3	58751966624.09436	58641425216.517204	26102
		(0.21, 1.0)	(0.01, 0.04)	('SStimeCmean', 'SAAnsCprop')	-18493.59	-9831.581992884127	1.0	1.0	3.59	0.0	[ 86.66 629.6   96.5  720.06]	[ 1317.64  -630.76  3343.61 -1782.28]	[1.   3.59 7.46 8.22 9.  ]	[1404.3    86.66  542.94 -533.1   623.56]	58641425216.51812	94410539605.31314	4.4511196485462615e-07	7	3	58751966624.09436	58641425216.51812	26102
		(0.21, 1.0)	(0.01, 0.02)	('SStimeCmean', 'SAAnsCprop', 'SStimeCmean')	-18493.59	-7167.223272812528	1.0	1.0	3.59	20.98	[ 86.66 629.6  186.11 582.66]	[1317.64 -630.75 2505.04 -545.65]	[1.   3.59 7.07 7.69 9.  ]	[1404.3    86.66  542.94 -443.49  396.54]	58641425216.51599	94410539605.31314	4.451119648546423e-07	7	3	58751966624.09436	58641425216.51599	26102
			(0.01, 0.04)	('SStimeCmean',)	-18493.59	-12137.755546770526	1.0	1.0	3.59	0.0	[  86.66  629.6   187.42 1278.03]	[ 1317.64  -630.75  2616.22 -6803.98]	[1.   3.59 7.34 8.64 9.  ]	[1404.3    86.66  542.94 -442.18 1090.6 ]	58641425216.515755	94410539605.31314	4.451119648546441e-07	7	3	58751966624.09436	58641425216.515755	26102
			(0.01, 0.02)	('SStimeCmean', 'SStimeCmean')	-18493.59	-8848.423793595714	1.0	1.0	3.59	20.98	[ 86.66 629.6   24.59 582.66]	[1317.64 -630.76 3863.23 -545.65]	[1.   3.59 7.43 7.9  9.  ]	[1404.3    86.66  542.94 -605.01  558.07]	58641425216.52552	94410539605.31314	4.451119648545699e-07	7	3	58751966624.09436	58641425216.52552	26102
