NCRTinterceptNumRatio	NCtimeCmean	CAAnsCsum	SSAnsCprop	NCIES	CAPreOrdmax	SAtimeCmedian	language	SStimeCmean	NCRTinterceptNumDis	NCtimeCmedian	SAPreOrdmax	SAAnsCsum	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.38, 0.66)	(0.22, 0.54)	(0.0, 0.31)	(0.58, 1.0)										('NCRTinterceptNumRatio', 'NCtimeCmean', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop')	7453347218998.63	-inf	0.05	0.05	2.45	0.35	[-359.23  861.91]	[2845.2  -148.95]	[1.   2.45 9.  ]	[2485.97 -359.23 1221.14]	10131207991.475063	14395335836.247911	1.1824848537391205e-07	3	1	14062656542.26411	10131207991.475063	1198
(0.43, 0.66)				(0.03, 0.38)	(0.0, 0.15)	(0.7, 0.73)	f						('NCIES', 'CAPreOrdmax', 'NCRTinterceptNumRatio', 'SAtimeCmedian', 'language')	6337734599645.94	3567239188943.5728	0.05	0.05	2.73	0.51	[-48.47 905.95]	[2074.14 -527.18]	[1.   2.73 9.  ]	[2025.67  -48.47  954.43]	9564568586.435066	14298840731.537163	1.2379021482256985e-07	3	1	13053886535.914686	9564568586.435066	1184
	(0.18, 0.56)										(0.05, 0.5)		('SAPreOrdmax', 'NCtimeCmean')	3610391402216.99	699524012801.999	0.14	0.14	3.21	0.21	[ 64.05 765.11]	[1923.  -325.5]	[1.   3.21 9.  ]	[1987.04   64.05  701.06]	17689120171.615505	27180552534.84722	2.0498475700438673e-07	3	1	22306771697.13303	17689120171.615505	3626
				(0.04, 0.38)					(0.42, 0.74)				('NCIES', 'NCRTinterceptNumDis', 'NCRTinterceptNumDis')	5101734438168.7	2292379340883.8027	0.09	0.09	3.49	232.15	[ 29.59 981.11 520.77]	[ 2116.95 -1201.5   2020.86]	[1.   3.49 7.   9.  ]	[2146.53   29.59  951.52 -460.34]	14035955517.854046	20915330228.464874	1.642923416981991e-07	5	2	18523416331.136894	14035955517.854046	2306
				(0.03, 0.38)	(0.0, 0.15)								('NCIES', 'CAPreOrdmax')	3732786020814.26	813745182313.078	0.11	0.11	3.37	191.23	[130.71 900.36 399.86]	[1676.84 -919.09 2819.09]	[1.   3.37 7.47 9.  ]	[1807.54  130.71  769.66 -500.5 ]	14873991859.937721	23331368073.103592	1.9470227140571567e-07	5	2	19062209190.10493	14873991859.937721	2896
					(0.0, 0.13)	(0.71, 0.88)		(0.01, 0.04)					('SAtimeCmedian', 'CAPreOrdmax', 'SStimeCmean')	5478540865470.84	2718725904489.9043	0.05	0.05	3.6	346.12	[ 104.99 1388.23  608.81]	[ 1922.68 -2703.09  1634.05]	[1.   3.6  5.56 9.  ]	[2027.67  104.99 1283.24 -779.43]	8732284712.04013	13017151586.130547	1.3684849262327947e-07	5	2	12074512457.952272	8732284712.04013	1195
					(0.0, 0.2)					(0.24, 0.71)			('CAPreOrdmax', 'NCtimeCmedian')	3624890851305.27	1628867049251.5996	0.14	0.14	3.44	160.03	[100.36 892.01 420.71]	[1793.73 -927.48 2506.05]	[1.   3.44 7.29 9.  ]	[1894.09  100.36  791.66 -471.3 ]	17419743453.051723	27469052899.0051	2.1383782201151912e-07	5	2	22305047951.31581	17419743453.051723	3725
					(0.0, 0.13)								('CAPreOrdmax', 'CAPreOrdmax')	3978228582566.4	302981307751.1651	0.07	0.07	3.66	273.86	[ 155.42 1240.59  592.51]	[ 1698.12 -2272.95  1289.24]	[1.   3.66 5.5  9.  ]	[1853.54  155.42 1085.18 -648.09]	10817768813.293365	15893455091.499407	1.5530004652489335e-07	5	2	13831918530.78199	10817768813.293365	1680
						(0.71, 0.88)						(0.04, 0.23)	('SAtimeCmedian', 'SAAnsCsum')	3948192587349.59	482922562635.2085	0.06	0.06	2.65	0.37	[-73.93 814.66]	[2190.12 -162.15]	[1.   2.65 9.  ]	[2116.19  -73.93  888.59]	8161751448.196814	13105683575.78576	1.8758228668409716e-07	3	1	11683993858.895725	8161751448.196814	1531
									(0.41, 0.74)				('NCRTinterceptNumDis', 'NCRTinterceptNumDis')	3764769919880.26	394878779911.13995	0.12	0.12	3.46	182.73	[ 47.14 900.93 493.53]	[1992.26 -965.74 1886.06]	[1.   3.46 7.   9.  ]	[2039.4    47.14  853.79 -407.4 ]	16458513500.908531	24709497338.635185	1.9303079830536492e-07	5	2	20781819015.440838	16458513500.908531	3177
