NCtimeCmean	CAPreOrdmax	NCAnsCsum	NCRTinterceptNumDis	NCRTinterceptNumRatio	SAtimeCmedian	SStimeCmean	NCIES	SAAnsCsum	SAtimeCmean	NCtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.2, 0.54)	(0.0, 0.19)	(0.19, 1.0)	(0.42, 0.67)								('NCtimeCmean', 'CAPreOrdmax', 'NCtimeCmean', 'NCAnsCsum', 'NCRTinterceptNumDis')	7803843678237.61	-inf	0.05	0.05	2.79	0.49	[-129.91  906.32]	[2505.97 -384.95]	[1.   2.79 9.  ]	[2376.06 -129.91 1036.24]	10084394684.994072	14685361374.098251	1.1909490232340168e-07	3	1	14232802394.148117	10084394684.994072	1201
(0.22, 0.56)	(0.0, 0.22)	(0.27, 1.0)		(0.41, 0.66)							('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAPreOrdmax', 'NCAnsCsum')	7772297900452.72	4940960808144.943	0.05	0.05	2.55	0.41	[-245.41  882.21]	[2629.67 -249.57]	[1.   2.55 9.  ]	[2384.26 -245.41 1127.62]	10321421603.765888	14734534896.050634	1.1480976608567556e-07	3	1	14290965725.18929	10321421603.765888	1185
(0.16, 0.56)	(0.0, 0.19)										('NCtimeCmean', 'CAPreOrdmax')	3868712229096.56	1944684020938.77	0.13	0.13	3.43	171.95	[ 85.75 899.13 514.33]	[1862.85 -923.97 1798.19]	[1.   3.43 7.07 9.  ]	[1948.61   85.75  813.38 -384.8 ]	16418252986.387028	25719953891.7037	2.0556389299143674e-07	5	2	21251976668.625275	16418252986.387028	3375
(0.22, 0.54)				(0.38, 0.66)							('NCRTinterceptNumRatio', 'NCtimeCmean', 'NCtimeCmean')	5372454273233.0	1104833329138.9805	0.06	0.06	3.28	299.05	[-27.45 969.82 293.09]	[ 2268.59 -1004.73  4119.91]	[1.   3.28 7.57 9.  ]	[2241.14  -27.45  997.27 -676.73]	11425076188.711727	16472065862.606749	1.4266863284557195e-07	5	2	15133310548.95484	11425076188.711727	1630
	(0.0, 0.13)				(0.71, 0.88)	(0.01, 0.04)					('SAtimeCmedian', 'CAPreOrdmax', 'SStimeCmean')	5478469839069.44	3728403084922.2583	0.05	0.05	3.46	238.99	[ 104.99 1171.38  506.97]	[ 1922.68 -1762.32  2483.53]	[1.   3.46 6.39 9.  ]	[2027.67  104.99 1066.39 -664.41]	8732354948.860764	13017151586.130547	1.368473919118349e-07	5	2	12074512482.405525	8732354948.860764	1195
	(0.0, 0.15)			(0.43, 0.66)	(0.7, 0.73)		(0.03, 0.38)				('NCIES', 'CAPreOrdmax', 'NCRTinterceptNumRatio', 'SAtimeCmedian')	6135907934737.6	3016130420622.705	0.05	0.05	2.74	0.48	[-68.97 904.95]	[2106.56 -560.13]	[1.   2.74 9.  ]	[2037.59  -68.97  973.92]	9767349258.838737	14707318899.8719	1.2787502186120214e-07	3	1	13304577918.785238	9767349258.838737	1249
	(0.0, 0.15)			(0.38, 0.66)							('NCRTinterceptNumRatio', 'CAPreOrdmax')	3696864026990.22	1436074076958.5383	0.11	0.11	3.42	191.59	[128.66 918.14 395.14]	[ 1675.   -1023.25  2819.13]	[1.   3.42 7.35 9.  ]	[1803.65  128.66  789.48 -523.  ]	15072035703.718285	23515979249.0695	1.9280739888926133e-07	5	2	19184362915.1037	15072035703.718285	2906
			(0.41, 0.74)				(0.04, 0.38)				('NCIES', 'NCRTinterceptNumDis')	4456319598055.53	2472919776951.2695	0.11	0.11	3.45	199.72	[ 42.1  927.66 510.4 ]	[ 2046.93 -1004.56  1932.12]	[1.   3.45 7.04 9.  ]	[2089.03   42.1   885.56 -417.26]	15464674380.54557	23297301495.996098	1.8222174813748553e-07	5	2	20101523235.81332	15464674380.54557	2818
					(0.71, 0.88)			(0.04, 0.23)			('SAtimeCmedian', 'SAAnsCsum')	3948192611698.93	1038009878211.6073	0.06	0.06	2.65	0.37	[-73.93 814.66]	[2190.11 -162.15]	[1.   2.65 9.  ]	[2116.18  -73.93  888.59]	8161751448.195866	13105683575.78576	1.8758228668411897e-07	3	1	11683993880.617596	8161751448.195866	1531
									(0.71, 0.86)	(0.28, 0.76)	('SAtimeCmean', 'NCtimeCmedian')	4202753976848.72	896252860672.8798	0.1	0.1	3.15	0.24	[ 62.15 798.83]	[1981.71 -337.27]	[1.   3.15 9.  ]	[2043.86   62.15  736.67]	13874547736.583813	21582339828.799698	1.9251077950146237e-07	3	1	18413450184.172886	13874547736.583813	2671
