NCRTinterceptNumDis	NCtimeCmean	CAAnsCsum	SSAnsCprop	grade	NCPreOrdmax	CAPreOrdmax	NCAnsCprop	NCIES	NCAnsCsum	NCRTinterceptNumRatio	SAtimeCmedian	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	SSresGlobal	SSresLocal	nrrows
(0.38, 0.74)	(0.22, 0.56)	(0.0, 0.31)	(0.62, 1.0)	['3', '4', '5', '6', '7', '8']								('NCRTinterceptNumDis', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop', 'grade')	8007999533042.4	-inf	0.05	0.05	3.3	386.63	[ -31.67 1091.17  283.47]	[ 2417.55 -1287.06  4673.41]	[1.   3.3  7.38 9.  ]	[2385.89  -31.67 1122.83 -807.7 ]	10356903242.759626	14752433076.477066	1.1576819555963361e-07	5	2	14493187359.180191	10356903242.759626	1199
(0.38, 0.74)	(0.22, 0.56)	(0.0, 0.31)	(0.62, 1.0)		(52.0, 52.0)							('NCRTinterceptNumDis', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop', 'NCPreOrdmax')	8007999533042.07	7207199579737.863	0.05	0.05	3.3	386.63	[ -31.67 1091.17  283.47]	[ 2417.55 -1287.06  4673.39]	[1.   3.3  7.38 9.  ]	[2385.89  -31.67 1122.83 -807.7 ]	10356903242.75991	14752433076.477066	1.1576819555963043e-07	5	2	14493187359.180191	10356903242.75991	1199
(0.42, 0.67)	(0.2, 0.54)				(52.0, 52.0)	(0.0, 0.2)	(0.19, 1.0)					('CAPreOrdmax', 'NCtimeCmean', 'NCRTinterceptNumDis', 'NCAnsCprop', 'NCPreOrdmax')	7516126503861.26	6520239742099.645	0.05	0.05	2.75	0.45	[-162.52  891.92]	[2543.34 -354.79]	[1.   2.75 9.  ]	[2380.82 -162.52 1054.44]	10485422873.341835	15261173300.629372	1.2274183078224456e-07	3	1	14676448824.370039	10485422873.341835	1287
(0.38, 0.74)	(0.22, 0.56)	(0.0, 0.31)	(0.62, 1.0)									('NCRTinterceptNumDis', 'NCtimeCmean', 'CAAnsCsum', 'SSAnsCprop')	8007999533042.06	6002277621829.568	0.05	0.05	3.3	386.63	[ -31.66 1091.17  283.47]	[ 2417.55 -1287.06  4673.41]	[1.   3.3  7.38 9.  ]	[2385.89  -31.66 1122.83 -807.7 ]	10356903242.759922	14752433076.477066	1.1576819555963031e-07	5	2	14493187359.180191	10356903242.759922	1199
(0.42, 0.74)		(0.0, 0.25)	(0.62, 1.0)				(0.19, 1.0)	(0.05, 0.21)				('CAAnsCsum', 'NCRTinterceptNumDis', 'NCAnsCprop', 'NCIES', 'SSAnsCprop')	7548022037173.94	5503118110716.506	0.05	0.05	2.55	0.35	[-359.5   886.54]	[2884.78 -295.23]	[1.   2.55 9.  ]	[2525.28 -359.5  1246.04]	10150432411.189117	14713006267.527332	1.2255635519809998e-07	3	1	14316471476.649593	10150432411.189117	1244
(0.41, 0.74)				['3', '4', '5', '6', '7']		(0.0, 0.16)		(0.04, 0.38)				('NCIES', 'NCRTinterceptNumDis', 'CAPreOrdmax', 'grade')	7101624971184.08	5139219860956.048	0.05	0.05	2.64	0.44	[-131.55  872.87]	[2411.35 -244.65]	[1.   2.64 9.  ]	[2279.8  -131.55 1004.41]	10125799309.80095	14904839237.172602	1.275948653998553e-07	3	1	14246377388.403625	10125799309.80095	1292
(0.42, 0.67)	(0.2, 0.54)					(0.0, 0.2)			(0.19, 1.0)			('CAPreOrdmax', 'NCtimeCmean', 'NCRTinterceptNumDis', 'NCAnsCsum')	7516126503860.8	4693636263183.318	0.05	0.05	2.75	0.45	[-162.52  891.92]	[2543.34 -354.79]	[1.   2.75 9.  ]	[2380.82 -162.52 1054.44]	10485422873.342262	15261173300.629372	1.2274183078223955e-07	3	1	14676448824.370039	10485422873.342262	1287
(0.42, 0.74)		(0.0, 0.25)									(0.71, 0.75)	('CAAnsCsum', 'NCRTinterceptNumDis', 'SAtimeCmedian')	7050336708707.38	4033723748079.516	0.05	0.05	2.6	0.42	[-207.95  857.83]	[2641.76 -128.96]	[1.  2.6 9. ]	[2433.81 -207.95 1065.78]	9632700684.120499	13926188299.689968	1.2623666403385452e-07	3	1	13617788533.667604	9632700684.120499	1216
	(0.22, 0.56)					(0.0, 0.22)	(0.27, 1.0)			(0.41, 0.66)		('NCRTinterceptNumRatio', 'NCtimeCmean', 'CAPreOrdmax', 'NCAnsCprop')	7772297900717.29	4349491025485.699	0.05	0.05	2.55	0.41	[-245.41  882.21]	[2629.67 -249.57]	[1.   2.55 9.  ]	[2384.26 -245.41 1127.62]	10321421603.765888	14734534896.050634	1.1480976608567556e-07	3	1	14290965725.324415	10321421603.765888	1185
						(0.0, 0.13)					(0.71, 0.88)	('SAtimeCmedian', 'CAPreOrdmax')	5322728766167.46	3853445592921.84	0.05	0.05	3.47	236.34	[ 109.37 1162.6   507.94]	[ 1913.24 -1743.49  2432.18]	[1.   3.47 6.38 9.  ]	[2022.61  109.37 1053.24 -654.66]	8804424177.687513	13074183930.509481	1.3777164474583448e-07	5	2	12085869112.95046	8804424177.687513	1213
